,state_name,sector_abbr,year,ann_installs,cum_installs,p,p_SE,q,q_SE,m,status,p_sig,q_sig,tech
40,karnataka,ind,2018,0.048346343,0.290078059,0.042530988,0.002427458,0.1,0.015069772,0.048346343,Converged w/ bounds,TRUE,TRUE,solar
41,karnataka,res,2018,0.010015381,0.060092285,0.00711703,0.001389186,0.100000004,0.045460591,0.010015381,Converged w/ bounds,TRUE,TRUE,solar
42,kerala,com,2018,0.027073836,0.162443018,0.021105949,0.002894787,0.1,0.033462783,0.027073836,Converged w/ bounds,TRUE,TRUE,solar
43,kerala,ind,2018,0.010024567,0.060147399,0.007123905,0.001390315,0.1,0.045454623,0.010024567,Converged w/ bounds,TRUE,TRUE,solar
44,kerala,res,2018,0.01644106,0.098646357,0.012089688,0.002103318,0.1,0.041176068,0.01644106,Converged w/ bounds,TRUE,TRUE,solar
45,madhya_pradesh,com,2018,0.025940448,0.155642687,0.020094946,0.002837119,0.1,0.034326224,0.025940448,Converged w/ bounds,TRUE,TRUE,solar
46,madhya_pradesh,ind,2018,0.799999662,4.799997973,0.08704251,0.574536997,0.7,3.329107785,0.799999662,Converged w/ bounds,FALSE,FALSE,solar
47,madhya_pradesh,res,2018,0.010013382,0.060080292,0.007115539,0.001388941,0.1,0.045461855,0.010013382,Converged w/ bounds,TRUE,TRUE,solar
48,maharashtra,com,2018,0.01001717,0.060103018,0.007118373,0.001389406,0.1,0.045459402,0.01001717,Converged w/ bounds,TRUE,TRUE,solar
49,maharashtra,ind,2018,0.070605855,0.423635128,0.065291879,0.001924301,0.124462154,0.008471292,0.070605855,Converged w/ bounds,TRUE,TRUE,solar
50,maharashtra,res,2018,0.066136731,0.396820385,0.061910494,0.001521108,0.111979365,0.006986299,0.066136731,Converged w/ bounds,TRUE,TRUE,solar
51,manipur,com,2018,0.058782576,0.352695459,0.054817665,0.001185379,0.1,0.006000767,0.058782576,Converged w/ bounds,TRUE,TRUE,solar
