state_id,sector_abbr,pv_systems_count,pv_capacity_mw
1,com,562.5,9.0
1,ind,15.0,3.0
1,res,6000.0,12.0
2,com,312.5,5.0
2,ind,25.0,5.0
2,res,0.0,0.0
3,com,4750.0,76.0
3,ind,240.0,48.0
3,res,6000.0,12.0
4,com,562.5,9.0
4,ind,30.0,6.0
4,res,7000.0,14.0
5,com,750.0,12.0
5,ind,150.0,30.0
5,res,2000.0,4.0
6,com,4625.0,74.0
6,ind,855.0,171.0
6,res,12500.0,25.0
7,com,3437.5,55.0
7,ind,115.0,23.0
7,res,43000.0,86.0
8,com,4750.0,76.0
8,ind,2005.0,401.0
8,res,30000.0,60.0
9,com,7625.0,122.0
9,ind,520.0,104.0
9,res,31000.0,62.0
10,com,750.0,12.0
10,ind,30.0,6.0
10,res,1000.0,2.0
11,com,0.0,0.0
11,ind,0.0,0.0
11,res,0.0,0.0
12,com,0.0,0.0
12,ind,0.0,0.0
12,res,0.0,0.0
13,com,0.0,0.0
13,ind,0.0,0.0
13,res,0.0,0.0
14,com,0.0,0.0
14,ind,0.0,0.0
14,res,0.0,0.0
15,com,0.0,0.0
15,ind,0.0,0.0
15,res,0.0,0.0
16,com,0.0,0.0
16,ind,0.0,0.0
16,res,0.0,0.0
17,com,0.0,0.0
17,ind,0.0,0.0
17,res,0.0,0.0
18,com,0.0,0.0
18,ind,0.0,0.0
18,res,0.0,0.0
19,com,1437.5,23.0
19,ind,240.0,48.0
19,res,20000.0,40.0
20,com,375.0,6.0
20,ind,110.0,22.0
20,res,6000.0,12.0
21,com,562.5,9.0
21,ind,100.0,20.0
21,res,6000.0,12.0
22,com,562.5,9.0
22,ind,135.0,27.0
22,res,3500.0,7.0
23,com,1562.5,25.0
23,ind,1060.0,212.0
23,res,13000.0,26.0
24,com,2187.5,35.0
24,ind,1330.0,266.0
24,res,30000.0,60.0
25,com,0.0,0.0
25,ind,0.0,0.0
25,res,0.0,0.0
26,com,0.0,0.0
26,ind,0.0,0.0
26,res,0.0,0.0
27,com,9937.5,159.0
27,ind,2970.0,594.0
27,res,23000.0,46.0
28,com,7187.5,115.0
28,ind,840.0,168.0
28,res,28000.0,56.0
29,com,7312.5,117.0
29,ind,1100.0,220.0
29,res,25500.0,51.0
30,com,0.0,0.0
30,ind,0.0,0.0
30,res,0.0,0.0
31,com,0.0,0.0
31,ind,0.0,0.0
31,res,0.0,0.0
32,com,1750.0,28.0
32,ind,100.0,20.0
32,res,7500.0,15.0
33,com,5375.0,86.0
33,ind,1720.0,344.0
33,res,13500.0,27.0
34,com,0.0,0.0
34,ind,0.0,0.0
34,res,0.0,0.0
35,com,0.0,0.0
35,ind,0.0,0.0
35,res,0.0,0.0
