,district_id,resource_id,tilt,azimuth,cf
115,286,663,25,180,[  0   0 271 ...   0   0   0]
116,281,664,25,180,[  0   0 246 ...   0   0   0]
117,284,676,25,180,[  0   0 293 ...   0   0   0]
118,283,672,25,180,[  0   0 297 ...   0   0   0]
119,287,662,25,180,[  0   0 241 ...   0   0   0]
120,271,711,25,180,[  0   0 198 ...   0   0   0]
121,264,701,25,180,[  0   0 229 ...   0   0   0]
122,262,712,25,180,[  0   0 241 ...   0   0   0]
123,270,689,25,180,[  0   0 250 ...   0   0   0]
124,261,724,25,180,[  0   0 244 ...   0   0   0]
125,267,666,15,180,[  0  36 255 ...   0   0   0]
126,635,387,15,180,[  0   0 108 ...   0   0   0]
127,634,393,15,180,[  0   0 111 ...   0   0   0]
128,49,89,35,180,[0 0 0 ... 0 0 0]
129,47,146,35,180,[0 0 0 ... 0 0 0]
130,54,99,35,180,[0 0 0 ... 0 0 0]
131,51,177,35,180,[0 0 0 ... 0 0 0]
132,38,147,35,180,[0 0 0 ... 0 0 0]
133,53,145,35,180,[0 0 0 ... 0 0 0]
134,43,84,35,180,[0 0 0 ... 0 0 0]
135,39,570,25,180,[  0   0 148 ...   0   0   0]
136,104,381,25,180,[0 0 0 ... 0 0 0]
137,102,81,25,180,[0 0 0 ... 0 0 0]
138,115,198,25,180,[0 0 0 ... 0 0 0]
139,101,37,25,180,[0 0 0 ... 0 0 0]
140,119,83,25,180,[0 0 0 ... 0 0 0]
141,120,137,25,180,[0 0 0 ... 0 0 0]
142,112,53,25,180,[0 0 0 ... 0 0 0]
143,113,271,25,180,[0 0 0 ... 0 0 0]
144,107,211,25,180,[0 0 0 ... 0 0 0]
145,242,606,25,180,[  0   0 137 ...   0   0   0]
146,244,616,25,180,[  0   0 154 ...   0   0   0]
147,241,614,25,180,[  0   0 181 ...   0   0   0]
148,243,610,25,180,[  0   0 152 ...   0   0   0]
149,632,208,15,180,[ 0  0 46 ...  0  0  0]
150,605,344,15,180,[ 0  0 89 ...  0  0  0]
151,626,94,35,180,[0 0 0 ... 0 0 0]
152,614,316,15,180,[ 0  0 89 ...  0  0  0]
153,628,252,15,180,[ 0  0 83 ...  0  0  0]
154,631,360,15,180,[  0   0 104 ...   0   0   0]
155,612,359,15,180,[  0   0 106 ...   0   0   0]
156,604,410,15,180,[  0   0 103 ...   0   0   0]
157,607,315,15,180,[  0   0 102 ...   0   0   0]
158,291,646,25,180,[  0   0 219 ...   0   0   0]
159,289,636,25,180,[  0   0 203 ...   0   0   0]
160,292,651,25,180,[  0   0 214 ...   0   0   0]
161,290,641,25,180,[  0   0 216 ...   0   0   0]
162,181,443,25,180,[0 0 0 ... 0 0 0]
163,140,462,25,180,[0 0 0 ... 0 0 0]
164,157,311,25,180,[0 0 0 ... 0 0 0]
165,187,370,25,180,[0 0 0 ... 0 0 0]
166,183,295,25,180,[0 0 0 ... 0 0 0]
167,152,428,25,180,[0 0 0 ... 0 0 0]
168,178,482,25,180,[0 0 0 ... 0 0 0]
169,191,296,25,180,[0 0 0 ... 0 0 0]
170,184,511,25,180,[0 0 0 ... 0 0 0]
171,338,603,25,180,[  0   0 162 ...   0   0   0]
172,336,374,25,180,[0 0 0 ... 0 0 0]
173,339,588,25,180,[  0   0 151 ...   0   0   0]
174,334,600,25,180,[  0   0 155 ...   0   0   0]
175,333,607,25,180,[  0   0 148 ...   0   0   0]
176,337,617,25,180,[  0   0 167 ...   0   0   0]
177,343,611,25,180,[  0   0 171 ...   0   0   0]
178,345,613,25,180,[  0   0 155 ...   0   0   0]
179,340,608,25,180,[  0   0 148 ...   0   0   0]
