"id","year","type","value","scenario"
"p6",2038,"price",192.169975417847,"BAU"
"p6",2040,"price",176.276320591458,"BAU"
"p6",2042,"price",174.170387950731,"BAU"
"p6",2044,"price",179.950186615818,"BAU"
"p6",2046,"price",162.091179467596,"BAU"
"p6",2048,"price",174.301623634961,"BAU"
"p6",2050,"price",204.837213645684,"BAU"
"p7",2010,"price",72.014380396913,"BAU"
"p7",2012,"price",141.459301311319,"BAU"
"p7",2014,"price",866.326225757325,"BAU"
"p7",2016,"price",252.797485912485,"BAU"
"p7",2018,"price",289.581797297739,"BAU"
"p7",2020,"price",271.343631104704,"BAU"
"p7",2022,"price",251.734506259204,"BAU"
"p7",2024,"price",232.803820578208,"BAU"
"p7",2026,"price",213.634606361885,"BAU"
"p7",2028,"price",201.22739951312,"BAU"
"p7",2030,"price",230.896044226341,"BAU"
"p7",2032,"price",321.206693030236,"BAU"
"p7",2034,"price",304.06472480238,"BAU"
"p7",2036,"price",391.316890846186,"BAU"
"p7",2038,"price",385.132616146757,"BAU"
"p7",2040,"price",373.570649130381,"BAU"
"p7",2042,"price",387.924624117935,"BAU"
"p7",2044,"price",393.762145065881,"BAU"
"p7",2046,"price",365.504316996785,"BAU"
"p7",2048,"price",344.298551952462,"BAU"
"p7",2050,"price",325.594233299249,"BAU"
"p8",2010,"price",104.807822737241,"BAU"
"p8",2012,"price",139.447976220633,"BAU"
"p8",2014,"price",159.773758959853,"BAU"
"p8",2016,"price",153.48745466972,"BAU"
"p8",2018,"price",148.878600631458,"BAU"
"p8",2020,"price",133.339219911218,"BAU"
"p8",2022,"price",145.011908123092,"BAU"
"p8",2024,"price",174.17218399231,"BAU"
"p8",2026,"price",302.715272659215,"BAU"
"p8",2028,"price",288.041910362291,"BAU"
"p8",2030,"price",278.766105457661,"BAU"
"p8",2032,"price",267.308780333893,"BAU"
"p8",2034,"price",250.968383084085,"BAU"
"p8",2036,"price",427.745745801722,"BAU"
"p8",2038,"price",391.693239687585,"BAU"
"p8",2040,"price",473.96051641832,"BAU"
"p8",2042,"price",434.693267770785,"BAU"
"p8",2044,"price",397.129887048595,"BAU"
"p8",2046,"price",361.685672081399,"BAU"
"p8",2048,"price",326.075289625357,"BAU"
"p8",2050,"price",290.221840674772,"BAU"
"p9",2010,"price",148.178071105181,"BAU"
"p9",2012,"price",1216.40306335028,"BAU"
"p9",2014,"price",2893.46464130464,"BAU"
"p9",2016,"price",2677.44552229327,"BAU"
"p9",2018,"price",2575.57107198105,"BAU"
"p9",2020,"price",2320.89194117297,"BAU"
"p9",2022,"price",2110.31186154521,"BAU"
"p9",2024,"price",1942.16288374211,"BAU"
"p9",2026,"price",1760.39901537092,"BAU"
"p9",2028,"price",1558.99671740969,"BAU"
"p9",2030,"price",1375.3793175143,"BAU"
"p9",2032,"price",1150.30936677238,"BAU"
"p9",2034,"price",932.457186041431,"BAU"
"p9",2036,"price",747.445578569627,"BAU"
"p9",2038,"price",546.367701008,"BAU"
"p9",2040,"price",356.401726401085,"BAU"
"p9",2042,"price",206.34790624339,"BAU"
"p9",2044,"price",152.119911617296,"BAU"
"p9",2046,"price",137.392142325269,"BAU"
"p9",2048,"price",129.522474540125,"BAU"
"p9",2050,"price",120.445171193379,"BAU"
"p10",2010,"price",147.665254173673,"BAU"
"p10",2012,"price",718.30971840215,"BAU"
"p10",2014,"price",2705.52954829849,"BAU"
"p10",2016,"price",3088.49767167455,"BAU"
"p10",2018,"price",3006.59110577823,"BAU"
"p10",2020,"price",3836.83860377537,"BAU"
"p10",2022,"price",3499.0189431813,"BAU"
"p10",2024,"price",3080.61528709209,"BAU"
"p10",2026,"price",2773.73103361906,"BAU"
"p10",2028,"price",2439.04682987763,"BAU"
"p10",2030,"price",2198.01024870027,"BAU"
"p10",2032,"price",1907.10848666847,"BAU"
"p10",2034,"price",1617.74191032156,"BAU"
"p10",2036,"price",1302.74754418724,"BAU"
"p10",2038,"price",1009.91519453916,"BAU"
"p10",2040,"price",737.318092808307,"BAU"
"p10",2042,"price",505.624034991474,"BAU"
"p10",2044,"price",359.417324842504,"BAU"
"p10",2046,"price",283.278769808889,"BAU"
"p10",2048,"price",216.44949054896,"BAU"
"p10",2050,"price",182.355771432595,"BAU"
"p11",2010,"price",162.602060955434,"BAU"
"p11",2012,"price",238.873789579825,"BAU"
"p11",2014,"price",1153.71512634474,"BAU"
"p11",2016,"price",2793.05566737481,"BAU"
"p11",2018,"price",5907.85510840262,"BAU"
"p11",2020,"price",5726.05883475919,"BAU"
"p11",2022,"price",5221.44024711504,"BAU"
"p11",2024,"price",4703.45530744762,"BAU"
"p11",2026,"price",4245.3796035835,"BAU"
"p11",2028,"price",3779.15560159494,"BAU"
"p11",2030,"price",3390.5111586838,"BAU"
"p11",2032,"price",2990.33656993163,"BAU"
"p11",2034,"price",2545.36569797014,"BAU"
"p11",2036,"price",2194.91316910265,"BAU"
"p11",2038,"price",1758.57975776914,"BAU"
"p11",2040,"price",1360.31694546273,"BAU"
"p11",2042,"price",923.7876180522,"BAU"
"p11",2044,"price",561.788652682176,"BAU"
