state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MN,11565.09253,11579.51719,11556.92894,11556.08721,11652.68975,11731.22399,11820.75833,11979.26813,12128.76108,12235.85637,12289.96901,12363.64891,12461.23154,12549.40528,12645.07385,12724.74961,12803.54906,12861.42064,12915.30267,12968.25073,13004.67559,13042.8992,13076.57979,13123.07077,13180.58491,13246.68927,13322.28324,13391.47777,13461.82536,13539.79461,13620.6926,13683.8769,13747.3543,13811.12616,13875.19385,13939.55874,14004.22221,14069.18564,14134.45042,14200.01796,14265.88966
MO,17555.91787,17329.96118,17081.80123,17111.02061,17261.84998,17296.10262,17473.59314,17736.77167,18006.66639,18205.12093,18285.14884,18378.09279,18525.20974,18665.08617,18823.46494,18952.4512,19075.13223,19168.76166,19258.71946,19345.57357,19409.50685,19471.3234,19522.2563,19591.46004,19676.8133,19777.32435,19888.86375,19997.28936,20102.79381,20196.44619,20284.79908,20374.81041,20465.28335,20556.22052,20647.62458,20739.49818,20831.84401,20924.66475,21017.96312,21111.74185,21206.00368
MS,9113.479669,8846.02575,8621.61724,8658.822252,8854.478786,8808.263893,8889.767215,9009.13923,9141.930561,9258.398565,9304.098699,9353.538112,9428.670092,9512.585329,9605.960456,9694.990897,9781.538197,9866.016755,9952.321245,10038.66135,10109.63642,10177.183,10241.22341,10312.63553,10391.11506,10478.59799,10575.54728,10678.85173,10780.23636,10869.19557,10952.29497,11040.33093,11129.07453,11218.53146,11308.70746,11399.60831,11491.23983,11583.60789,11676.71843,11770.57739,11865.19081
MT,2034.902131,2075.437091,2095.264205,2081.615644,2080.361527,2123.747172,2145.576665,2179.553809,2216.947322,2247.799217,2265.774432,2286.689597,2311.862255,2336.53592,2363.108207,2387.157073,2411.599306,2434.590035,2458.352589,2482.033835,2501.025265,2518.387606,2534.691419,2553.42018,2575.51767,2599.643897,2626.48122,2651.50046,2676.508054,2701.369916,2726.517746,2750.167178,2774.023733,2798.089235,2822.365522,2846.854452,2871.557895,2896.47774,2921.615894,2946.974277,2972.55483
NC,26403.40957,25628.54689,24978.39458,25086.18427,25653.03687,25519.14391,25755.27387,26101.11633,26485.83699,26823.266,26955.6676,27098.90258,27316.57361,27559.69132,27830.21606,28088.15346,28338.89674,28583.6465,28833.68632,29083.82931,29289.457,29485.15176,29670.68847,29877.5824,30104.95187,30358.40584,30639.28559,30938.57739,31232.30711,31490.03815,31730.79223,31985.84842,32242.95479,32502.12781,32763.3841,33026.7404,33292.21359,33559.82069,33829.57886,34101.50537,34375.61766
ND,1912.114971,1914.499872,1910.765243,1910.626076,1926.59786,1939.582322,1954.385485,1980.592708,2005.309129,2023.015733,2031.962449,2044.144318,2060.278145,2074.856354,2090.67372,2103.846915,2116.875223,2126.443424,2135.352011,2144.106181,2150.128485,2156.448187,2162.016769,2169.703357,2179.212459,2190.141826,2202.640157,2214.080438,2225.711359,2238.602407,2251.97768,2262.424258,2272.919296,2283.463018,2294.055652,2304.697423,2315.38856,2326.129291,2336.919847,2347.760458,2358.651358
NE,5949.993832,5957.415011,5945.793837,5945.360786,5995.060735,6035.46493,6081.528442,6163.078357,6239.989295,6295.087543,6322.927344,6360.834085,6411.03827,6456.401782,6505.621223,6546.612706,6587.153341,6616.927039,6644.648197,6671.888847,6690.628658,6710.293892,6727.62184,6751.540459,6781.130259,6815.139546,6854.031031,6889.630147,6925.822482,6965.936,7007.556296,7040.063271,7072.721041,7105.530305,7138.491767,7171.606131,7204.874108,7238.296411,7271.873754,7305.606857,7339.496443
NH,2132.991432,2091.047679,2083.089589,2078.894706,2213.075103,2226.035565,2268.659844,2307.515838,2324.742283,2321.238083,2299.86754,2286.734407,2282.057061,2278.20752,2279.274015,2278.166891,2280.030719,2282.37701,2282.585231,2285.398748,2284.982307,2286.96802,2286.541422,2288.16148,2290.330021,2294.027206,2298.811201,2306.134472,2310.689932,2310.827053,2311.756428,2314.451034,2317.148782,2319.849674,2322.553714,2325.260906,2327.971254,2330.68476,2333.40143,2336.121266,2338.844273
NJ,18345.40141,18189.04659,17882.6206,17807.80892,17705.34913,17996.75211,18173.11353,18162.71299,18225.57849,18252.30211,18108.26904,17984.09812,17929.06191,17902.98833,17912.57994,17908.57862,17908.54973,17911.26543,17905.25623,17923.29828,17918.08356,17928.32521,17926.70735,17934.34886,17944.05603,17970.1585,18012.38182,18039.68324,18067.37469,18078.10747,18102.72208,18121.29026,18139.87748,18158.48376,18177.10913,18195.75361,18214.41721,18233.09995,18251.80185,18270.52294,18289.26323
NM,4050.358388,4076.709776,4074.791329,4084.144807,4098.50577,4159.481534,4207.277993,4275.612454,4353.152073,4417.077066,4454.514548,4495.205015,4545.507871,4594.698651,4646.536075,4693.732246,4740.009463,4782.71491,4826.42222,4869.244823,4904.59009,4936.434213,4965.612409,4999.989879,5040.173627,5084.356379,5132.910283,5179.059526,5225.174106,5268.505853,5311.591617,5354.157187,5397.073406,5440.343224,5483.969618,5527.955588,5572.304161,5617.01839,5662.101355,5707.556159,5753.385936
NV,7535.024376,7692.34528,7770.288311,7717.182332,7709.068336,7875.342326,7957.329768,8084.300802,8224.873479,8341.397848,8409.565485,8488.523814,8583.257027,8676.362406,8776.608437,8867.565747,8960.083764,9047.651152,9138.356735,9228.777027,9301.49253,9367.805779,9430.150134,9501.506311,9585.608259,9677.32075,9779.270133,9874.355764,9969.357485,10063.5369,10158.73161,10248.68562,10339.43615,10430.99027,10523.35508,10616.53777,10710.54558,10805.38581,10901.06584,10997.5931,11094.97509
NY,28934.82556,28688.21883,28204.91611,28086.92126,27925.31912,28384.92718,28663.08882,28646.68482,28745.83786,28787.98702,28560.81446,28364.96898,28278.1645,28237.0406,28252.16873,28245.85775,28245.81218,28250.09545,28240.61758,28269.07396,28260.84918,28277.00256,28274.45082,28286.5032,28301.8136,28342.98307,28409.57874,28452.63922,28496.31486,28513.24287,28552.06566,28581.35185,28610.66808,28640.01438,28669.39078,28698.79731,28728.234,28757.70089,28787.198,28816.72537,28846.28302
OH,28477.25328,28474.3911,28361.29159,27891.35909,27970.34372,28116.73414,28320.45492,28708.5117,29036.24586,29234.38683,29245.05496,29309.36729,29463.83832,29602.59627,29796.18377,29921.97517,30057.24935,30135.52566,30205.17206,30279.79113,30304.03294,30343.40961,30372.30607,30421.28116,30498.74796,30598.80865,30720.04658,30826.49658,30924.57686,31036.27419,31145.16716,31230.55411,31316.17516,31402.03094,31488.1221,31574.44929,31661.01315,31747.81433,31834.85349,31922.13127,32009.64833
OK,11930.58504,11612.20827,11308.50653,11593.86706,11763.52578,11749.92782,11916.055,12117.90144,12359.74434,12556.80613,12672.48723,12780.42174,12924.37585,13063.44173,13202.19692,13329.67398,13442.48636,13538.5835,13632.97182,13719.77926,13798.4362,13866.37425,13922.8374,13997.03073,14081.21799,14176.5591,14277.07843,14379.25477,14481.40005,14559.42525,14631.34016,14717.34705,14803.85951,14890.88051,14978.41304,15066.46011,15155.02475,15244.10999,15333.7189,15423.85455,15514.52005
OR,7309.983894,7462.606264,7538.221454,7486.701534,7478.82987,7640.137933,7719.676744,7842.855671,7979.230014,8092.274275,8158.406023,8235.006188,8326.910106,8417.234807,8514.486898,8602.727683,8692.482563,8777.43467,8865.431247,8953.151054,9023.69484,9088.027583,9148.509966,9217.735025,9299.325191,9388.298603,9487.203173,9579.448983,9671.61339,9762.980049,9855.331683,9942.599128,10030.63931,10119.45908,10209.06533,10299.46504,10390.66521,10482.67296,10575.49541,10669.1398,10763.61339
PA,27593.44274,27414.67998,27039.05692,26843.3174,26745.19198,27111.53374,27360.32623,27439.75104,27588.43864,27665.47993,27503.93409,27377.62856,27351.27347,27354.21135,27410.66815,27435.69681,27467.48045,27488.98427,27498.5206,27536.6211,27536.38317,27557.30991,27562.26361,27582.48632,27611.76311,27665.02838,27741.63634,27797.77,27852.37933,27890.87533,27944.52328,27985.75565,28027.06477,28068.45081,28109.91396,28151.45438,28193.07225,28234.76774,28276.54103,28318.39229,28360.3217
RI,1646.712915,1614.331482,1608.187674,1604.949139,1708.539144,1718.544885,1751.451698,1781.449318,1794.748486,1792.043171,1775.544676,1765.40563,1761.794624,1758.822699,1759.646055,1758.791333,1760.230246,1762.04163,1762.202381,1764.374474,1764.052973,1765.585984,1765.256641,1766.507359,1768.181517,1771.03582,1774.729161,1780.382876,1783.899784,1784.005644,1784.72314,1786.803432,1788.886148,1790.971292,1793.058866,1795.148873,1797.241317,1799.3362,1801.433524,1803.533293,1805.63551
SC,15699.63462,15238.89636,14852.31168,14916.40411,15253.45825,15173.84465,15314.24902,15519.88914,15748.64648,15949.28391,16028.01074,16113.17917,16242.60774,16387.16707,16548.0228,16701.39401,16850.48755,16996.01731,17144.69257,17293.42918,17415.69671,17532.05805,17642.37935,17765.39979,17900.59512,18051.30046,18218.31334,18396.27413,18570.92769,18724.1762,18867.3301,19018.98813,19171.8652,19325.97113,19481.31577,19637.90909,19795.76114,19954.88201,20115.28193,20276.97115,20439.96006
SD,1809.428355,1816.129847,1815.379954,1813.669052,1826.648138,1842.393921,1857.112814,1882.624651,1907.31096,1925.471322,1934.926471,1947.384203,1963.587715,1978.454433,1994.561595,2008.200572,2021.766494,2032.319073,2042.419858,2052.38423,2059.554937,2066.779487,2073.262938,2081.770646,2092.170171,2103.974195,2117.38474,2129.713099,2142.196765,2155.698971,2169.632569,2180.984059,2192.399603,2203.879597,2215.424444,2227.034545,2238.710309,2250.452144,2262.260461,2274.135676,2286.078206
TN,18625.6802,18079.07107,17620.43603,17696.47379,18096.34697,18001.89525,18168.46772,18412.43435,18683.82673,18921.85829,19015.25797,19116.2998,19269.85084,19441.35266,19632.18814,19814.14416,19991.02526,20163.67837,20340.06323,20516.52088,20661.57622,20799.6246,20930.50722,21076.4558,21236.84838,21415.64168,21613.78186,21824.9104,22032.1153,22213.92576,22383.7602,22563.68375,22745.05354,22927.88121,23112.17848,23297.95714,23485.22912,23674.00642,23864.30113,24056.12546,24249.49169
TX,74210.20404,76363.27213,74545.5907,75038.48504,76582.62321,76872.18763,78398.80195,78323.03703,79837.28825,81197.61099,81923.763,82605.18166,83505.77946,84306.72882,85251.27312,86090.01402,86981.27143,87693.42517,88466.73984,89306.799,90075.62522,90830.45971,91426.85273,92088.08323,92841.82518,93644.26482,94531.41617,95456.36388,96385.3723,97216.01413,97954.28597,98779.36266,99611.43701,100450.5686,101296.8177,102150.2449,103010.9114,103878.8789,104754.2097,105636.9664,106527.2125
UT,5207.406229,5316.12968,5369.9956,5333.294404,5327.686874,5442.597745,5499.258732,5587.007586,5684.156446,5764.685678,5811.795888,5866.363474,5931.83298,5996.177501,6065.45688,6128.316884,6192.255482,6252.772733,6315.45877,6377.947645,6428.200854,6474.029509,6517.115286,6566.429075,6624.551383,6687.933288,6758.389842,6824.102901,6889.757972,6954.844751,7020.633196,7082.799822,7145.516925,7208.789377,7272.622098,7337.020047,7401.988231,7467.531697,7533.655541,7600.364902,7667.664963
VA,21971.95915,21433.13233,20966.13047,20982.00911,21384.33362,21311.55179,21501.79824,21789.83507,22097.81861,22356.66032,22448.8843,22555.41805,22725.2354,22910.93862,23122.69743,23317.21199,23507.94092,23687.44736,23869.49383,24052.38631,24197.99072,24338.6869,24470.95781,24620.59776,24787.99391,24976.39701,25186.55954,25407.55809,25623.66115,25816.37698,25997.05919,26184.70107,26373.79419,26564.35006,26756.38029,26949.89656,27144.91067,27341.4345,27539.48003,27739.05934,27940.18458
VT,986.3089282,966.9138676,963.233996,961.2942551,1023.340132,1029.333133,1049.042873,1067.010134,1074.975752,1073.355388,1063.473512,1057.400667,1055.237832,1053.457779,1053.950934,1053.438992,1054.300839,1055.385778,1055.482061,1056.783049,1056.590484,1057.508691,1057.311429,1058.060554,1059.063302,1060.772904,1062.985054,1066.371381,1068.477855,1068.541261,1068.97101,1070.217013,1071.464469,1072.713379,1073.963744,1075.215567,1076.468849,1077.723592,1078.979798,1080.237467,1081.496603
WA,13014.72174,13286.45116,13421.07672,13329.35047,13315.33573,13602.52918,13744.14037,13963.44858,14206.24995,14407.51436,14525.25556,14661.63478,14825.26084,14986.07527,15159.22324,15316.32745,15476.12737,15627.37641,15784.04583,15940.22249,16065.8189,16180.35715,16288.0402,16411.28875,16556.55217,16714.96076,16891.05081,17055.28559,17219.37543,17382.04496,17546.46814,17701.83942,17858.58648,18016.72152,18176.25681,18337.20477,18499.5779,18663.38881,18828.65025,18995.37505,19163.57617
WI,12980.88053,12981.5121,12932.85733,12742.24929,12786.26859,12855.3687,12949.07611,13126.07879,13277.50749,13371.13439,13382.18105,13417.40494,13492.14702,13559.35048,13649.71202,13710.6034,13775.23009,13814.15102,13849.07793,13885.90467,13900.25669,13920.96759,13936.86564,13962.49459,14001.04296,14049.81763,14108.35606,14160.10473,14208.60368,14263.56955,14317.76239,14360.22583,14402.82057,14445.54704,14488.40569,14531.39694,14574.52122,14617.77896,14661.17062,14704.69661,14748.35739
WV,5578.1859,5577.62525,5555.471074,5463.419681,5478.89136,5507.566633,5547.471899,5623.4853,5687.682575,5726.494856,5728.584552,5741.182191,5771.44031,5798.620517,5836.540855,5861.181146,5887.678945,5903.011877,5916.654364,5931.27091,5936.019447,5943.732634,5949.392935,5958.986282,5974.160647,5993.76075,6017.509098,6038.360753,6057.572931,6079.452445,6100.782635,6117.508416,6134.280051,6151.097667,6167.96139,6184.871347,6201.827663,6218.830466,6235.879884,6252.976044,6270.119075
WY,2349.703251,2398.76181,2423.067371,2406.506934,2403.976686,2455.827153,2481.393913,2520.988244,2564.824078,2601.160747,2622.417974,2647.040142,2676.581512,2705.615262,2736.875735,2765.239636,2794.090224,2821.39702,2849.682423,2877.878862,2900.554284,2921.233242,2940.674551,2962.926084,2989.152226,3017.751621,3049.543263,3079.194529,3108.819629,3138.188304,3167.873586,3195.924619,3224.224039,3252.774047,3281.576861,3310.634719,3339.94988,3369.524622,3399.361244,3429.462065,3459.829423
