state,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
PA,214.96,253.09,298.88,362.59,437.78,536.12,659.01,814.56,1004.13,1239.39,1522.51,1860.38,2255.44,2727.15,3275.65,3861.05,4525.66,5227.28,5969.32
RI,0.36,0.86,1.62,2.91,4.89,8.25,13.51,21.93,35.31,56.05,84.94,132.01,184.48,260.17,364.87,500.6,637.8,784,930.69
SC,0.01,0.04,0.1,0.29,0.78,2.1,5.62,15.27,41.15,110.59,287.44,705.33,1496.44,2722.46,4253.81,6102.87,7990.7,9671.13,10900.21
SD,0.05,0.13,0.2,0.33,0.51,0.77,1.12,1.64,2.4,3.57,5.39,8.34,13.06,20.77,33.05,52.06,80.45,120.29,172.1
TN,49.22,67.42,94.62,144.54,233.84,393.33,661.01,1083.68,1648.88,2325.42,3068.07,3858.39,4636,5355,5998.74,6519.8,6980.19,7361.49,7651.41
TX,258.18,874.34,2580.51,7175.31,14881.13,23739.03,30886.66,35950.83,39224.1,41433.19,42850.82,44283.69,45919.78,48864.27,53201.11,57527.01,60192.68,61629.84,62550.96
UT,0.08,0.26,0.61,1.76,4.87,13.52,36.29,93.79,222.11,457.67,828.6,1350.98,1898.85,2362.7,2648,2801.21,2889.36,2940.24,2987.55
VA,0.2,0.75,1.17,2.43,4.42,7.59,12.68,21.03,34.36,56.23,91.56,150.03,244.56,399.97,646.81,1030.8,1609.84,2443.85,3571.46
VT,20.41,40.92,66.36,129.51,234.07,377.59,530.83,649.05,738.87,800.24,840.7,869.69,888.88,905.91,915.9,922.51,926.11,929,930.28
WA,35.36,61.14,78.84,105.54,138.8,183.63,232.51,295,372.77,456.97,570.55,711.74,890.09,1106.48,1356.77,1623.66,1892.45,2148.05,2372.88
WI,26.78,41.45,62.25,95.56,144.57,219.51,329.1,489.59,713.66,1017.88,1417.08,1916.4,2508.96,3194.83,3927.56,4650.98,5359.56,5977.92,6520.32
WV,0.27,0.67,0.95,1.82,2.9,4.33,6.07,8.33,11.24,15.05,19.91,26.18,34.16,44.45,57.6,74.09,94.78,120.27,151.4
WY,0.22,0.7,1.1,2.07,3.47,5.32,8.17,12.21,17.79,25.92,37.18,52.89,73.97,104.32,145.46,201.11,275.43,369.62,483.41
