turbine_size_kw,size_class,perf_improvement_factor
2.5,Small Residential,0
5,Small Residential,0
10,Small Residential,0
20,Small Residential,0
50,Small Commercial,0
100,Small Commercial,0
250,Mid-size,0
500,Mid-size,0
750,Mid-size,0
1000,Large,0
1500,Large,0
