"","sector","gid","year","customer_expec_elec_rates","ownership_model","loan_term_yrs","loan_rate","down_payment","discount_rate","tax_rate","length_of_irr_analysis_yrs","market_share_last_year","number_of_adopters_last_year","installed_capacity_last_year","market_value_last_year","value_of_increment","value_of_pbi_fit","value_of_ptc","pbi_fit_length","ptc_length","value_of_rebate","value_of_tax_credit_or_deduction","cap","ic","aep","payback_period","lcoe","payback_key","max_market_share","diffusion_market_share","new_market_share","new_adopters","new_capacity","new_market_value","market_share","number_of_adopters","installed_capacity","market_value","county_id","state_abbr","census_division_abbr","utility_type","census_region","row_number","max_height","elec_rate_cents_per_kwh","carbon_price_cents_per_kwh","cap_cost_multiplier","fixed_om_dollars_per_kw_per_yr","variable_om_dollars_per_kwh","installed_costs_dollars_per_kw","ann_cons_kwh","prob","weight","customers_in_bin","initial_customers_in_bin","load_kwh_in_bin","initial_load_kwh_in_bin","load_kwh_per_customer_in_bin","nem_system_limit_kw","excess_generation_factor","i","j","cf_bin","aep_scale_factor","derate_factor","naep","nameplate_capacity_kw","power_curve_id","turbine_height_m","scoe"
"11","residential",3944510,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00116534578577647,5.82948694068384,0.0109859451731646,89.5721879301476,0,161.477471160889,0,10,0,0,0,20,163066.875936985,6459.09884643555,30,218.478278002022,300,0,0.00116534578577647,0,0,0,0,0.00116534578577647,5.82948694068384,0.0109859451731646,89.5721879301476,316,"CA","PAC","IOU","West",4,50,15.9343688343087,0,1.1669305562973,0,0.02,8153.34379684924,7939.81093475385,0.0934899329186609,2323047.856587,5002.36668964283,5002.36668964283,28854713.1825655,28854713.1825655,5768.21232284068,1000,0.503000020980835,22,100,6,1,0.85,322.954942321777,20,1,50,0.74115323062
"12","residential",3947098,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00100148051790774,8.68213222847831,0.0166414198165198,144.583582575379,0,48.2499317169189,0,10,0,0,0,5,43440.8794951053,1929.99726867676,30,195.002271039363,300,0,0.00100148051790774,0,0,0,0,0.00100148051790774,8.68213222847831,0.0166414198165198,144.583582575379,309,"CA","PAC","IOU","West",3,30,15.9343688343087,0,1.11529857497061,0,0.02,8688.17589902105,4530.07868701992,0.0952044473350701,2365650.294259,8669.29717875766,8669.29717875766,29018676.4791948,29018676.4791948,3347.29285210099,1000,0.495000004768372,32,95,9,1,0.85,385.999453735352,5,1,30,0.692712523694
"13","residential",4011221,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00116534578577647,6.26970114253546,0.0118155497567582,121.057990724376,0,23.926171875,0,10,0,0,0,2.5,25614.1257107257,957.046875,30,231.491619936756,300,0,0.00116534578577647,0,0,0,0,0.00116534578577647,6.26970114253546,0.0118155497567582,121.057990724376,316,"CA","PAC","IOU","West",1,40,15.9343688343087,0,1.1669305562973,0,0.02,10245.6502842903,2136.49164356157,0.10054983314997,2498473.012944,5380.1208354291,5380.1208354291,8350727.37134891,8350727.37134891,1552.1449474439,1000,0.509999990463257,21,101,9,1,0.85,382.81875,2.5,1,40,0.784504525096
"14","residential",4080927,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00116534578577647,6.15784087299795,0.0116047437629034,94.6174655732934,0,127.64959564209,0,10,0,0,0,20,163066.875936985,5105.98382568359,30,275.84626419846,300,0,0.00116534578577647,0,0,0,0,0.00116534578577647,6.15784087299795,0.0116047437629034,94.6174655732934,316,"CA","PAC","IOU","West",8,50,15.9343688343087,0,1.1669305562973,0,0.02,8153.34379684924,6616.01646097976,0.0987558829787572,2453896.747137,5284.13192732748,5284.13192732748,25398104.5188205,25398104.5188205,4806.48569492963,1000,0.5,21,102,6,1,0.85,255.29919128418,20,1,50,0.932262975956
"15","residential",4081145,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00116534578577647,5.93597876887986,0.0111866340841881,101.690855801307,0,83.1769603729248,0,10,0,0,0,5,45451.9451677798,3327.07841491699,30,119.141273667603,300,0,0.00116534578577647,0,0,0,0,0.00116534578577647,5.93597876887986,0.0111866340841881,101.690855801307,316,"CA","PAC","IOU","West",2,50,15.9343688343087,0,1.1669305562973,0,0.02,9090.38903355597,5537.4988312099,0.095197787139064,2365484.800996,5093.74886092263,5093.74886092263,20491901.2116388,20491901.2116388,4022.9508307418,1000,0.495000004768372,21,102,15,1,0.85,665.415682983398,5,1,40,0.410232261287
"16","residential",4081347,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00116534578577647,6.05890593024776,0.0114182961616268,103.796754209547,0,63.3857772827148,0,10,0,0,0,5,45451.9451677798,2535.43109130859,30,155.716740498837,300,0,0.00116534578577647,0,0,0,0,0.00116534578577647,6.05890593024776,0.0114182961616268,103.796754209547,316,"CA","PAC","IOU","West",5,50,15.9343688343087,0,1.1669305562973,0,0.02,9090.38903355597,3436.48827589968,0.0971692217073381,2414471.218092,5199.23442826949,5199.23442826949,12980318.3335474,12980318.3335474,2496.58262435145,1000,0.495999991893768,21,102,12,1,0.85,507.086218261719,5,1,40,0.532075969165
"17","residential",4082873,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00116534578577647,7.12301684830718,0.0134236637562226,98.4481453640575,0,340.049934387207,0,10,0,0,0,50,366696.258010864,13601.9973754883,30,233.16617974113,300,0,0.00116534578577647,0,0,0,0,0.00116534578577647,7.12301684830718,0.0134236637562226,98.4481453640575,316,"CA","PAC","IOU","West",10,50,15.9343688343087,0,1.1669305562973,0,0.02,7333.92516021727,24395.6832353969,0.114234815877057,2838518.92804,6112.36333047803,6112.36333047803,108331117.775193,108331117.775193,17723.2785287849,1000,0.505999982357025,22,101,6,1,0.85,272.039947509766,50,1,50,0.790082979544
"18","residential",4173785,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00167134411855097,25.6634580049207,0.0483628067850138,503.68066709125,0,57.9508731842041,0,10,0,0,0,2.5,26036.5713124474,2318.03492736816,30,98.3128693441962,300,0,0.00167134411855097,0,0,0,0,0.00167134411855097,25.6634580049207,0.0483628067850138,503.68066709125,315,"CA","PAC","IOU","West",6,40,15.9343688343087,0,1.18617636958758,0,0.02,10414.628524979,4530.07868701992,0.0952044473350701,2365650.294259,15354.9814906882,15354.9814906882,50533031.1339245,50533031.1339245,3290.98613141081,1000,0.458000004291534,21,104,18,1,0.85,927.213970947266,2.5,1,40,0.335640915513
"19","residential",4247746,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00373900370976893,117.117487663033,0.220711341856668,1815.84895821857,0,131.752127075195,0,10,0,0,0,20,164545.142351388,5270.08508300781,30,269.724393504806,300,0,0.00373900370976893,0,0,0,0,0.00373900370976893,117.117487663033,0.220711341856668,1815.84895821857,311,"CA","PAC","IOU","West",8,40,15.9343688343087,0,1.17750924825668,0,0.02,8227.25711756942,11440.8208555483,0.105217404093332,2614453.3151748,31323.1803854699,31323.1803854699,260345409.14598,260345409.14598,8311.58924292208,1000,0.490000009536743,22,104,6,1,0.85,263.504254150391,20,1,40,0.903856698067
"20","residential",4249007,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00167134411855097,28.3625661082045,0.0534492781274942,442.977691285513,0,142.665985616048,0,10,0,0,0,20,165756.285886168,5706.63942464193,30,251.063495485518,300,0,0.00167134411855097,0,0,0,0,0.00167134411855097,28.3625661082045,0.0534492781274942,442.977691285513,315,"CA","PAC","IOU","West",10,50,15.9343688343087,0,1.18617636958758,0,0.02,8287.81429430842,11440.8208555483,0.105217404093332,2614453.3151748,16969.914090938,16969.914090938,141044818.224503,141044818.224503,8311.46330315377,1000,0.497999995946884,20,104,9,0.666666666666667,0.85,285.331971232096,20,1,50,0.836242214268
"21","residential",4250648,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00167134411855097,26.4436172522856,0.0498330174999773,437.419533599509,0,159.701739501953,0,10,0,0,0,10,87777.0513494809,6388.06958007812,30,119.823482292783,300,0,0.00167134411855097,0,0,0,0,0.00167134411855097,26.4436172522856,0.0498330174999773,437.419533599509,315,"CA","PAC","IOU","West",5,50,15.9343688343087,0,1.18617636958758,0,0.02,8777.70513494809,9553.71005143396,0.0980986258968398,2437565.152839,15821.7670189977,15821.7670189977,109811379.680513,109811379.680513,6940.5256409514,1000,0.462000012397766,21,104,15,0.8,0.85,638.806958007812,10,1,40,0.406136474524
"22","residential",4276534,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00373900370976893,109.193575979525,0.205778497792829,1793.06502340133,0,152.015488433838,0,10,0,0,0,10,87135.6843709943,6080.61953735351,30,124.876468286248,300,0,0.00373900370976893,0,0,0,0,0.00373900370976893,109.193575979525,0.205778497792829,1793.06502340133,311,"CA","PAC","IOU","West",10,50,15.9343688343087,0,1.17750924825668,0,0.02,8713.56843709943,9553.71005143396,0.0980986258968398,2437565.152839,29203.9228776998,29203.9228776998,202693646.825808,202693646.825808,6940.6308075339,1000,0.479999989271164,22,104,12,1,0.85,608.061953735351,10,1,40,0.425660418567
"23","residential",4278574,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00167134411855097,30.7933135690899,0.0580300236284092,480.942059326586,0,453.382342529297,0,10,0,0,0,20,165756.285886168,18135.2937011719,30,80.3729001579357,300,0,0.00167134411855097,0,0,0,0,0.00167134411855097,30.7933135690899,0.0580300236284092,480.942059326586,315,"CA","PAC","IOU","West",2,50,15.9343688343087,0,1.18617636958758,0,0.02,8287.81429430842,24395.6832353969,0.114234815877057,2838518.92804,18424.2809289251,18424.2809289251,326530564.458257,326530564.458257,17722.8389926264,1000,0.488000005483627,20,104,18,1,0.85,906.764685058594,20,1,40,0.276847232626
"24","residential",4298878,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.00127838884304131,7.06579176319212,0.0133158203527662,116.544291555793,0,191.922778320312,0,10,0,0,0,10,87523.1780455663,7676.9111328125,30,99.7590719472092,300,0,0.00127838884304131,0,0,0,0,0.00127838884304131,7.06579176319212,0.0133158203527662,116.544291555793,321,"CA","PAC","IOU","West",10,40,15.9343688343087,0,1.18274564926441,0,0.02,8752.31780455663,14451.5388051305,0.10208204890391,2536545.673945,5527.10687491803,5527.10687491803,58028725.5389955,58028725.5389955,10498.9331402889,1000,0.470999985933304,20,108,18,1,0.85,767.69111328125,10,1,40,0.341309785146
"25","residential",4300147,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.000852756105765984,22.7473682262677,0.0428684964264171,350.399452876845,0,197.196173858643,0,10,0,0,0,20,163476.437051297,7887.8469543457,30,179.71217928247,300,0,0.000852756105765984,0,0,0,0,0.000852756105765984,22.7473682262677,0.0428684964264171,350.399452876845,312,"CA","PAC","IOU","West",5,30,15.9343688343087,0,1.1698614358902,0,0.02,8173.82185256483,9553.71005143396,0.0980986258968398,2437565.152839,26675.1162172389,26675.1162172389,185143919.576807,185143919.576807,6940.69776750051,1000,0.433999985456467,23,105,9,1,0.85,394.392347717285,20,1,30,0.610528699018
"26","residential",4300239,2014,1,"Existing Home",15,0.06,0.2,0.1,0.33,0,0.000852756105765984,26.4890705375214,0.0499199122457413,367.028424802356,0,362.437076568604,0,10,0,0,0,50,367617.257614136,14497.4830627441,30,219.432162558462,300,0,0.000852756105765984,0,0,0,0,0.000852756105765984,26.4890705375214,0.0499199122457413,367.028424802356,312,"CA","PAC","IOU","West",6,30,15.9343688343087,0,1.1698614358902,0,0.02,7352.34515228273,24395.6832353969,0.114234815877057,2838518.92804,31062.891673731,31062.891673731,550536280.860128,550536280.860128,17723.2785228975,1000,0.430999994277954,23,106,12,0.75,0.85,289.949661254883,50,1,30,0.742516220321
