state_id,sector_abbr,real_discount
15,res,0.07416952318910085
4,res,0.08495661281517347
22,res,0.10581435010697397
2,res,0.14032790537019454
32,res,0.07277463240267198
21,res,0.09287250700925834
25,res,0.24313387275837328
16,res,0.0963491255027771
23,res,0.060520119642945555
28,res,0.12371602418636016
12,res,0.12244054039332211
24,res,0.24628088847674723
3,res,0.14750367357218772
20,res,0.09119242100721014
31,res,0.10166125645668335
11,res,0.1561730160262219
30,res,0.1150180635272984
1,res,0.12594577709186844
19,res,0.05820105820105819
5,res,0.2506012506012506
14,res,0.16891157118477637
13,res,0.10430696016974716
9,res,0.10577635697271326
17,res,0.15547038975106287
10,res,0.1027334523105602
18,res,0.09629929035264294
29,res,0.11769978670531069
6,res,0.09932887274693833
7,res,0.11675341227008942
8,res,0.18450207849952419
27,res,0.1398512642312875
26,res,0.1090210693220433
15,com,0.06618529069507953
4,com,0.07157883550811583
22,com,0.08200770415401609
2,com,0.09926448178562639
32,com,0.06548784530186512
21,com,0.07553678260515828
25,com,0.15066746547971577
16,com,0.07727509185191768
23,com,0.059360588922001876
28,com,0.0909585411937092
12,com,0.09032079929719018
24,com,0.15224097333890274
3,com,0.10285236588662297
20,com,0.07469673960413419
31,com,0.07993115732887078
11,com,0.10718703711364007
30,com,0.08660956086417831
1,com,0.09207341764646335
19,com,0.0582010582010582
5,com,0.1544011544011544
14,com,0.11355631469291728
13,com,0.0812540091854027
9,com,0.08198870758688574
17,com,0.10683572397606055
10,com,0.08046725525580921
18,com,0.07725017427685058
29,com,0.08795042245318446
6,com,0.07876496547399829
7,com,0.08747723523557382
8,com,0.12135156835029122
27,com,0.09902616121617287
26,com,0.08361106376155077
15,ind,0.06618529069507953
4,ind,0.07157883550811583
22,ind,0.08200770415401609
2,ind,0.09926448178562639
32,ind,0.06548784530186512
21,ind,0.07553678260515828
25,ind,0.15066746547971577
16,ind,0.07727509185191768
23,ind,0.059360588922001876
28,ind,0.0909585411937092
12,ind,0.09032079929719018
24,ind,0.15224097333890274
3,ind,0.10285236588662297
20,ind,0.07469673960413419
31,ind,0.07993115732887078
11,ind,0.10718703711364007
30,ind,0.08660956086417831
1,ind,0.09207341764646335
19,ind,0.0582010582010582
5,ind,0.1544011544011544
14,ind,0.11355631469291728
13,ind,0.0812540091854027
9,ind,0.08198870758688574
17,ind,0.10683572397606055
10,ind,0.08046725525580921
18,ind,0.07725017427685058
29,ind,0.08795042245318446
6,ind,0.07876496547399829
7,ind,0.08747723523557382
8,ind,0.12135156835029122
27,ind,0.09902616121617287
26,ind,0.08361106376155077
