country_abbr,sector_abbr,control_reg_id,nem_system_size_limit_kw,year_end_excess_sell_rate_usd_per_kwh,year
MEX,res,1,10000000000,0,2016
MEX,res,2,10000000000,0,2016
MEX,res,3,10000000000,0,2016
MEX,res,4,10000000000,0,2016
MEX,res,5,10000000000,0,2016
MEX,res,6,10000000000,0,2016
MEX,res,7,10000000000,0,2016
MEX,res,8,10000000000,0,2016
MEX,res,9,10000000000,0,2016
MEX,com,1,10000000000,0,2016
MEX,com,2,10000000000,0,2016
MEX,com,3,10000000000,0,2016
MEX,com,4,10000000000,0,2016
MEX,com,5,10000000000,0,2016
MEX,com,6,10000000000,0,2016
MEX,com,7,10000000000,0,2016
MEX,com,8,10000000000,0,2016
MEX,com,9,10000000000,0,2016
MEX,ind,1,10000000000,0,2016
MEX,ind,2,10000000000,0,2016
MEX,ind,3,10000000000,0,2016
MEX,ind,4,10000000000,0,2016
MEX,ind,5,10000000000,0,2016
MEX,ind,6,10000000000,0,2016
MEX,ind,7,10000000000,0,2016
MEX,ind,8,10000000000,0,2016
MEX,ind,9,10000000000,0,2016
MEX,res,1,10000000000,0,2018
MEX,res,2,10000000000,0,2018
MEX,res,3,10000000000,0,2018
MEX,res,4,10000000000,0,2018
MEX,res,5,10000000000,0,2018
MEX,res,6,10000000000,0,2018
MEX,res,7,10000000000,0,2018
MEX,res,8,10000000000,0,2018
MEX,res,9,10000000000,0,2018
MEX,com,1,10000000000,0,2018
MEX,com,2,10000000000,0,2018
MEX,com,3,10000000000,0,2018
MEX,com,4,10000000000,0,2018
MEX,com,5,10000000000,0,2018
MEX,com,6,10000000000,0,2018
MEX,com,7,10000000000,0,2018
MEX,com,8,10000000000,0,2018
MEX,com,9,10000000000,0,2018
MEX,ind,1,10000000000,0,2018
MEX,ind,2,10000000000,0,2018
MEX,ind,3,10000000000,0,2018
MEX,ind,4,10000000000,0,2018
MEX,ind,5,10000000000,0,2018
MEX,ind,6,10000000000,0,2018
MEX,ind,7,10000000000,0,2018
MEX,ind,8,10000000000,0,2018
MEX,ind,9,10000000000,0,2018
MEX,res,1,10000000000,0,2020
MEX,res,2,10000000000,0,2020
MEX,res,3,10000000000,0,2020
MEX,res,4,10000000000,0,2020
MEX,res,5,10000000000,0,2020
MEX,res,6,10000000000,0,2020
MEX,res,7,10000000000,0,2020
MEX,res,8,10000000000,0,2020
MEX,res,9,10000000000,0,2020
MEX,com,1,10000000000,0,2020
MEX,com,2,10000000000,0,2020
MEX,com,3,10000000000,0,2020
MEX,com,4,10000000000,0,2020
MEX,com,5,10000000000,0,2020
MEX,com,6,10000000000,0,2020
MEX,com,7,10000000000,0,2020
MEX,com,8,10000000000,0,2020
MEX,com,9,10000000000,0,2020
MEX,ind,1,10000000000,0,2020
MEX,ind,2,10000000000,0,2020
MEX,ind,3,10000000000,0,2020
MEX,ind,4,10000000000,0,2020
MEX,ind,5,10000000000,0,2020
MEX,ind,6,10000000000,0,2020
MEX,ind,7,10000000000,0,2020
MEX,ind,8,10000000000,0,2020
MEX,ind,9,10000000000,0,2020
MEX,res,1,10000000000,0,2022
MEX,res,2,10000000000,0,2022
MEX,res,3,10000000000,0,2022
MEX,res,4,10000000000,0,2022
MEX,res,5,10000000000,0,2022
MEX,res,6,10000000000,0,2022
MEX,res,7,10000000000,0,2022
MEX,res,8,10000000000,0,2022
MEX,res,9,10000000000,0,2022
MEX,com,1,10000000000,0,2022
MEX,com,2,10000000000,0,2022
MEX,com,3,10000000000,0,2022
MEX,com,4,10000000000,0,2022
MEX,com,5,10000000000,0,2022
MEX,com,6,10000000000,0,2022
MEX,com,7,10000000000,0,2022
MEX,com,8,10000000000,0,2022
MEX,com,9,10000000000,0,2022
MEX,ind,1,10000000000,0,2022
MEX,ind,2,10000000000,0,2022
MEX,ind,3,10000000000,0,2022
MEX,ind,4,10000000000,0,2022
MEX,ind,5,10000000000,0,2022
MEX,ind,6,10000000000,0,2022
MEX,ind,7,10000000000,0,2022
MEX,ind,8,10000000000,0,2022
MEX,ind,9,10000000000,0,2022
MEX,res,1,10000000000,0,2024
MEX,res,2,10000000000,0,2024
MEX,res,3,10000000000,0,2024
MEX,res,4,10000000000,0,2024
MEX,res,5,10000000000,0,2024
MEX,res,6,10000000000,0,2024
MEX,res,7,10000000000,0,2024
MEX,res,8,10000000000,0,2024
MEX,res,9,10000000000,0,2024
MEX,com,1,10000000000,0,2024
MEX,com,2,10000000000,0,2024
MEX,com,3,10000000000,0,2024
MEX,com,4,10000000000,0,2024
MEX,com,5,10000000000,0,2024
MEX,com,6,10000000000,0,2024
MEX,com,7,10000000000,0,2024
MEX,com,8,10000000000,0,2024
MEX,com,9,10000000000,0,2024
MEX,ind,1,10000000000,0,2024
MEX,ind,2,10000000000,0,2024
MEX,ind,3,10000000000,0,2024
MEX,ind,4,10000000000,0,2024
MEX,ind,5,10000000000,0,2024
MEX,ind,6,10000000000,0,2024
MEX,ind,7,10000000000,0,2024
MEX,ind,8,10000000000,0,2024
MEX,ind,9,10000000000,0,2024
MEX,res,1,10000000000,0,2026
MEX,res,2,10000000000,0,2026
MEX,res,3,10000000000,0,2026
MEX,res,4,10000000000,0,2026
MEX,res,5,10000000000,0,2026
MEX,res,6,10000000000,0,2026
MEX,res,7,10000000000,0,2026
MEX,res,8,10000000000,0,2026
MEX,res,9,10000000000,0,2026
MEX,com,1,10000000000,0,2026
MEX,com,2,10000000000,0,2026
MEX,com,3,10000000000,0,2026
MEX,com,4,10000000000,0,2026
MEX,com,5,10000000000,0,2026
MEX,com,6,10000000000,0,2026
MEX,com,7,10000000000,0,2026
MEX,com,8,10000000000,0,2026
MEX,com,9,10000000000,0,2026
MEX,ind,1,10000000000,0,2026
MEX,ind,2,10000000000,0,2026
MEX,ind,3,10000000000,0,2026
MEX,ind,4,10000000000,0,2026
MEX,ind,5,10000000000,0,2026
MEX,ind,6,10000000000,0,2026
MEX,ind,7,10000000000,0,2026
MEX,ind,8,10000000000,0,2026
