country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,2,5,ind,HSF,0,0
MEX,2,5,ind,HSL,0,0
MEX,2,5,ind,HSLF,0,0
MEX,2,5,ind,HT,0,0
MEX,2,5,ind,HTF,0,0
MEX,2,5,ind,HTL,0,0
MEX,2,5,ind,HTLF,0,0
MEX,2,5,ind,OM,0.087,1
MEX,2,5,ind,OMF,0,0
MEX,5,6,res,1,1.234314,585
MEX,5,6,com,2,0.736125,122
MEX,5,6,com,3,0.003,1
MEX,5,6,com,5,0,0
MEX,5,6,com,6,0,0
MEX,5,6,com,7,0,0
MEX,5,6,com,9,0,0
MEX,5,6,res,1A,0.06021,16
MEX,5,6,res,1B,0.26131,77
MEX,5,6,res,1C,0.0386,10
MEX,5,6,res,1D,0,0
MEX,5,6,res,1E,0,0
MEX,5,6,res,1F,0,0
MEX,5,6,com,5A,0,0
MEX,5,6,com,9CU,0.00155,1
MEX,5,6,com,9M,0,0
MEX,5,6,com,9N,0,0
MEX,5,6,res,DAC,0.30538,81
MEX,5,6,ind,HM,1.66338,17
MEX,5,6,ind,HMC,0,0
MEX,5,6,ind,HMCF,0,0
MEX,5,6,ind,HMF,0,0
MEX,5,6,ind,HS,0,0
MEX,5,6,ind,HSF,0,0
MEX,5,6,ind,HSL,0,0
MEX,5,6,ind,HSLF,0,0
MEX,5,6,ind,HT,0,0
MEX,5,6,ind,HTF,0,0
MEX,5,6,ind,HTL,0,0
MEX,5,6,ind,HTLF,0,0
MEX,5,6,ind,OM,0.4166,19
MEX,5,6,ind,OMF,0,0
MEX,6,7,res,1,2.819008,378
MEX,6,7,com,2,0.26839,43
MEX,6,7,com,3,0,0
MEX,6,7,com,5,0,0
MEX,6,7,com,6,0,0
MEX,6,7,com,7,0,0
MEX,6,7,com,9,0,0
MEX,6,7,res,1A,0.0391,10
MEX,6,7,res,1B,0,0
MEX,6,7,res,1C,0.29405,67
MEX,6,7,res,1D,0.034,9
MEX,6,7,res,1E,0.02525,6
MEX,6,7,res,1F,0,0
MEX,6,7,com,5A,0,0
MEX,6,7,com,9CU,0,0
MEX,6,7,com,9M,0.0055,2
MEX,6,7,com,9N,0,0
MEX,6,7,res,DAC,0.01425,2
MEX,6,7,ind,HM,0.2508,8
MEX,6,7,ind,HMC,0,0
MEX,6,7,ind,HMCF,0,0
MEX,6,7,ind,HMF,0,0
MEX,6,7,ind,HS,0,0
MEX,6,7,ind,HSF,0,0
MEX,6,7,ind,HSL,0,0
MEX,6,7,ind,HSLF,0,0
MEX,6,7,ind,HT,0,0
MEX,6,7,ind,HTF,0,0
MEX,6,7,ind,HTL,0,0
MEX,6,7,ind,HTLF,0,0
MEX,6,7,ind,OM,0.49212,17
MEX,6,7,ind,OMF,0,0
MEX,3,8,res,1,0.41166,143
MEX,3,8,com,2,0.202715,62
MEX,3,8,com,3,0,0
MEX,3,8,com,5,0,0
MEX,3,8,com,6,0,0
MEX,3,8,com,7,0,0
MEX,3,8,com,9,0,0
MEX,3,8,res,1A,0.037,13
MEX,3,8,res,1B,0.455382,168
MEX,3,8,res,1C,0,0
MEX,3,8,res,1D,0,0
MEX,3,8,res,1E,0,0
MEX,3,8,res,1F,0,0
MEX,3,8,com,5A,0.001913,1
MEX,3,8,com,9CU,0,0
MEX,3,8,com,9M,0,0
MEX,3,8,com,9N,0,0
MEX,3,8,res,DAC,0,0
MEX,3,8,ind,HM,1.075,6
MEX,3,8,ind,HMC,0,0
MEX,3,8,ind,HMCF,0,0
MEX,3,8,ind,HMF,0,0
MEX,3,8,ind,HS,0,0
MEX,3,8,ind,HSF,0,0
MEX,3,8,ind,HSL,0,0
MEX,3,8,ind,HSLF,0,0
MEX,3,8,ind,HT,0,0
MEX,3,8,ind,HTF,0,0
MEX,3,8,ind,HTL,0,0
MEX,3,8,ind,HTLF,0,0
MEX,3,8,ind,OM,0.24,5
MEX,3,8,ind,OMF,0,0
MEX,1,9,res,1,2.591498,673
MEX,1,9,com,2,0.280722,57
MEX,1,9,com,3,0.07273,9
MEX,1,9,com,5,0,0
MEX,1,9,com,6,0,0
MEX,1,9,com,7,0,0
