control_reg_id,state_id,tariff_class,sector_abbr,pv_capacity_mw,pv_systems_count
6,536,comercial,com,0.0,0.0
6,536,industrial,ind,0.0,0.0
6,549,industrial,ind,0.0,0.0
6,606,industrial,ind,0.0,0.0
6,645,comercial,com,0.0,0.0
6,645,industrial,ind,0.0,0.0
6,705,industrial,ind,0.0,0.0
6,973,industrial,ind,0.0,0.0
6,975,industrial,ind,0.0,0.0
7,15,comercial,com,0.0,0.0
7,15,estrato_1,res,0.0,0.0
7,15,estrato_2,res,0.0,0.0
7,15,estrato_3,res,0.0,0.0
7,15,industrial,ind,0.0,0.0
7,30,comercial,com,0.0,0.0
7,30,estrato_1,res,0.0,0.0
7,30,estrato_2,res,0.0,0.0
7,30,estrato_3,res,0.0,0.0
7,30,industrial,ind,0.0,0.0
7,43,comercial,com,0.0,0.0
7,43,estrato_1,res,0.0,0.0
7,43,industrial,ind,0.0,0.0
7,100,comercial,com,0.0,0.0
7,100,estrato_1,res,0.0,0.0
7,100,estrato_2,res,0.0,0.0
7,100,estrato_3,res,0.0,0.0
7,100,estrato_4,res,0.0,0.0
7,100,industrial,ind,0.0,0.0
7,128,comercial,com,0.0,0.0
7,128,estrato_1,res,0.0,0.0
7,128,estrato_2,res,0.0,0.0
7,128,estrato_3,res,0.0,0.0
7,128,industrial,ind,0.0,0.0
7,164,comercial,com,0.0,0.0
7,164,estrato_1,res,0.0,0.0
7,164,estrato_2,res,0.0,0.0
7,164,estrato_3,res,0.0,0.0
7,164,estrato_4,res,0.0,0.0
7,164,industrial,ind,0.0,0.0
7,176,comercial,com,0.0,0.0
7,176,estrato_1,res,0.0,0.0
7,176,estrato_2,res,0.0,0.0
7,176,estrato_3,res,0.0,0.0
7,176,industrial,ind,0.0,0.0
7,182,comercial,com,0.0,0.0
7,182,estrato_1,res,0.0,0.0
7,182,estrato_2,res,0.0,0.0
7,182,estrato_3,res,0.0,0.0
7,329,comercial,com,0.0,0.0
7,329,estrato_1,res,0.0,0.0
7,358,estrato_1,res,0.0,0.0
7,515,comercial,com,0.0,0.0
7,515,estrato_1,res,0.0,0.0
7,515,estrato_2,res,0.0,0.0
7,515,estrato_3,res,0.0,0.0
7,515,industrial,ind,0.0,0.0
7,733,comercial,com,0.0,0.0
7,733,estrato_1,res,0.0,0.0
7,733,estrato_2,res,0.0,0.0
7,733,estrato_3,res,0.0,0.0
7,733,industrial,ind,0.0,0.0
7,878,comercial,com,0.0,0.0
7,878,estrato_1,res,0.0,0.0
7,878,estrato_2,res,0.0,0.0
7,878,estrato_3,res,0.0,0.0
7,914,comercial,com,0.0,0.0
7,914,estrato_1,res,0.0,0.0
7,914,estrato_2,res,0.0,0.0
7,914,estrato_3,res,0.0,0.0
7,914,industrial,ind,0.0,0.0
7,929,comercial,com,0.0,0.0
7,929,estrato_1,res,0.0,0.0
7,929,estrato_2,res,0.0,0.0
7,929,estrato_3,res,0.0,0.0
7,929,industrial,ind,0.0,0.0
7,983,comercial,com,0.0,0.0
7,983,estrato_1,res,0.0,0.0
7,983,estrato_2,res,0.0,0.0
7,983,estrato_3,res,0.0,0.0
7,983,industrial,ind,0.0,0.0
7,1028,comercial,com,0.0,0.0
7,1028,estrato_1,res,0.0,0.0
7,1028,estrato_2,res,0.0,0.0
7,1028,estrato_3,res,0.0,0.0
7,1028,industrial,ind,0.0,0.0
7,1034,comercial,com,0.0,0.0
7,1034,estrato_1,res,0.0,0.0
7,1034,estrato_2,res,0.0,0.0
7,1034,estrato_3,res,0.0,0.0
7,1034,estrato_4,res,0.0,0.0
7,1034,industrial,ind,0.0,0.0
8,27,comercial,com,0.0,0.0
8,27,estrato_1,res,0.0,0.0
8,27,estrato_2,res,0.0,0.0
8,27,estrato_3,res,0.0,0.0
8,27,estrato_4,res,0.0,0.0
8,38,comercial,com,0.0,0.0
8,38,estrato_1,res,0.0,0.0
8,38,estrato_2,res,0.0,0.0
8,38,estrato_3,res,0.0,0.0
8,38,estrato_4,res,0.0,0.0
8,38,estrato_5,res,0.0,0.0
8,38,estrato_6,res,0.0,0.0
8,54,comercial,com,0.0,0.0
8,54,estrato_1,res,0.0,0.0
8,54,estrato_2,res,0.0,0.0
8,54,estrato_3,res,0.0,0.0
8,54,estrato_4,res,0.0,0.0
8,54,estrato_5,res,0.0,0.0
8,54,estrato_6,res,0.0,0.0
8,54,industrial,ind,0.0,0.0
8,60,comercial,com,0.0,0.0
