control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,developable_roof_sqft,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,interconnection_limit,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias,elevation,unsub_cost,departamento,agent_id
EDCD,27,160,PLANETA RICA,res,estrato_1,560.79919,6472,12305553,1901.35,6462.969,158.4458333,1000,1,1,0.6,small,15,38,0.126177799,CORDOBA,195
EDCD,27,355,GUARANDA,res,estrato_1,560.79919,4449,9994127,2246.38,5248.991,187.1983333,1000,1,1,0.6,small,15,11,0.126177799,SUCRE,196
EDCD,27,204,AYAPEL,res,estrato_1,560.79919,6634,16772245,2528.23,8808.909,210.6858333,1000,1,1,0.6,small,15,25,0.126177799,CORDOBA,197
EDCD,27,942,MORALES,res,estrato_1,560.79919,563,2113496,3753.99,1110.024,312.8325,1000,1,1,0.6,small,15,233,0.126177799,BOLIVAR,198
EDCD,27,524,MONTECRISTO,res,estrato_1,560.79919,1495,5419195,3624.88,2846.202,302.0733333,1000,1,1,0.6,small,15,233,0.126177799,BOLIVAR,199
EDCD,27,419,VALENCIA,res,estrato_1,560.79919,5464,12971768,2374.04,6812.87,197.8366667,1000,1,1,0.6,small,15,47,0.126177799,CORDOBA,200
EDCD,27,5,SAN JACINTO DEL CAUCA,res,estrato_1,560.79919,1505,4795622,3186.46,2518.697,265.5383333,1000,1,1,0.6,small,15,52,0.126177799,BOLIVAR,201
EDCD,27,877,TIERRALTA,res,estrato_1,560.79919,16428,45620097,2776.97,23960.018,231.4141667,1000,1,1,0.6,small,15,238,0.126177799,CORDOBA,202
EDCD,27,614,ARENAL,res,estrato_1,560.79919,1938,3701116,1909.76,1943.854,159.1466667,1000,1,1,0.6,small,15,146,0.126177799,BOLIVAR,203
EDCD,27,110,MONTELIBANO,res,estrato_1,560.79919,11789,25075837,2127.05,13170.018,177.2541667,1000,1,1,0.6,small,15,122,0.126177799,CORDOBA,204
EDCD,27,110,MONTELIBANO,res,estrato_1,560.79919,2625,7051393,2686.24,3703.445,223.8533333,1000,1,1,0.6,small,15,122,0.126177799,CORDOBA,205
EDCD,27,638,SIMITI,res,estrato_1,560.79919,2041,4861468,2381.9,2553.28,198.4916667,1000,1,1,0.6,small,15,185,0.126177799,BOLIVAR,206
EDCD,27,638,SIMITI,res,estrato_1,560.79919,1186,2237739,1886.8,1175.277,157.2333333,1000,1,1,0.6,small,15,185,0.126177799,BOLIVAR,207
EDCD,27,181,LA APARTADA,res,estrato_1,560.79919,2866,5595397,1952.34,2938.745,162.695,1000,1,1,0.6,small,15,25,0.126177799,CORDOBA,208
EDCD,27,360,SANTA ROSA DEL SUR,res,estrato_1,560.79919,2875,5016278,1744.79,2634.587,145.3991667,1000,1,1,0.6,small,15,521,0.126177799,BOLIVAR,209
EDCD,27,360,SANTA ROSA DEL SUR,res,estrato_1,560.79919,951,1400009,1472.14,735.295,122.6783333,1000,1,1,0.6,small,15,521,0.126177799,BOLIVAR,210
EDCD,27,17,PUERTO LIBERTADOR,res,estrato_1,560.79919,7696,21511569,2795.16,11298.038,232.93,1000,1,1,0.6,small,15,98,0.126177799,CORDOBA,211
EDCD,27,1042,SAN PABLO,res,estrato_1,560.79919,433,1726924,3988.28,906.993,332.3566667,1000,1,1,0.6,small,15,254,0.126177799,BOLIVAR,212
EDCD,27,1042,SAN PABLO,res,estrato_1,560.79919,95,193002,2031.6,101.366,169.3,1000,1,1,0.6,small,15,254,0.126177799,BOLIVAR,213
EDCD,27,238,EL ROBLE,res,estrato_1,560.79919,2218,4318706,1947.12,2268.217,162.26,1000,1,1,0.6,small,15,44,0.126177799,SUCRE,214
EDCD,27,19,LA JAGUA DEL PILAR,res,estrato_1,560.79919,368,854616,2322.33,448.851,193.5275,1000,1,1,0.6,small,15,524,0.126177799,LA GUAJIRA,215
EDCD,27,451,ALBANIA,res,estrato_1,560.79919,2710,12672223,4676.1,6655.547,389.675,1000,1,1,0.6,small,15,61,0.126177799,LA GUAJIRA,216
