source,year,sector_abbr,control_reg_id,escalation_factor
Planning,2016,com,41,1.01
Planning,2016,com,42,1.01
Planning,2016,ind,1,1.01
Planning,2016,ind,2,1.01
Planning,2016,ind,3,1.01
Planning,2016,ind,4,1.01
Planning,2016,ind,5,1.01
Planning,2016,ind,6,1.01
Planning,2016,ind,7,1.01
Planning,2016,ind,8,1.01
Planning,2016,ind,9,1.01
Planning,2016,ind,10,1.01
Planning,2016,ind,11,1.01
Planning,2016,ind,12,1.01
Planning,2016,ind,13,1.01
Planning,2016,ind,14,1.01
Planning,2016,ind,15,1.01
Planning,2016,ind,16,1.01
Planning,2016,ind,17,1.01
Planning,2016,ind,18,1.01
Planning,2016,ind,19,1.01
Planning,2016,ind,20,1.01
Planning,2016,ind,21,1.01
Planning,2016,ind,22,1.01
Planning,2016,ind,23,1.01
Planning,2016,ind,24,1.01
Planning,2016,ind,25,1.01
Planning,2016,ind,26,1.01
Planning,2016,ind,27,1.01
Planning,2016,ind,28,1.01
Planning,2016,ind,29,1.01
Planning,2016,ind,30,1.01
Planning,2016,ind,31,1.01
Planning,2016,ind,32,1.01
Planning,2016,ind,33,1.01
Planning,2016,ind,34,1.01
Planning,2016,ind,35,1.01
Planning,2016,ind,36,1.01
Planning,2016,ind,37,1.01
Planning,2016,ind,38,1.01
Planning,2016,ind,39,1.01
Planning,2016,ind,40,1.01
Planning,2016,ind,41,1.01
Planning,2016,ind,42,1.01
Planning,2017,res,1,1.02
Planning,2017,res,2,1.02
Planning,2017,res,3,1.02
Planning,2017,res,4,1.02
Planning,2017,res,5,1.02
Planning,2017,res,6,1.02
Planning,2017,res,7,1.02
Planning,2017,res,8,1.02
Planning,2017,res,9,1.02
Planning,2017,res,10,1.02
Planning,2017,res,11,1.02
Planning,2017,res,12,1.02
Planning,2017,res,13,1.02
Planning,2017,res,14,1.02
Planning,2017,res,15,1.02
Planning,2017,res,16,1.02
Planning,2017,res,17,1.02
Planning,2017,res,18,1.02
Planning,2017,res,19,1.02
Planning,2017,res,20,1.02
Planning,2017,res,21,1.02
Planning,2017,res,22,1.02
Planning,2017,res,23,1.02
Planning,2017,res,24,1.02
Planning,2017,res,25,1.02
Planning,2017,res,26,1.02
Planning,2017,res,27,1.02
Planning,2017,res,28,1.02
Planning,2017,res,29,1.02
Planning,2017,res,30,1.02
Planning,2017,res,31,1.02
Planning,2017,res,32,1.02
Planning,2017,res,33,1.02
Planning,2017,res,34,1.02
Planning,2017,res,35,1.02
Planning,2017,res,36,1.02
Planning,2017,res,37,1.02
Planning,2017,res,38,1.02
Planning,2017,res,39,1.02
Planning,2017,res,40,1.02
Planning,2017,res,41,1.02
Planning,2017,res,42,1.02
Planning,2017,com,1,1.02
Planning,2017,com,2,1.02
Planning,2017,com,3,1.02
Planning,2017,com,4,1.02
Planning,2017,com,5,1.02
Planning,2017,com,6,1.02
Planning,2017,com,7,1.02
