control_reg_id,country_abbr,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
8,MEX,0.048000193,0.025601231,0.033984698,0.03721656,0.036672359,0.036095763,0.035270165,0.034728185,0.032678507,0.031207062,0.031254078,0.030821776,0.031643802,0.032065056,0.031888093,0.032056587,0.032394012,0.031903621,0.033916425
9,MEX,0.069767573,0.039428161,0.045846766,0.052008288,0.044510192,0.03531179,0.035034028,0.034570348,0.032835368,0.031998667,0.031604109,0.031801083,0.032121779,0.032785703,0.032569658,0.032935401,0.033535736,0.033474166,0.034860487
1,MEX,0.067097562,0.038151265,0.042446093,0.045306551,0.039253487,0.0363765,0.034934071,0.034074541,0.032211554,0.031287387,0.030978036,0.031575246,0.031792131,0.032360648,0.03133949,0.0325553,0.033199498,0.032448556,0.032908721
6,MEX,0.062556217,0.033219366,0.0377804,0.039215321,0.035819192,0.034414638,0.032616606,0.031367641,0.029304018,0.027744856,0.027622885,0.027785614,0.027976417,0.028464732,0.027540332,0.02815365,0.028757563,0.0278601,0.028481173
4,MEX,0.063084244,0.035649574,0.037997808,0.037472348,0.034943254,0.034410629,0.03389196,0.033407625,0.031830175,0.030962688,0.030719632,0.030974561,0.03151308,0.032043868,0.031532061,0.032144599,0.032705453,0.032492944,0.033535296
5,MEX,0.05908879,0.032308179,0.036802506,0.039260253,0.035318544,0.034136951,0.033184873,0.031881531,0.029666922,0.027844858,0.027886742,0.02795255,0.028406335,0.028767961,0.027919646,0.028281271,0.029112536,0.02815607,0.02904359
3,MEX,0.067109538,0.0379231,0.04401327,0.046053812,0.038924485,0.035852784,0.034507231,0.033558279,0.031691826,0.030385245,0.0304826,0.030775535,0.031040208,0.03167889,0.030969349,0.031778179,0.032265118,0.031407661,0.032415724
2,MEX,0.066926313,0.039338845,0.041647941,0.045002585,0.038442046,0.035650624,0.033987358,0.03274835,0.031217347,0.029643602,0.029948406,0.030195281,0.030453918,0.031110271,0.030130374,0.031197526,0.03171694,0.031205409,0.031308572
7,MEX,0.070279571,0.040408345,0.042585626,0.045548422,0.039215366,0.036383793,0.034896481,0.033681009,0.032162795,0.030703075,0.030911919,0.031383263,0.031693376,0.032308492,0.031476977,0.032182433,0.032695757,0.032048946,0.03192692
