,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Cost ($2014/kW),3667.07584,2979.347105,2291.61837,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635,1603.889635
Inverter Cost ($2014/kW),210,182.7703903,182.7703903,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708,128.3111708
Fixed O&M ($2014/kW-yr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variable O&M ($2014/kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
