control_reg_id,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
14,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
15,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
16,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
17,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
18,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
19,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
20,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
21,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
22,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
23,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
24,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
25,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
26,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
27,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414
