schema,table,proposed action,actual action,remaining to do
diffusion_solar,outputs_ind,change code to dump this to new schema,,
diffusion_solar,outputs_res,change code to dump this to new schema,,
diffusion_solar,point_microdata_com_us,consolidate this with wind version and move to diffusion_shared,,
diffusion_solar,point_microdata_com_us_joined,move this to new diffusion_template schema,,
diffusion_solar,point_microdata_ind_us,consolidate this with wind version and move to diffusion_shared,,
diffusion_solar,point_microdata_ind_us_joined,move this to new diffusion_template schema,,
diffusion_solar,point_microdata_res_us,consolidate this with wind version and move to diffusion_shared,,
diffusion_solar,point_microdata_res_us_joined,move this to new diffusion_template schema,,
diffusion_solar,pt_com_best_option_each_year,change code to dump this to new schema,,
diffusion_solar,pt_com_elec_costs,???change code to dump this to new schema,,
diffusion_solar,pt_com_initial_market_shares,???change code to dump this to new schema,,
diffusion_solar,pt_ind_best_option_each_year,???change code to dump this to new schema,,
diffusion_solar,pt_ind_elec_costs,???change code to dump this to new schema,,
diffusion_solar,pt_ind_initial_market_shares,???change code to dump this to new schema,,
diffusion_solar,pt_res_best_option_each_year,???change code to dump this to new schema,,
diffusion_solar,pt_res_elec_costs,???change code to dump this to new schema,,
diffusion_solar,pt_res_initial_market_shares,???change code to dump this to new schema,,
diffusion_solar,rate_escalations_to_model,move this to new diffusion_template schema,,
diffusion_solar,rate_type_weights,move this to new diffusion_template schema,,
diffusion_solar,reeds_outputs,change code to dump this to new schema,,
diffusion_solar,roof_material_to_roof_style_cbecs,,,
diffusion_solar,roof_material_to_roof_style_recs,,,
diffusion_solar,rooftop_characteristics,,,
diffusion_solar,sample_sets_res,?DELETE?,,
diffusion_solar,scenario_options,MOVE TO NEW diffusion_template schema,,
diffusion_solar,sectors_to_model,MOVE TO NEW diffusion_template schema,,
diffusion_solar,solar_cost_projections,MOVE TO NEW diffusion_template schema,,
diffusion_solar,solar_costs_aeo2014,rename to solar_cost_projections_aeo_2014 and MOVE TO NEW diffusion_template schema,,
diffusion_solar,solar_ds_regional_shading_assumptions,not sure if we can delete this oneÄ,,
diffusion_solar,solar_ds_rooftop_availability,?DELETE?,,
diffusion_solar,solar_ds_rooftop_orientations,?DELETE?,,
diffusion_solar,solar_performance_improvements,MOVE TO NEW diffusion_template schema,,
diffusion_solar,solar_program_target_cost_projections,MOVE TO NEW diffusion_template schema,,
diffusion_solar,solar_re_9809_tzone_lookup,??????,,
diffusion_solar,solar_resource_annual,,,
diffusion_solar,solar_resource_annual_e,,,
diffusion_solar,solar_resource_annual_new,,,
diffusion_solar,solar_resource_annual_s,,,
diffusion_solar,solar_resource_annual_se,,,
diffusion_solar,solar_resource_annual_sw,,,
diffusion_solar,solar_resource_annual_w,,,
diffusion_solar,solar_resource_by_pca_summary,,,
diffusion_solar,solar_resource_hourly,,,
diffusion_solar,starting_capacities_mw_2012_q4_us,,,
diffusion_solar,starting_capacities_mw_2014_us,?DELETE or move to _data,,
diffusion_solar,system_sizing_factors,RENAME WITH solar suffix and MOVE TO NEW diffusion_template schema,,
diffusion_solar,temporal_factors,change code to dump this to new schema,,
diffusion_solar,unique_rate_gen_load_combinations,change code to dump this to new schema,,
diffusion_solar,user_defined_electric_rates,MOVE TO NEW diffusion_template schema,,
diffusion_solar,user_defined_max_market_share,MOVE TO NEW diffusion_template schema,,
diffusion_solar,utilityrate3_results,change code to dump this to new schema,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
diffusion_wind,allowable_turbine_sizes,,,
diffusion_wind,all_rate_jsons,MOVE TO NEW diffusion_template schema,,
diffusion_wind,archive_wind_resource_annual,delete,,
diffusion_wind,archive_wind_resource_current_large_turbine,delete,,
diffusion_wind,archive_wind_resource_current_mid_turbine,delete,,
diffusion_wind,archive_wind_resource_current_small_commercial_turbine_2014_11,delete,,
diffusion_wind,archive_wind_resource_current_small_turbine,delete,,
