"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"Small Hotel",0.884,222260,210.3,968.87338,2841.41574734,189.803749563767,24052.4033333333,124.01,158290,163.3,703.54377,2038.38290011,136.100499480669,17234.9721666667,95.628,63970,47,265.32961,803.03284723,53.703250083098,6817.43116666667,28.382,,,,,,,,14625,77,189.935064935065,80.1,47.6,"Denver","5B"
"Medium Office",1.568,227430,164.44,940.65859,2852.08908537,190.747272495712,22308.9478,266.623,134800,0,460.0724,1584.0292732,106.39099756824,12484.7266666667,174.824,92630,164.44,480.58619,1268.05981217,84.3562749274722,9824.22113333333,91.799,,,,,,,,18600,151,123.17880794702,80.8,35,"Denver","5B"
"School",1.568,822100,2381,5186.8273,12260.5153939,811.707537727856,101550.614666667,976.05,807200,0,2754.9736,9485.3741048,637.08318425136,81217.7733333333,822.27,14900,2381,2431.8537,2775.1412891,174.624353476496,20332.8413333333,153.78,,,,,,,,99000,613,161.500815660685,80.8,43,"Denver","5B"
"Small Hotel",1.568,222260,210.3,968.87338,2841.41574734,189.803749563767,24052.4033333333,124.01,157430,163.3,700.60859,2028.27707537,135.421743858201,17148.4418333333,98.421,64830,47,268.26479,813.13867197,54.382005705566,6903.9615,25.589,,,,,,,,9900,77,128.571428571429,80.3,45.3,"Denver","5B"
"Medium Office",0.997,159810,71.2,616.63153,1955.67115779,131.000361303473,16627.5736,239.578,134790,0,460.03827,1583.91176361,106.383105061002,13562.1205,157.529,25020,71.2,156.59326,371.75939418,24.6172562424712,3065.4531,82.049,,,,,,,,19500,116,168.103448275862,80.6,43.2,"Minneapolis","6A"
"School",0.997,835300,6170,9020.8789,16553.2160527,1081.29979996346,134338.463333333,930.93,952800,0,3251.9064,11196.3137352,751.99808963664,93787.28,835.32,-117500,6170,5768.9725,5356.9023175,329.30171032682,40551.1833333333,95.6099999999999,,,,,,,,120000,633,189.57345971564,80.7,31.2,"Minneapolis","6A"
"Small Hotel",0.997,301600,347.6,1376.9608,3923.6684344,261.81445943613,32664.5153333333,202.885,195920,191.1,859.77496,2510.92908728,167.701572294472,20922.0796666667,138.198,105680,156.5,517.18584,1412.73934712,94.112887141658,11742.4356666667,64.687,,,,,,,,12210,88,138.75,80.8,31.9,"Minneapolis","6A"
"Medium Office",0.766,159810,71.2,616.63153,1955.67115779,131.000361303473,16627.5736,239.578,118780,0,405.39614,1395.77891002,93.747200972964,9464.78633333333,157.496,41030,71.2,211.23539,559.89224777,37.2531603305092,7162.78726666667,82.082,,,,,,,,24000,116,206.896551724138,80.7,46.2,"Minneapolis","6A"
"School",0.766,835300,6170,9020.8789,16553.2160527,1081.29979996346,134338.463333333,930.93,954300,0,3257.0259,11213.9401737,753.18196572234,93934.93,833.64,-119000,6170,5763.853,5339.275879,328.11783424112,40403.5333333334,97.29,,,,,,,,140000,633,221.169036334913,81,33.9,"Minneapolis","6A"
"Small Hotel",0.766,301600,347.6,1376.9608,3923.6684344,261.81445943613,32664.5153333333,202.885,195900,191.1,859.7067,2510.6940681,167.685787279996,20920.111,137.868,105700,156.5,517.2541,1412.9743663,94.128672156134,11744.4043333333,65.017,,,,,,,,15210,88,172.840909090909,80.2,34,"Minneapolis","6A"
"Medium Office",1.298,159810,71.2,616.63153,1955.67115779,131.000361303473,16627.5736,239.578,117870,0,402.29031,1385.08553733,93.028982814306,9392.2745,157.953,41940,71.2,214.34122,570.58562046,37.9713784891672,7235.2991,81.625,,,,,,,,16500,116,142.241379310345,80.9,41.7,"Minneapolis","6A"
"School",1.298,835300,6170,9020.8789,16553.2160527,1081.29979996346,134338.463333333,930.93,949800,0,3241.6674,11161.0608582,749.63033746524,93491.98,831.19,-114500,6170,5779.2115,5392.1551945,331.66946249822,40846.4833333334,99.7399999999999,,,,,,,,105000,633,165.876777251185,79.9,30.3,"Minneapolis","6A"
"Small Hotel",1.298,301600,347.6,1376.9608,3923.6684344,261.81445943613,32664.5153333333,202.885,195240,191.1,857.45412,2502.93843516,167.164881802288,20855.145,138.294,106360,156.5,519.50668,1420.72999924,94.649577633842,11809.3703333333,64.591,,,,,,,,10530,88,119.659090909091,80,31.3,"Minneapolis","6A"
"Medium Office",0.981,255000,260.71,1131.025,3281.189865,219.091949439831,27278.9132,278.325,140830,0,480.65279,1654.88755597,111.150179432754,13862.3663333333,175.217,114170,260.71,650.37221,1626.30230903,107.941770007077,13416.5468666667,103.108,,,,,,,,23400,116,201.724137931034,80.7,29.9,"Helena","6B"
"School",0.981,643200,4270,6465.2416,12221.0568288,799.72145006908,97696.64,802.65,750000,0,2559.75,8813.21925,591.93804285,72337.5,729.3,-106800,4270,3905.4916,3407.8375788,207.78340721908,25359.14,73.35,,,,,,,,87500,480,182.291666666667,78.9,31.3,"Helena","6B"
"Small Hotel",0.981,244630,306.7,1141.62219,3209.55350017,214.053214968947,26289.5705,161.648,157880,204.1,742.94444,2078.11860692,138.567697243268,17068.316,114.96,86750,102.6,398.67775,1131.43489325,75.4855177256796,9221.2545,46.688,,,,,,,,14400,70,205.714285714286,66.8,38.6,"Helena","6B"
"Medium Office",0.612,255000,260.71,1131.025,3281.189865,219.091949439831,27278.9132,278.325,141160,0,481.77908,1658.76537244,111.410632171608,13894.8493333333,175.087,113840,260.71,649.24592,1622.42449256,107.681317268223,13384.0638666667,103.238,,,,,,,,27750,116,239.224137931034,80.9,30.1,"Helena","6B"
"School",0.612,643200,4270,6465.2416,12221.0568288,799.72145006908,97696.64,802.65,755100,0,2577.1563,8873.1491409,595.96322154138,72829.395,729.5,-111900,4270,3888.0853,3347.9076879,203.7582285277,24867.245,73.15,,,,,,,,114000,480,237.5,81.3,33.1,"Helena","6B"
"Small Hotel",0.612,244630,306.7,1141.62219,3209.55350017,214.053214968947,26289.5705,161.648,161870,204.1,756.56231,2125.00493333,141.71680763123,15612.3615,115.073,82760,102.6,385.05988,1084.54856684,72.3364073377176,10677.209,46.575,,,,,,,,14560,70,208,77,37.2,"Helena","6B"
"Medium Office",1.571,255000,260.71,1131.025,3281.189865,219.091949439831,27278.9132,278.325,140690,0,480.17497,1653.24242171,111.039684331422,13848.5856666667,175.702,114310,260.71,650.85003,1627.94744329,108.052265108409,13430.3275333333,102.623,,,,,,,,20000,116,172.413793103448,80.9,28.4,"Helena","6B"
"School",1.571,643200,4270,6465.2416,12221.0568288,799.72145006908,97696.64,802.65,751900,0,2566.2347,8835.5460721,593.43761922522,72520.755,729.4,-108700,4270,3899.0069,3385.5107567,206.28383084386,25175.885,73.25,,,,,,,,66000,480,137.5,80.5,29.1,"Helena","6B"
"Small Hotel",1.571,244630,306.7,1141.62219,3209.55350017,214.053214968947,26289.5705,161.648,157550,204.1,741.81815,2074.24079045,138.307244504414,15195.6975,115.135,87080,102.6,399.80404,1135.31270972,75.7459704645336,11093.873,46.513,,,,,,,,10800,70,154.285714285714,66.3,36.9,"Helena","6B"
