state_abbr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AK,0.0473869999689,0.0384678964925,0.0295487930162,0.0350917305773,0.0406346681385,0.032209706959,0.0237847457795,0.0287800617535,0.0337753777275,0.0347910896318,0.0358068015361,0.0366683217416,0.0375298419472,0.0412646122014,0.0449993824556,0.0538445207482,0.0626896590409,0.0649660859808,0.0672425129206,0.0672731603466,0.0673038077725,0.0649879468012,0.0626720858299,0.0626921115078,0.0627121371858,0.0643676929737,0.0660232487616,0.0674344917906,0.0688457348195,0.0703948869556,0.0719440390917,0.0715001032764,0.0710561674612,0.072339805406,0.0736234433508,0.074804204591,0.0759849658312,0.0766535805196,0.077322195208,0.0776875656021,0.0780529359962
AL,0.0498297163303,0.043271581907,0.0367134474836,0.0395884627843,0.042463478085,0.0359678927968,0.0294723075086,0.0324934677973,0.035514628086,0.0369916348886,0.0384686416911,0.0381050347232,0.0377414277554,0.0380184171513,0.0382954065473,0.0386517008157,0.039007995084,0.0388410617396,0.0386741283952,0.0385737909531,0.038473453511,0.0388130797796,0.0391527060483,0.0393032532073,0.0394538003663,0.0404659052986,0.0414780102308,0.042461469333,0.0434449284351,0.0441873512958,0.0449297741564,0.0463475915166,0.0477654088767,0.0496738155521,0.0515822222275,0.054639335713,0.0576964491986,0.0598146768731,0.0619329045477,0.0630057473228,0.064078590098
AR,0.0469806610818,0.0391849687672,0.0313892764527,0.0369391572907,0.0424890381288,0.0343946281649,0.0263002182011,0.0298571593158,0.0334141004305,0.035737287283,0.0380604741355,0.0378124799542,0.0375644857728,0.037862786613,0.0381610874533,0.0385793374528,0.0389975874524,0.0376820416564,0.0363664958605,0.0362914560559,0.0362164162514,0.0365975482231,0.0369786801949,0.0368969492927,0.0368152183906,0.0375639927284,0.0383127670663,0.0389968215935,0.0396808761207,0.0406913633988,0.0417018506769,0.0428119291567,0.0439220076364,0.0452405015917,0.0465589955469,0.0483703418504,0.0501816881538,0.0513554901798,0.0525292922057,0.0533174794809,0.0541056667562
AZ,0.0413587338839,0.0347206956733,0.0280826574627,0.032892519613,0.0377023817632,0.0305102375676,0.023318093372,0.0271274737584,0.0309368541448,0.0319196112618,0.0329023683789,0.0330788999659,0.0332554315529,0.0336900164809,0.0341246014088,0.0355432748936,0.0369619483784,0.0369144905058,0.0368670326333,0.0367093393385,0.0365516460437,0.0367571669971,0.0369626879505,0.0371378390782,0.0373129902058,0.0381538307782,0.0389946713506,0.0401638268771,0.0413329824037,0.0425824193805,0.0438318563573,0.0447591163309,0.0456863763045,0.0472913166159,0.0488962569272,0.050597890657,0.0522995243868,0.0531861348854,0.0540727453841,0.0548311718764,0.0555895983688
CA,0.0473869999689,0.0384678964925,0.0295487930162,0.0350917305773,0.0406346681385,0.032209706959,0.0237847457795,0.0287800617535,0.0337753777275,0.0347910896318,0.0358068015361,0.0366683217416,0.0375298419472,0.0412646122014,0.0449993824556,0.0538445207482,0.0626896590409,0.0649660859808,0.0672425129206,0.0672731603466,0.0673038077725,0.0649879468012,0.0626720858299,0.0626921115078,0.0627121371858,0.0643676929737,0.0660232487616,0.0674344917906,0.0688457348195,0.0703948869556,0.0719440390917,0.0715001032764,0.0710561674612,0.072339805406,0.0736234433508,0.074804204591,0.0759849658312,0.0766535805196,0.077322195208,0.0776875656021,0.0780529359962
CO,0.0413587338839,0.0347206956733,0.0280826574627,0.032892519613,0.0377023817632,0.0305102375676,0.023318093372,0.0271274737584,0.0309368541448,0.0319196112618,0.0329023683789,0.0330788999659,0.0332554315529,0.0336900164809,0.0341246014088,0.0355432748936,0.0369619483784,0.0369144905058,0.0368670326333,0.0367093393385,0.0365516460437,0.0367571669971,0.0369626879505,0.0371378390782,0.0373129902058,0.0381538307782,0.0389946713506,0.0401638268771,0.0413329824037,0.0425824193805,0.0438318563573,0.0447591163309,0.0456863763045,0.0472913166159,0.0488962569272,0.050597890657,0.0522995243868,0.0531861348854,0.0540727453841,0.0548311718764,0.0555895983688
CT,0.0552586321707,0.044972179973,0.0346857277754,0.0481700036538,0.0616542795322,0.049303300178,0.0369523208239,0.0383494647272,0.0397466086306,0.0413470543756,0.0429475001205,0.0440046087007,0.0450617172808,0.0484867501879,0.0519117830951,0.0506559072328,0.0494000313706,0.0483163370418,0.047232642713,0.0471128402505,0.046993037788,0.047392421874,0.0477918059599,0.0491880938727,0.0505843817855,0.052621519996,0.0546586582066,0.0557876345883,0.05691661097,0.0582731130049,0.0596296150398,0.0604565894472,0.0612835638546,0.0632789158898,0.065274267925,0.0682181696038,0.0711620712826,0.0720355795869,0.0729090878913,0.0756324119,0.0783557359088
DC,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112015942,0.030178559002,0.0329194444005,0.0356603297991,0.0368201797477,0.0379800296962,0.0383508283141,0.0387216269321,0.0391497409302,0.0395778549283,0.0398696146117,0.0401613742952,0.0403761540494,0.0405909338036,0.0407042004491,0.0408174670946,0.0410150903366,0.0412127135785,0.0412133306715,0.0412139477645,0.0422966209603,0.043379294156,0.044407051999,0.0454348098421,0.0464483205233,0.0474618312045,0.0487941348244,0.0501264384442,0.0520363318831,0.053946225322,0.0567115163994,0.0594768074769,0.0614178779697,0.0633589484626,0.0645111600266,0.0656633715905
DE,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112015942,0.030178559002,0.0329194444005,0.0356603297991,0.0368201797477,0.0379800296962,0.0383508283141,0.0387216269321,0.0391497409302,0.0395778549283,0.0398696146117,0.0401613742952,0.0403761540494,0.0405909338036,0.0407042004491,0.0408174670946,0.0410150903366,0.0412127135785,0.0412133306715,0.0412139477645,0.0422966209603,0.043379294156,0.044407051999,0.0454348098421,0.0464483205233,0.0474618312045,0.0487941348244,0.0501264384442,0.0520363318831,0.053946225322,0.0567115163994,0.0594768074769,0.0614178779697,0.0633589484626,0.0645111600266,0.0656633715905
FL,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112015942,0.030178559002,0.0329194444005,0.0356603297991,0.0368201797477,0.0379800296962,0.0383508283141,0.0387216269321,0.0391497409302,0.0395778549283,0.0398696146117,0.0401613742952,0.0403761540494,0.0405909338036,0.0407042004491,0.0408174670946,0.0410150903366,0.0412127135785,0.0412133306715,0.0412139477645,0.0422966209603,0.043379294156,0.044407051999,0.0454348098421,0.0464483205233,0.0474618312045,0.0487941348244,0.0501264384442,0.0520363318831,0.053946225322,0.0567115163994,0.0594768074769,0.0614178779697,0.0633589484626,0.0645111600266,0.0656633715905
GA,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112015942,0.030178559002,0.0329194444005,0.0356603297991,0.0368201797477,0.0379800296962,0.0383508283141,0.0387216269321,0.0391497409302,0.0395778549283,0.0398696146117,0.0401613742952,0.0403761540494,0.0405909338036,0.0407042004491,0.0408174670946,0.0410150903366,0.0412127135785,0.0412133306715,0.0412139477645,0.0422966209603,0.043379294156,0.044407051999,0.0454348098421,0.0464483205233,0.0474618312045,0.0487941348244,0.0501264384442,0.0520363318831,0.053946225322,0.0567115163994,0.0594768074769,0.0614178779697,0.0633589484626,0.0645111600266,0.0656633715905
