state_abbr,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AK,0.130991773617,0.127741034341,0.124490295065,0.125384813153,0.126279331242,0.126012951981,0.12574657272,0.125297822817,0.124849072914,0.123881636083,0.122914199252,0.123440622585,0.123967045918,0.123594613773,0.123222181629,0.12247159891,0.121721016192,0.121068081255,0.120415146318,0.119596219711,0.118777293103,0.118340980608,0.117904668112,0.117365040443,0.116825412774,0.116301376723,0.115777340672,0.114960611224,0.114143881777,0.113961904912,0.113779928046,0.113876635358,0.11397334267,0.114012942893,0.114052543115,0.115163763848,0.116274984581
AL,0.0859946423781,0.0859661336397,0.0859376249013,0.0866464116603,0.0873551984193,0.0873545052771,0.0873538121348,0.0867321670052,0.0861105218756,0.0859402905786,0.0857700592816,0.0863136399261,0.0868572205706,0.0868952793952,0.0869333382197,0.0866963956374,0.0864594530551,0.086249701814,0.0860399505729,0.0856673208608,0.0852946911487,0.0853303619923,0.0853660328358,0.0853171007299,0.085268168624,0.0849671358024,0.0846661029808,0.0844604724738,0.0842548419669,0.0840316437516,0.0838084455362,0.0835707865197,0.0833331275031,0.0832642938428,0.0831954601824,0.0833304095436,0.0834653589048
AR,0.0914054207931,0.0883381604876,0.0852709001822,0.0859973756842,0.0867238511862,0.0870926633499,0.0874614755135,0.0863849112678,0.085308347022,0.0848205925755,0.0843328381291,0.0842975444623,0.0842622507956,0.0842285195567,0.0841947883179,0.0840746238934,0.083954459469,0.0835861987677,0.0832179380665,0.0826059679629,0.0819939978594,0.0814317970359,0.0808695962124,0.0803024488319,0.0797353014515,0.0791789079708,0.0786225144902,0.0779825167502,0.0773425190102,0.0767933087693,0.0762440985284,0.0760698643606,0.0758956301928,0.0758818203595,0.0758680105262,0.0758958982058,0.0759237858853
AZ,0.094376184204,0.0934001722954,0.0924241603868,0.0922110202323,0.0919978800778,0.0911917681693,0.0903856562608,0.0902045774414,0.0900234986221,0.0895358644361,0.0890482302502,0.0882039728113,0.0873597153724,0.087096506083,0.0868332967937,0.0864887911172,0.0861442854407,0.0857344493998,0.0853246133589,0.0848789304909,0.0844332476229,0.0843788510772,0.0843244545315,0.0842022607602,0.0840800669889,0.0835050863845,0.0829301057802,0.0825104036878,0.0820907015955,0.0822539054605,0.0824171093256,0.0826692034791,0.0829212976327,0.083131911048,0.0833425244632,0.083477436714,0.0836123489648
CA,0.130991773617,0.127741034341,0.124490295065,0.125384813153,0.126279331242,0.126012951981,0.12574657272,0.125297822817,0.124849072914,0.123881636083,0.122914199252,0.123440622585,0.123967045918,0.123594613773,0.123222181629,0.12247159891,0.121721016192,0.121068081255,0.120415146318,0.119596219711,0.118777293103,0.118340980608,0.117904668112,0.117365040443,0.116825412774,0.116301376723,0.115777340672,0.114960611224,0.114143881777,0.113961904912,0.113779928046,0.113876635358,0.11397334267,0.114012942893,0.114052543115,0.115163763848,0.116274984581
CO,0.094376184204,0.0934001722954,0.0924241603868,0.0922110202323,0.0919978800778,0.0911917681693,0.0903856562608,0.0902045774414,0.0900234986221,0.0895358644361,0.0890482302502,0.0882039728113,0.0873597153724,0.087096506083,0.0868332967937,0.0864887911172,0.0861442854407,0.0857344493998,0.0853246133589,0.0848789304909,0.0844332476229,0.0843788510772,0.0843244545315,0.0842022607602,0.0840800669889,0.0835050863845,0.0829301057802,0.0825104036878,0.0820907015955,0.0822539054605,0.0824171093256,0.0826692034791,0.0829212976327,0.083131911048,0.0833425244632,0.083477436714,0.0836123489648
CT,0.227929405301,0.230547546657,0.233165688012,0.235274921591,0.23738415517,0.247835119196,0.258286083221,0.248400488887,0.238514894552,0.239277457927,0.240040021302,0.239140273946,0.23824052659,0.272977201948,0.307713877307,0.304864152036,0.302014426765,0.319197212449,0.336379998133,0.353562783817,0.370745569502,0.366114269638,0.361482969775,0.305564792807,0.249646615838,0.241738005772,0.233829395706,0.228090444022,0.222351492338,0.217514981624,0.21267847091,0.209995174135,0.207311877359,0.197047796105,0.18678371485,0.181701831687,0.176619948523
DC,0.105217526373,0.102609168913,0.100000811452,0.100341036042,0.100681260632,0.102417606963,0.104153953294,0.10326923673,0.102384520165,0.101973596765,0.101562673366,0.10091902682,0.100275380274,0.0996128489065,0.0989503175393,0.0985542040566,0.0981580905738,0.0978038453438,0.0974496001138,0.0969761697029,0.0965027392919,0.0963703893827,0.0962380394734,0.0958134832579,0.0953889270425,0.0949296435598,0.0944703600771,0.0937840736453,0.0930977872135,0.093145899834,0.0931940124544,0.0932224092573,0.0932508060602,0.0938027008109,0.0943545955615,0.0941269839436,0.0938993723257
DE,0.105217526373,0.102609168913,0.100000811452,0.100341036042,0.100681260632,0.102417606963,0.104153953294,0.10326923673,0.102384520165,0.101973596765,0.101562673366,0.10091902682,0.100275380274,0.0996128489065,0.0989503175393,0.0985542040566,0.0981580905738,0.0978038453438,0.0974496001138,0.0969761697029,0.0965027392919,0.0963703893827,0.0962380394734,0.0958134832579,0.0953889270425,0.0949296435598,0.0944703600771,0.0937840736453,0.0930977872135,0.093145899834,0.0931940124544,0.0932224092573,0.0932508060602,0.0938027008109,0.0943545955615,0.0941269839436,0.0938993723257
FL,0.105217526373,0.102609168913,0.100000811452,0.100341036042,0.100681260632,0.102417606963,0.104153953294,0.10326923673,0.102384520165,0.101973596765,0.101562673366,0.10091902682,0.100275380274,0.0996128489065,0.0989503175393,0.0985542040566,0.0981580905738,0.0978038453438,0.0974496001138,0.0969761697029,0.0965027392919,0.0963703893827,0.0962380394734,0.0958134832579,0.0953889270425,0.0949296435598,0.0944703600771,0.0937840736453,0.0930977872135,0.093145899834,0.0931940124544,0.0932224092573,0.0932508060602,0.0938027008109,0.0943545955615,0.0941269839436,0.0938993723257
