state_abbr,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AK,0.0414194409252,0.0332869470328,0.0251544531403,0.0268159641367,0.028477475133,0.0307547660157,0.0330320568984,0.0336514243046,0.0342707917107,0.0369991153389,0.039727438967,0.0444299994446,0.0491325599222,0.0515560948162,0.0539796297103,0.0562681916864,0.0585567536626,0.0581217780504,0.0576868024383,0.057905116197,0.0581234299558,0.0584495605988,0.0587756912418,0.0587475661425,0.0587194410432,0.059657089668,0.0605947382928,0.0604738272354,0.060352916178,0.0599138577311,0.0594747992843,0.0592230321078,0.0589712649314,0.0610766744845,0.0631820840376,0.0633827511828,0.0635834183279
AL,0.0426742430136,0.0360454512157,0.0294166594178,0.0304374395699,0.0314582197221,0.0333315420395,0.0352048643569,0.0345730735916,0.0339412828264,0.0342515856007,0.034561888375,0.0346190421681,0.0346761959611,0.0346542370435,0.0346322781259,0.034607344612,0.0345824110982,0.0346969304748,0.0348114498515,0.0351164903081,0.0354215307648,0.0359339652796,0.0364463997944,0.0370646829082,0.0376829660221,0.0383238846258,0.0389648032294,0.0395320657915,0.0400993283536,0.0407362425283,0.041373156703,0.0425452107384,0.0437172647738,0.0445431758148,0.0453690868558,0.045367846526,0.0453666061962
AR,0.0417511365822,0.0344143675377,0.0270775984932,0.0284519168298,0.0298262351664,0.0320970467037,0.0343678582409,0.0335892069451,0.0328105556493,0.0332251606405,0.0336397656318,0.0337317719166,0.0338237782014,0.0338363024542,0.0338488267071,0.0338547227333,0.0338606187596,0.0338666063758,0.0338725939921,0.0340849989549,0.0342974039177,0.0347162047479,0.0351350055781,0.0354878272185,0.0358406488588,0.0362740333526,0.0367074178464,0.0368363999219,0.0369653819975,0.0376664646026,0.0383675472077,0.0390654562756,0.0397633653435,0.0405172797543,0.0412711941651,0.0417530387619,0.0422348833587
AZ,0.0373597354448,0.0302353387323,0.0231109420198,0.0251716596277,0.0272323772356,0.0289859964493,0.030739615663,0.0308936141328,0.0310476126026,0.0319017719499,0.0327559312972,0.0334536622841,0.034151393271,0.0342745987318,0.0343978041926,0.0344809314301,0.0345640586676,0.0346718365787,0.0347796144898,0.0350696166691,0.0353596188484,0.035677849338,0.0359960798276,0.0365783994645,0.0371607191014,0.0376072081308,0.0380536971602,0.0380537469305,0.0380537967007,0.0389343783182,0.0398149599357,0.0407571208542,0.0416992817728,0.0428511687776,0.0440030557825,0.0440800164588,0.044156977135
CA,0.0414194409252,0.0332869470328,0.0251544531403,0.0268159641367,0.028477475133,0.0307547660157,0.0330320568984,0.0336514243046,0.0342707917107,0.0369991153389,0.039727438967,0.0444299994446,0.0491325599222,0.0515560948162,0.0539796297103,0.0562681916864,0.0585567536626,0.0581217780504,0.0576868024383,0.057905116197,0.0581234299558,0.0584495605988,0.0587756912418,0.0587475661425,0.0587194410432,0.059657089668,0.0605947382928,0.0604738272354,0.060352916178,0.0599138577311,0.0594747992843,0.0592230321078,0.0589712649314,0.0610766744845,0.0631820840376,0.0633827511828,0.0635834183279
CO,0.0373597354448,0.0302353387323,0.0231109420198,0.0251716596277,0.0272323772356,0.0289859964493,0.030739615663,0.0308936141328,0.0310476126026,0.0319017719499,0.0327559312972,0.0334536622841,0.034151393271,0.0342745987318,0.0343978041926,0.0344809314301,0.0345640586676,0.0346718365787,0.0347796144898,0.0350696166691,0.0353596188484,0.035677849338,0.0359960798276,0.0365783994645,0.0371607191014,0.0376072081308,0.0380536971602,0.0380537469305,0.0380537967007,0.0389343783182,0.0398149599357,0.0407571208542,0.0416992817728,0.0428511687776,0.0440030557825,0.0440800164588,0.044156977135
CT,0.056238825688,0.0470932389176,0.0379476521472,0.0375015414432,0.0370554307392,0.0371044432435,0.0371534557478,0.0371181120912,0.0370827684345,0.0377997404145,0.0385167123944,0.0390300645617,0.039543416729,0.0396537379045,0.0397640590801,0.0397711752204,0.0397782913608,0.0399628233514,0.0401473553419,0.0406124566548,0.0410775579677,0.0418109666,0.0425443752322,0.0431846864456,0.043824997659,0.0442223978408,0.0446197980227,0.0444397423341,0.0442596866455,0.0449857681509,0.0457118496563,0.0467203996023,0.0477289495483,0.0483614595494,0.0489939695505,0.0492994235103,0.0496048774702
DC,0.0431184824159,0.0363992482043,0.0296800139926,0.0307694241548,0.031858834317,0.0334394567862,0.0350200792554,0.0346919691655,0.0343638590757,0.0348129368549,0.0352620146341,0.0354088586746,0.035555702715,0.0355564818739,0.0355572610328,0.0355904174223,0.0356235738118,0.0358070566679,0.0359905395239,0.0363550804892,0.0367196214545,0.0372165382928,0.0377134551312,0.0384375602162,0.0391616653011,0.0397532386452,0.0403448119893,0.0407136759707,0.0410825399521,0.0418541808056,0.0426258216591,0.0437959437656,0.044966065872,0.0458638896191,0.0467617133662,0.0467673431374,0.0467729729085
DE,0.0431184824159,0.0363992482043,0.0296800139926,0.0307694241548,0.031858834317,0.0334394567862,0.0350200792554,0.0346919691655,0.0343638590757,0.0348129368549,0.0352620146341,0.0354088586746,0.035555702715,0.0355564818739,0.0355572610328,0.0355904174223,0.0356235738118,0.0358070566679,0.0359905395239,0.0363550804892,0.0367196214545,0.0372165382928,0.0377134551312,0.0384375602162,0.0391616653011,0.0397532386452,0.0403448119893,0.0407136759707,0.0410825399521,0.0418541808056,0.0426258216591,0.0437959437656,0.044966065872,0.0458638896191,0.0467617133662,0.0467673431374,0.0467729729085
FL,0.0431184824159,0.0363992482043,0.0296800139926,0.0307694241548,0.031858834317,0.0334394567862,0.0350200792554,0.0346919691655,0.0343638590757,0.0348129368549,0.0352620146341,0.0354088586746,0.035555702715,0.0355564818739,0.0355572610328,0.0355904174223,0.0356235738118,0.0358070566679,0.0359905395239,0.0363550804892,0.0367196214545,0.0372165382928,0.0377134551312,0.0384375602162,0.0391616653011,0.0397532386452,0.0403448119893,0.0407136759707,0.0410825399521,0.0418541808056,0.0426258216591,0.0437959437656,0.044966065872,0.0458638896191,0.0467617133662,0.0467673431374,0.0467729729085
