agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
1022,Occidental,3,32,Zacatecas,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,180
444,Occidental,3,14,Jalisco,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,180
936,Oriental,2,30,VeracruzdeIgnaciodelaLlave,res,DB2,MEX,250764,262562615.0,1047.050673,7128,78,1,1,0.6,small,83
284,Central,1,9,DistritoFederal,ind,DIT,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,48
71,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,RABT,MEX,34,413121.57,12150.634409999999,442,910,1,1,0.6,small,122
418,Occidental,3,14,Jalisco,com,GDBT,MEX,350016,1177000000.0,3362.703419,9351,252,1,1,0.6,small,181
432,Occidental,3,14,Jalisco,com,RAMT,MEX,1245,37063722.0,29770.05783,9351,2230,1,1,0.6,small,187
107,Peninsular,7,4,Campeche,res,DB2,MEX,13,5953.0296,457.9253538,1893,34,1,1,0.6,small,95
87,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,DIST,MEX,3,146494648.0,48831549.33,442,3658452,1,1,0.6,small,124
783,Noroeste,4,25,Sinaloa,com,RABT,MEX,2149,142513914.0,66316.38622999999,4350,4968,1,1,0.6,small,158
210,Noreste,6,7,CoahuiladeZaragoza,res,DB2,MEX,8824,35091561.0,3976.831482,8710,298,1,1,0.6,small,155
626,Oriental,2,20,Oaxaca,res,DB2,MEX,5042,26294732.0,5215.13923,7128,391,1,1,0.6,small,83
1,Occidental,3,1,Aguascalientes,res,DB2,MEX,399237,498873678.0,1249.5677449999998,9351,94,1,1,0.6,small,191
391,Central,1,13,Hidalgo,com,RABT,MEX,44,761747.53,17312.44386,8567,1297,1,1,0.6,small,50
532,Oriental,2,17,Morelos,ind,GDMTH,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,81
723,Peninsular,7,23,QuintanaRoo,ind,GDMTH,MEX,5027,2499000000.0,497115.5759,1893,37242,1,1,0.6,small,93
145,Oriental,2,5,Chiapas,com,RABT,MEX,226,621154325.0,2748470.465,7128,205915,1,1,0.6,small,74
388,Central,1,13,Hidalgo,com,APBT,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,53
35,BajaCalifornia,8,2,BajaCalifornia,com,GDBT,MEX,1124,49389510.0,43940.8452,2621,3292,1,1,0.6,small,13
1015,Occidental,3,32,Zacatecas,ind,DIST,MEX,11,460926237.0,41902385.18,9351,3139320,1,1,0.6,small,184
736,Peninsular,7,23,QuintanaRoo,ind,GDMTO,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,94
612,Oriental,2,20,Oaxaca,com,APBT,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,77
866,Noreste,6,28,Tamaulipas,com,GDBT,MEX,93568,296900491.0,3173.098613,8710,238,1,1,0.6,small,145
478,Central,1,15,Mexico,ind,DIT,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,48
934,Oriental,2,30,VeracruzdeIgnaciodelaLlave,com,RAMT,MEX,244,326682.51,1338.862746,7128,100,1,1,0.6,small,79
492,Occidental,3,16,MichoacandeOcampo,res,DB2,MEX,2,453.8184,226.9092,9351,17,1,1,0.6,small,191
633,Oriental,2,20,Oaxaca,ind,DIST,MEX,1,254909488.0,254909488.0,7128,19097777,1,1,0.6,small,76
310,Norte,5,10,Durango,ind,GDMTH,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,117
470,Central,1,15,Mexico,ind,GDMTH,MEX,2,3749207.4,1874603.7,8567,140445,1,1,0.6,small,57
246,Occidental,3,8,Colima,ind,GDMTH,MEX,0,71538718.0,0.0,9351,0,1,1,0.6,small,189
77,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB1,MEX,3,0.0,0.0,442,0,1,1,0.6,small,123
977,Peninsular,7,31,Yucatan,com,RABT,MEX,61,10562143.0,173149.8852,1893,12972,1,1,0.6,small,86
