district_id,district_name
1,kupwara
2,badgam
3,leh_ladakh
4,kargil
5,punch
6,rajouri
7,kathua
8,baramula
9,bandipore
10,srinagar
11,ganderbal
12,pulwama
13,shupiyan
14,anantnag
15,kulgam
16,doda
17,ramban
18,kishtwar
19,udhampur
20,reasi
21,jammu
22,samba
23,chamba
24,kangra
25,lahul_spiti
26,kullu
27,mandi
28,hamirpur
29,una
30,bilaspur
31,solan
32,sirmaur
33,shimla
34,kinnaur
35,gurdaspur
36,kapurthala
37,jalandhar
38,hoshiarpur
39,shahid_bhagat_singh_nagar
40,fatehgarh_sahib
41,ludhiana
42,moga
43,firozpur
44,muktsar
45,faridkot
46,bathinda
47,mansa
48,patiala
49,amritsar
50,tarn_taran
51,rupnagar
52,sahibzada_ajit_singh_nagar
53,sangrur
54,barnala
55,chandigarh
56,uttarkashi
57,chamoli
58,rudraprayag
59,tehri_garhwal
60,dehradun
61,garhwal
62,pithoragarh
63,bageshwar
64,"almora
"
65,champawat
66,nainital
67,udham_singh_nagar
68,hardwar
69,panchkula
70,ambala
71,yamunanagar
72,kurukshetra
73,kaithal
74,karnal
75,panipat
76,sonipat
77,jind
78,fatehabad
79,sirsa
80,hisar
81,bhiwani
82,rohtak
83,jhajjar
84,mahendragarh
85,rewari
86,gurgaon
87,mewat
88,faridabad
89,palwal
90,north_west
91,north
92,north_east
93,east
94,new_delhi
95,central
96,west
97,south_west
98,south
99,ganganagar
100,hanumangarh
101,bikaner
102,churu
103,jhunjhunun
104,alwar
105,bharatpur
106,dhaulpur
107,karauli
108,sawai_madhopur
109,dausa
110,jaipur
111,sikar
112,nagaur
113,jodhpur
114,jaisalmer
115,barmer
116,jalor
117,sirohi
118,pali
119,ajmer
120,tonk
121,bundi
122,bhilwara
123,rajsamand
124,dungarpur
125,banswara
126,chittaurgarh
127,kota
128,baran
129,jhalawar
130,udaipur
131,pratapgarh
132,saharanpur
133,muzaffarnagar
134,bijnor
135,moradabad
136,rampur
137,jyotiba_phule_nagar
138,meerut
139,baghpat
140,ghaziabad
141,gautam_buddha_nagar
142,bulandshahr
143,aligarh
144,mahamaya_nagar
145,mathura
146,agra
147,firozabad
148,mainpuri
149,budaun
150,bareilly
151,pilibhit
152,shahjahanpur
153,kheri
154,sitapur
155,hardoi
156,unnao
157,lucknow
158,rae_bareli
159,farrukhabad
160,kannauj
161,etawah
162,auraiya
163,kanpur_dehat
164,kanpur_nagar
165,jalaun
166,jhansi
167,lalitpur
168,hamirpur
169,mahoba
170,banda
171,chitrakoot
172,fatehpur
173,pratapgarh
174,kaushambi
175,allahabad
176,bara_banki
177,faizabad
178,ambedkar_nagar
179,sultanpur
180,bahraich
181,shrawasti
182,balrampur
183,gonda
184,siddharthnagar
185,basti
186,sant_kabir_nagar
187,mahrajganj
188,gorakhpur
189,kushinagar
190,deoria
191,azamgarh
192,mau
193,ballia
194,jaunpur
195,ghazipur
196,chandauli
197,varanasi
198,sant_ravidas_nagar_bhadohi
199,mirzapur
200,sonbhadra
201,etah
202,kanshiram_nagar
203,pashchim_champaran
204,purba_champaran
205,sheohar
206,sitamarhi
207,madhubani
208,supaul
209,araria
210,kishanganj
211,purnia
212,katihar
213,madhepura
214,saharsa
215,darbhanga
216,muzaffarpur
217,gopalganj
218,siwan
219,saran
220,vaishali
221,samastipur
222,begusarai
223,khagaria
224,bhagalpur
225,banka
226,munger
227,lakhisarai
228,sheikhpura
229,nalanda
230,patna
231,bhojpur
232,buxar
233,kaimur_bhabua
234,rohtas
235,aurangabad
236,gaya
237,nawada
238,jamui
239,jehanabad
240,arwal
241,north_district
242,west_district
243,south_district
244,east_district
245,tawang
246,west_kameng
