source,year,sector_abbr,country_abbr,control_reg_id,escalation_factor
Planning,2016,com,COL,1,1.01
Planning,2016,com,COL,2,1.01
Planning,2016,com,COL,3,1.01
Planning,2016,com,COL,4,1.01
Planning,2016,com,COL,5,1.01
Planning,2016,com,COL,6,1.01
Planning,2016,com,COL,7,1.01
Planning,2016,com,COL,8,1.01
Planning,2016,com,COL,9,1.01
Planning,2016,com,COL,10,1.01
Planning,2016,com,COL,11,1.01
Planning,2016,com,COL,12,1.01
Planning,2016,com,COL,13,1.01
Planning,2016,com,COL,14,1.01
Planning,2016,com,COL,15,1.01
Planning,2016,com,COL,16,1.01
Planning,2016,com,COL,17,1.01
Planning,2016,com,COL,18,1.01
Planning,2016,com,COL,19,1.01
Planning,2016,com,COL,20,1.01
Planning,2016,com,COL,21,1.01
Planning,2016,com,COL,22,1.01
Planning,2016,com,COL,23,1.01
Planning,2016,com,COL,24,1.01
Planning,2016,com,COL,25,1.01
Planning,2016,com,COL,26,1.01
Planning,2016,com,COL,27,1.01
Planning,2016,com,COL,28,1.01
Planning,2016,com,COL,29,1.01
Planning,2016,com,COL,30,1.01
Planning,2016,com,COL,31,1.01
Planning,2016,com,COL,32,1.01
Planning,2016,com,COL,33,1.01
Planning,2016,com,COL,34,1.01
Planning,2016,com,COL,35,1.01
Planning,2016,com,COL,36,1.01
Planning,2016,com,COL,37,1.01
Planning,2016,com,COL,38,1.01
Planning,2016,com,COL,39,1.01
Planning,2016,com,COL,40,1.01
Planning,2016,com,COL,41,1.01
Planning,2016,com,COL,42,1.01
Planning,2016,ind,COL,1,1.01
Planning,2016,ind,COL,2,1.01
Planning,2016,ind,COL,3,1.01
Planning,2016,ind,COL,4,1.01
Planning,2016,ind,COL,5,1.01
Planning,2016,ind,COL,6,1.01
Planning,2016,ind,COL,7,1.01
Planning,2016,ind,COL,8,1.01
Planning,2016,ind,COL,9,1.01
Planning,2016,ind,COL,10,1.01
Planning,2016,ind,COL,11,1.01
Planning,2016,ind,COL,12,1.01
Planning,2016,ind,COL,13,1.01
Planning,2016,ind,COL,14,1.01
Planning,2016,ind,COL,15,1.01
Planning,2016,ind,COL,16,1.01
Planning,2016,ind,COL,17,1.01
Planning,2016,ind,COL,18,1.01
Planning,2016,ind,COL,19,1.01
Planning,2016,ind,COL,20,1.01
Planning,2016,ind,COL,21,1.01
Planning,2016,ind,COL,22,1.01
Planning,2016,ind,COL,23,1.01
Planning,2016,ind,COL,24,1.01
Planning,2016,ind,COL,25,1.01
Planning,2016,ind,COL,26,1.01
Planning,2016,ind,COL,27,1.01
Planning,2016,ind,COL,28,1.01
Planning,2016,ind,COL,29,1.01
Planning,2016,ind,COL,30,1.01
Planning,2016,ind,COL,31,1.01
Planning,2016,ind,COL,32,1.01
Planning,2016,ind,COL,33,1.01
Planning,2016,ind,COL,34,1.01
Planning,2016,ind,COL,35,1.01
Planning,2016,ind,COL,36,1.01
Planning,2016,ind,COL,37,1.01
Planning,2016,ind,COL,38,1.01
Planning,2016,ind,COL,39,1.01
Planning,2016,ind,COL,40,1.01
Planning,2016,ind,COL,41,1.01
Planning,2016,ind,COL,42,1.01
Planning,2017,res,COL,1,1.02
Planning,2017,res,COL,2,1.02
Planning,2017,res,COL,3,1.02
Planning,2017,res,COL,4,1.02
Planning,2017,res,COL,5,1.02
Planning,2017,res,COL,6,1.02
Planning,2017,res,COL,7,1.02
Planning,2017,res,COL,8,1.02
Planning,2017,res,COL,9,1.02
Planning,2017,res,COL,10,1.02
Planning,2017,res,COL,11,1.02
Planning,2017,res,COL,12,1.02
Planning,2017,res,COL,13,1.02
Planning,2017,res,COL,14,1.02
Planning,2017,res,COL,15,1.02
Planning,2017,res,COL,16,1.02
Planning,2017,res,COL,17,1.02
Planning,2017,res,COL,18,1.02
Planning,2017,res,COL,19,1.02
Planning,2017,res,COL,20,1.02
Planning,2017,res,COL,21,1.02
Planning,2017,res,COL,22,1.02
Planning,2017,res,COL,23,1.02
Planning,2017,res,COL,24,1.02
Planning,2017,res,COL,25,1.02
Planning,2017,res,COL,26,1.02
Planning,2017,res,COL,27,1.02
Planning,2017,res,COL,28,1.02
Planning,2017,res,COL,29,1.02
Planning,2017,res,COL,30,1.02
Planning,2017,res,COL,31,1.02
Planning,2017,res,COL,32,1.02
Planning,2017,res,COL,33,1.02
Planning,2017,res,COL,34,1.02
Planning,2017,res,COL,35,1.02
Planning,2017,res,COL,36,1.02
Planning,2017,res,COL,37,1.02
Planning,2017,res,COL,38,1.02
Planning,2017,res,COL,39,1.02
Planning,2017,res,COL,40,1.02
Planning,2017,res,COL,41,1.02
Planning,2017,res,COL,42,1.02
Planning,2017,com,COL,1,1.02
Planning,2017,com,COL,2,1.02
Planning,2017,com,COL,3,1.02
Planning,2017,com,COL,4,1.02
Planning,2017,com,COL,5,1.02
Planning,2017,com,COL,6,1.02
Planning,2017,com,COL,7,1.02
Planning,2017,com,COL,8,1.02
Planning,2017,com,COL,9,1.02
Planning,2017,com,COL,10,1.02
Planning,2017,com,COL,11,1.02
Planning,2017,com,COL,12,1.02
Planning,2017,com,COL,13,1.02
Planning,2017,com,COL,14,1.02
Planning,2017,com,COL,15,1.02
Planning,2017,com,COL,16,1.02
Planning,2017,com,COL,17,1.02
Planning,2017,com,COL,18,1.02
Planning,2017,com,COL,19,1.02
Planning,2017,com,COL,20,1.02
Planning,2017,com,COL,21,1.02
Planning,2017,com,COL,22,1.02
Planning,2017,com,COL,23,1.02
Planning,2017,com,COL,24,1.02
Planning,2017,com,COL,25,1.02
Planning,2017,com,COL,26,1.02
Planning,2017,com,COL,27,1.02
Planning,2017,com,COL,28,1.02
Planning,2017,com,COL,29,1.02
Planning,2017,com,COL,30,1.02
Planning,2017,com,COL,31,1.02
Planning,2017,com,COL,32,1.02
Planning,2017,com,COL,33,1.02
Planning,2017,com,COL,34,1.02
Planning,2017,com,COL,35,1.02
Planning,2017,com,COL,36,1.02
Planning,2017,com,COL,37,1.02
Planning,2017,com,COL,38,1.02
Planning,2017,com,COL,39,1.02
Planning,2017,com,COL,40,1.02
Planning,2017,com,COL,41,1.02
Planning,2017,com,COL,42,1.02
Planning,2017,ind,COL,1,1.02
Planning,2017,ind,COL,2,1.02
Planning,2017,ind,COL,3,1.02
Planning,2017,ind,COL,4,1.02
Planning,2017,ind,COL,5,1.02
Planning,2017,ind,COL,6,1.02
Planning,2017,ind,COL,7,1.02
Planning,2017,ind,COL,8,1.02
Planning,2017,ind,COL,9,1.02
Planning,2017,ind,COL,10,1.02
Planning,2017,ind,COL,11,1.02
Planning,2017,ind,COL,12,1.02
Planning,2017,ind,COL,13,1.02
Planning,2017,ind,COL,14,1.02
Planning,2017,ind,COL,15,1.02
Planning,2017,ind,COL,16,1.02
Planning,2017,ind,COL,17,1.02
Planning,2017,ind,COL,18,1.02
Planning,2017,ind,COL,19,1.02
Planning,2017,ind,COL,20,1.02
Planning,2017,ind,COL,21,1.02
Planning,2017,ind,COL,22,1.02
Planning,2017,ind,COL,23,1.02
Planning,2017,ind,COL,24,1.02
Planning,2017,ind,COL,25,1.02
Planning,2017,ind,COL,26,1.02
Planning,2017,ind,COL,27,1.02
Planning,2017,ind,COL,28,1.02
Planning,2017,ind,COL,29,1.02
Planning,2017,ind,COL,30,1.02
Planning,2017,ind,COL,31,1.02
Planning,2017,ind,COL,32,1.02
Planning,2017,ind,COL,33,1.02
Planning,2017,ind,COL,34,1.02
Planning,2017,ind,COL,35,1.02
Planning,2017,ind,COL,36,1.02
Planning,2017,ind,COL,37,1.02
Planning,2017,ind,COL,38,1.02
Planning,2017,ind,COL,39,1.02
Planning,2017,ind,COL,40,1.02
Planning,2017,ind,COL,41,1.02
Planning,2017,ind,COL,42,1.02
Planning,2018,res,COL,1,1.03
Planning,2018,res,COL,2,1.03
Planning,2018,res,COL,3,1.03
Planning,2018,res,COL,4,1.03
Planning,2018,res,COL,5,1.03
Planning,2018,res,COL,6,1.03
Planning,2018,res,COL,7,1.03
Planning,2018,res,COL,8,1.03
Planning,2018,res,COL,9,1.03
Planning,2018,res,COL,10,1.03
Planning,2018,res,COL,11,1.03
Planning,2018,res,COL,12,1.03
Planning,2018,res,COL,13,1.03
Planning,2018,res,COL,14,1.03
Planning,2018,res,COL,15,1.03
Planning,2018,res,COL,16,1.03
Planning,2018,res,COL,17,1.03
Planning,2018,res,COL,18,1.03
Planning,2018,res,COL,19,1.03
Planning,2018,res,COL,20,1.03
Planning,2018,res,COL,21,1.03
Planning,2018,res,COL,22,1.03
Planning,2018,res,COL,23,1.03
Planning,2018,res,COL,24,1.03
Planning,2018,res,COL,25,1.03
Planning,2018,res,COL,26,1.03
Planning,2018,res,COL,27,1.03
Planning,2018,res,COL,28,1.03
Planning,2018,res,COL,29,1.03
Planning,2018,res,COL,30,1.03
Planning,2018,res,COL,31,1.03
Planning,2018,res,COL,32,1.03
Planning,2018,res,COL,33,1.03
Planning,2018,res,COL,34,1.03
Planning,2018,res,COL,35,1.03
Planning,2018,res,COL,36,1.03
Planning,2018,res,COL,37,1.03
Planning,2018,res,COL,38,1.03
Planning,2018,res,COL,39,1.03
Planning,2018,res,COL,40,1.03
Planning,2018,res,COL,41,1.03
Planning,2018,res,COL,42,1.03
Planning,2018,com,COL,1,1.03
Planning,2018,com,COL,2,1.03
Planning,2018,com,COL,3,1.03
Planning,2018,com,COL,4,1.03
Planning,2018,com,COL,5,1.03
Planning,2018,com,COL,6,1.03
Planning,2018,com,COL,7,1.03
Planning,2018,com,COL,8,1.03
Planning,2018,com,COL,9,1.03
Planning,2018,com,COL,10,1.03
Planning,2018,com,COL,11,1.03
Planning,2018,com,COL,12,1.03
Planning,2018,com,COL,13,1.03
Planning,2018,com,COL,14,1.03
Planning,2018,com,COL,15,1.03
Planning,2018,com,COL,16,1.03
Planning,2018,com,COL,17,1.03
Planning,2018,com,COL,18,1.03
Planning,2018,com,COL,19,1.03
Planning,2018,com,COL,20,1.03
Planning,2018,com,COL,21,1.03
Planning,2018,com,COL,22,1.03
Planning,2018,com,COL,23,1.03
Planning,2018,com,COL,24,1.03
Planning,2018,com,COL,25,1.03
Planning,2018,com,COL,26,1.03
Planning,2018,com,COL,27,1.03
Planning,2018,com,COL,28,1.03
Planning,2018,com,COL,29,1.03
Planning,2018,com,COL,30,1.03
Planning,2018,com,COL,31,1.03
Planning,2018,com,COL,32,1.03
Planning,2018,com,COL,33,1.03
Planning,2018,com,COL,34,1.03
Planning,2018,com,COL,35,1.03
Planning,2018,com,COL,36,1.03
Planning,2018,com,COL,37,1.03
Planning,2018,com,COL,38,1.03
Planning,2018,com,COL,39,1.03
Planning,2018,com,COL,40,1.03
Planning,2018,com,COL,41,1.03
Planning,2018,com,COL,42,1.03
Planning,2018,ind,COL,1,1.03
Planning,2018,ind,COL,2,1.03
Planning,2018,ind,COL,3,1.03
Planning,2018,ind,COL,4,1.03
Planning,2018,ind,COL,5,1.03
Planning,2018,ind,COL,6,1.03
Planning,2018,ind,COL,7,1.03
Planning,2018,ind,COL,8,1.03
Planning,2018,ind,COL,9,1.03
Planning,2018,ind,COL,10,1.03
Planning,2018,ind,COL,11,1.03
Planning,2018,ind,COL,12,1.03
Planning,2018,ind,COL,13,1.03
Planning,2018,ind,COL,14,1.03
Planning,2018,ind,COL,15,1.03
Planning,2018,ind,COL,16,1.03
Planning,2018,ind,COL,17,1.03
Planning,2018,ind,COL,18,1.03
Planning,2018,ind,COL,19,1.03
Planning,2018,ind,COL,20,1.03
Planning,2018,ind,COL,21,1.03
Planning,2018,ind,COL,22,1.03
Planning,2018,ind,COL,23,1.03
Planning,2018,ind,COL,24,1.03
Planning,2018,ind,COL,25,1.03
Planning,2018,ind,COL,26,1.03
Planning,2018,ind,COL,27,1.03
Planning,2018,ind,COL,28,1.03
Planning,2018,ind,COL,29,1.03
Planning,2018,ind,COL,30,1.03
Planning,2018,ind,COL,31,1.03
Planning,2018,ind,COL,32,1.03
Planning,2018,ind,COL,33,1.03
Planning,2018,ind,COL,34,1.03
Planning,2018,ind,COL,35,1.03
Planning,2018,ind,COL,36,1.03
Planning,2018,ind,COL,37,1.03
Planning,2018,ind,COL,38,1.03
Planning,2018,ind,COL,39,1.03
Planning,2018,ind,COL,40,1.03
Planning,2018,ind,COL,41,1.03
Planning,2018,ind,COL,42,1.03
Planning,2019,res,COL,1,1.04
Planning,2019,res,COL,2,1.04
Planning,2019,res,COL,3,1.04
Planning,2019,res,COL,4,1.04
Planning,2019,res,COL,5,1.04
Planning,2019,res,COL,6,1.04
Planning,2019,res,COL,7,1.04
Planning,2019,res,COL,8,1.04
Planning,2019,res,COL,9,1.04
Planning,2019,res,COL,10,1.04
Planning,2019,res,COL,11,1.04
Planning,2019,res,COL,12,1.04
Planning,2019,res,COL,13,1.04
Planning,2019,res,COL,14,1.04
Planning,2019,res,COL,15,1.04
Planning,2019,res,COL,16,1.04
Planning,2019,res,COL,17,1.04
Planning,2019,res,COL,18,1.04
Planning,2019,res,COL,19,1.04
Planning,2019,res,COL,20,1.04
Planning,2019,res,COL,21,1.04
Planning,2019,res,COL,22,1.04
Planning,2019,res,COL,23,1.04
Planning,2019,res,COL,24,1.04
Planning,2019,res,COL,25,1.04
Planning,2019,res,COL,26,1.04
Planning,2019,res,COL,27,1.04
Planning,2019,res,COL,28,1.04
Planning,2019,res,COL,29,1.04
Planning,2019,res,COL,30,1.04
Planning,2019,res,COL,31,1.04
Planning,2019,res,COL,32,1.04
Planning,2019,res,COL,33,1.04
Planning,2019,res,COL,34,1.04
Planning,2019,res,COL,35,1.04
Planning,2019,res,COL,36,1.04
Planning,2019,res,COL,37,1.04
Planning,2019,res,COL,38,1.04
Planning,2019,res,COL,39,1.04
Planning,2019,res,COL,40,1.04
Planning,2019,res,COL,41,1.04
Planning,2019,res,COL,42,1.04
Planning,2019,com,COL,1,1.04
Planning,2019,com,COL,2,1.04
Planning,2019,com,COL,3,1.04
Planning,2019,com,COL,4,1.04
Planning,2019,com,COL,5,1.04
Planning,2019,com,COL,6,1.04
Planning,2019,com,COL,7,1.04
Planning,2019,com,COL,8,1.04
Planning,2019,com,COL,9,1.04
Planning,2019,com,COL,10,1.04
Planning,2019,com,COL,11,1.04
Planning,2019,com,COL,12,1.04
Planning,2019,com,COL,13,1.04
Planning,2019,com,COL,14,1.04
Planning,2019,com,COL,15,1.04
Planning,2019,com,COL,16,1.04
Planning,2019,com,COL,17,1.04
Planning,2019,com,COL,18,1.04
Planning,2019,com,COL,19,1.04
Planning,2019,com,COL,20,1.04
Planning,2019,com,COL,21,1.04
Planning,2019,com,COL,22,1.04
Planning,2019,com,COL,23,1.04
Planning,2019,com,COL,24,1.04
Planning,2019,com,COL,25,1.04
Planning,2019,com,COL,26,1.04
Planning,2019,com,COL,27,1.04
Planning,2019,com,COL,28,1.04
Planning,2019,com,COL,29,1.04
Planning,2019,com,COL,30,1.04
Planning,2019,com,COL,31,1.04
Planning,2019,com,COL,32,1.04
Planning,2019,com,COL,33,1.04
Planning,2019,com,COL,34,1.04
Planning,2019,com,COL,35,1.04
Planning,2019,com,COL,36,1.04
Planning,2019,com,COL,37,1.04
Planning,2019,com,COL,38,1.04
Planning,2019,com,COL,39,1.04
Planning,2019,com,COL,40,1.04
Planning,2019,com,COL,41,1.04
Planning,2019,com,COL,42,1.04
Planning,2019,ind,COL,1,1.04
Planning,2019,ind,COL,2,1.04
Planning,2019,ind,COL,3,1.04
Planning,2019,ind,COL,4,1.04
Planning,2019,ind,COL,5,1.04
Planning,2019,ind,COL,6,1.04
Planning,2019,ind,COL,7,1.04
Planning,2019,ind,COL,8,1.04
Planning,2019,ind,COL,9,1.04
Planning,2019,ind,COL,10,1.04
Planning,2019,ind,COL,11,1.04
Planning,2019,ind,COL,12,1.04
Planning,2019,ind,COL,13,1.04
Planning,2019,ind,COL,14,1.04
Planning,2019,ind,COL,15,1.04
Planning,2019,ind,COL,16,1.04
Planning,2019,ind,COL,17,1.04
Planning,2019,ind,COL,18,1.04
Planning,2019,ind,COL,19,1.04
Planning,2019,ind,COL,20,1.04
Planning,2019,ind,COL,21,1.04
Planning,2019,ind,COL,22,1.04
Planning,2019,ind,COL,23,1.04
Planning,2019,ind,COL,24,1.04
Planning,2019,ind,COL,25,1.04
Planning,2019,ind,COL,26,1.04
Planning,2019,ind,COL,27,1.04
Planning,2019,ind,COL,28,1.04
Planning,2019,ind,COL,29,1.04
Planning,2019,ind,COL,30,1.04
Planning,2019,ind,COL,31,1.04
Planning,2019,ind,COL,32,1.04
Planning,2019,ind,COL,33,1.04
Planning,2019,ind,COL,34,1.04
Planning,2019,ind,COL,35,1.04
Planning,2019,ind,COL,36,1.04
Planning,2019,ind,COL,37,1.04
Planning,2019,ind,COL,38,1.04
Planning,2019,ind,COL,39,1.04
Planning,2019,ind,COL,40,1.04
Planning,2019,ind,COL,41,1.04
Planning,2019,ind,COL,42,1.04
Planning,2020,res,COL,1,1.05
Planning,2020,res,COL,2,1.05
Planning,2020,res,COL,3,1.05
Planning,2020,res,COL,4,1.05
Planning,2020,res,COL,5,1.05
Planning,2020,res,COL,6,1.05
Planning,2020,res,COL,7,1.05
Planning,2020,res,COL,8,1.05
Planning,2020,res,COL,9,1.05
Planning,2020,res,COL,10,1.05
Planning,2020,res,COL,11,1.05
Planning,2020,res,COL,12,1.05
Planning,2020,res,COL,13,1.05
Planning,2020,res,COL,14,1.05
Planning,2020,res,COL,15,1.05
Planning,2020,res,COL,16,1.05
Planning,2020,res,COL,17,1.05
Planning,2020,res,COL,18,1.05
Planning,2020,res,COL,19,1.05
Planning,2020,res,COL,20,1.05
Planning,2020,res,COL,21,1.05
Planning,2020,res,COL,22,1.05
Planning,2020,res,COL,23,1.05
Planning,2020,res,COL,24,1.05
Planning,2020,res,COL,25,1.05
Planning,2020,res,COL,26,1.05
Planning,2020,res,COL,27,1.05
Planning,2020,res,COL,28,1.05
Planning,2020,res,COL,29,1.05
Planning,2020,res,COL,30,1.05
Planning,2020,res,COL,31,1.05
Planning,2020,res,COL,32,1.05
Planning,2020,res,COL,33,1.05
Planning,2020,res,COL,34,1.05
Planning,2020,res,COL,35,1.05
Planning,2020,res,COL,36,1.05
Planning,2020,res,COL,37,1.05
Planning,2020,res,COL,38,1.05
Planning,2020,res,COL,39,1.05
Planning,2020,res,COL,40,1.05
Planning,2020,res,COL,41,1.05
Planning,2020,res,COL,42,1.05
Planning,2020,com,COL,1,1.05
Planning,2020,com,COL,2,1.05
Planning,2020,com,COL,3,1.05
Planning,2020,com,COL,4,1.05
Planning,2020,com,COL,5,1.05
Planning,2020,com,COL,6,1.05
Planning,2020,com,COL,7,1.05
Planning,2020,com,COL,8,1.05
Planning,2020,com,COL,9,1.05
Planning,2020,com,COL,10,1.05
Planning,2020,com,COL,11,1.05
Planning,2020,com,COL,12,1.05
Planning,2020,com,COL,13,1.05
Planning,2020,com,COL,14,1.05
Planning,2020,com,COL,15,1.05
Planning,2020,com,COL,16,1.05
Planning,2020,com,COL,17,1.05
Planning,2020,com,COL,18,1.05
Planning,2020,com,COL,19,1.05
Planning,2020,com,COL,20,1.05
Planning,2020,com,COL,21,1.05
Planning,2020,com,COL,22,1.05
Planning,2020,com,COL,23,1.05
Planning,2020,com,COL,24,1.05
Planning,2020,com,COL,25,1.05
Planning,2020,com,COL,26,1.05
Planning,2020,com,COL,27,1.05
Planning,2020,com,COL,28,1.05
Planning,2020,com,COL,29,1.05
Planning,2020,com,COL,30,1.05
Planning,2020,com,COL,31,1.05
Planning,2020,com,COL,32,1.05
Planning,2020,com,COL,33,1.05
Planning,2020,com,COL,34,1.05
Planning,2020,com,COL,35,1.05
Planning,2020,com,COL,36,1.05
Planning,2020,com,COL,37,1.05
Planning,2020,com,COL,38,1.05
Planning,2020,com,COL,39,1.05
Planning,2020,com,COL,40,1.05
Planning,2020,com,COL,41,1.05
Planning,2020,com,COL,42,1.05
Planning,2020,ind,COL,1,1.05
Planning,2020,ind,COL,2,1.05
Planning,2020,ind,COL,3,1.05
Planning,2020,ind,COL,4,1.05
Planning,2020,ind,COL,5,1.05
Planning,2020,ind,COL,6,1.05
Planning,2020,ind,COL,7,1.05
Planning,2020,ind,COL,8,1.05
Planning,2020,ind,COL,9,1.05
Planning,2020,ind,COL,10,1.05
Planning,2020,ind,COL,11,1.05
Planning,2020,ind,COL,12,1.05
Planning,2020,ind,COL,13,1.05
Planning,2020,ind,COL,14,1.05
Planning,2020,ind,COL,15,1.05
Planning,2020,ind,COL,16,1.05
Planning,2020,ind,COL,17,1.05
Planning,2020,ind,COL,18,1.05
Planning,2020,ind,COL,19,1.05
Planning,2020,ind,COL,20,1.05
Planning,2020,ind,COL,21,1.05
Planning,2020,ind,COL,22,1.05
Planning,2020,ind,COL,23,1.05
Planning,2020,ind,COL,24,1.05
Planning,2020,ind,COL,25,1.05
Planning,2020,ind,COL,26,1.05
Planning,2020,ind,COL,27,1.05
Planning,2020,ind,COL,28,1.05
Planning,2020,ind,COL,29,1.05
Planning,2020,ind,COL,30,1.05
Planning,2020,ind,COL,31,1.05
Planning,2020,ind,COL,32,1.05
Planning,2020,ind,COL,33,1.05
Planning,2020,ind,COL,34,1.05
Planning,2020,ind,COL,35,1.05
Planning,2020,ind,COL,36,1.05
Planning,2020,ind,COL,37,1.05
Planning,2020,ind,COL,38,1.05
Planning,2020,ind,COL,39,1.05
Planning,2020,ind,COL,40,1.05
Planning,2020,ind,COL,41,1.05
Planning,2020,ind,COL,42,1.05
Planning,2021,res,COL,1,1.06
Planning,2021,res,COL,2,1.06
Planning,2021,res,COL,3,1.06
Planning,2021,res,COL,4,1.06
