state_id,sector_abbr,pv_systems_count,pv_capacity_mw
35,com,0.0,0.0
35,ind,0.0,0.0
35,res,0.0,0.0
28,com,1277.52253814147,40.88072122052704
28,ind,73.58529819694867,29.43411927877947
28,res,3883.668515950069,15.534674063800276
12,com,0.0,0.0
12,ind,0.0,0.0
12,res,0.0,0.0
18,com,0.0,0.0
18,ind,0.0,0.0
18,res,0.0,0.0
10,com,76.65135228848821,2.4528432732316228
10,ind,8.176144244105409,3.2704576976421635
10,res,408.80721220527045,1.6352288488210818
4,com,178.8531553398058,5.723300970873786
4,ind,6.132108183079057,2.4528432732316228
4,res,2452.843273231623,9.811373092926491
22,com,153.30270457697642,4.9056865464632455
22,ind,22.484396671289872,8.993758668515948
22,res,817.6144244105409,3.2704576976421635
26,com,0.0,0.0
26,ind,0.0,0.0
26,res,0.0,0.0
25,com,0.0,0.0
25,ind,0.0,0.0
25,res,0.0,0.0
30,com,0.0,0.0
30,ind,0.0,0.0
30,res,0.0,0.0
24,com,485.4585644937586,15.534674063800276
24,ind,98.11373092926492,39.245492371705964
24,res,7358.529819694867,29.43411927877947
6,com,613.2108183079057,19.622746185852982
6,ind,145.126560332871,58.050624133148396
6,res,1430.8252427184464,5.723300970873786
2,com,0.0,0.0
2,ind,0.0,0.0
2,res,0.0,0.0
1,com,51.100901525658806,1.6352288488210818
1,ind,6.132108183079057,2.4528432732316228
1,res,2044.0360610263522,8.176144244105409
20,com,102.20180305131761,3.2704576976421635
20,ind,8.176144244105409,3.2704576976421635
20,res,1430.8252427184464,5.723300970873786
29,com,996.4675797503467,31.88696255201109
29,ind,128.77427184466018,51.509708737864074
29,res,4701.28294036061,18.80513176144244
32,com,153.30270457697642,4.9056865464632455
32,ind,24.52843273231623,9.811373092926491
32,res,2044.0360610263522,8.176144244105409
31,com,0.0,0.0
31,ind,0.0,0.0
31,res,0.0,0.0
23,com,127.75225381414701,4.088072122052704
23,ind,40.88072122052704,16.352288488210817
23,res,1022.0180305131761,4.088072122052704
27,com,1175.3207350901525,37.61026352288488
27,ind,372.01456310679606,148.8058252427184
27,res,1839.6324549237168,7.358529819694867
14,com,0.0,0.0
14,ind,0.0,0.0
14,res,0.0,0.0
17,com,0.0,0.0
17,ind,0.0,0.0
17,res,0.0,0.0
15,com,0.0,0.0
15,ind,0.0,0.0
15,res,0.0,0.0
13,com,0.0,0.0
13,ind,0.0,0.0
13,res,0.0,0.0
7,com,740.9630721220526,23.710818307905683
7,ind,18.396324549237168,7.358529819694867
7,res,11651.005547850207,46.60402219140083
21,com,51.100901525658806,1.6352288488210818
21,ind,10.22018030513176,4.088072122052704
21,res,1839.6324549237168,7.358529819694867
34,com,0.0,0.0
34,ind,0.0,0.0
34,res,0.0,0.0
3,com,1022.0180305131761,32.704576976421635
3,ind,51.100901525658806,20.44036061026352
3,res,1635.2288488210818,6.540915395284327
8,com,689.8621705963938,22.0755894590846
8,ind,179.87517337031898,71.95006934812758
8,res,5927.704576976421,23.710818307905683
11,com,0.0,0.0
11,ind,0.0,0.0
11,res,0.0,0.0
33,com,919.8162274618584,29.43411927877947
33,ind,296.38522884882104,118.55409153952843
33,res,1839.6324549237168,7.358529819694867
16,com,0.0,0.0
16,ind,0.0,0.0
16,res,0.0,0.0
9,com,689.8621705963938,22.0755894590846
9,ind,65.40915395284327,26.16366158113731
9,res,3679.2649098474335,14.717059639389735
5,com,51.100901525658806,1.6352288488210818
5,ind,26.57246879334258,10.628987517337032
5,res,408.80721220527045,1.6352288488210818
19,com,76.65135228848821,2.4528432732316228
19,ind,16.352288488210817,6.540915395284327
19,res,1430.8252427184464,5.723300970873786
