,state_name,sector_abbr,year,ann_installs,cum_installs,p,p_SE,q,q_SE,m,status,p_sig,q_sig,state_id
0,andhra_pradesh,com,2018,0.020954798733705926,0.12572879240223556,0.015791627199719955,0.002504769203380177,0.10000000000013592,0.03800390386949204,0.020954798733705926,Converged w/ bounds,True,True,28
1,andhra_pradesh,ind,2018,0.20189115892988602,1.211346953579316,0.06720194340611184,0.05074209388532858,0.6228927253283626,0.3274963916768654,0.20189115892988602,Converged w/ bounds,False,False,28
2,andhra_pradesh,res,2018,0.02151831614522238,0.12910989687133426,0.016266488549098103,0.0025484471756737686,0.10000000000002274,0.03759773948654476,0.02151831614522238,Converged w/ bounds,True,True,28
3,arunachal_pradesh,com,2018,0.01920876378809845,0.11525258272859071,0.014338333783421954,0.0023601277808623375,0.10000000000000002,0.039247938208440525,0.01920876378809845,Converged w/ bounds,True,True,12
4,arunachal_pradesh,ind,2018,0.25656069019933264,1.539364141195996,0.06266691131566711,0.08021021025913744,0.6999999999999713,0.5579842178953113,0.25656069019933264,Converged w/ bounds,False,False,12
5,arunachal_pradesh,res,2018,0.08000822527110817,0.480049351626649,0.07171934143926983,0.003027482531706493,0.1537202116283127,0.012473095887717637,0.08000822527110817,Converged w/ bounds,True,True,12
6,assam,com,2018,0.01480801113755631,0.08884806682533786,0.01079368676283481,0.001936818195623842,0.10000003208388847,0.04228970197280467,0.01480801113755631,Converged w/ bounds,True,True,18
7,assam,ind,2018,0.2752645112913129,1.6515870677478772,0.06455473827665066,0.09422586974355916,0.6999999999999995,0.6444903889281193,0.2752645112913129,Converged w/ bounds,False,False,18
8,assam,res,2018,0.016323362079939077,0.09794017247963446,0.011995553692137739,0.002091682386103733,0.10000009387063075,0.0412568687864358,0.016323362079939077,Converged w/ bounds,True,True,18
9,bihar,com,2018,0.014522481062367705,0.08713488637420622,0.010569370460373146,0.001906629573494054,0.1000009310692705,0.04248302694455853,0.014522481062367705,Converged w/ bounds,True,True,10
10,bihar,ind,2018,0.010000973294109339,0.06000583976465603,0.007106252797109571,0.0013874149108565315,0.10000000000000002,0.04546991904474602,0.010000973294109339,Converged w/ bounds,True,True,10
11,bihar,res,2018,0.014249848463759852,0.0854990907825591,0.010355861585363084,0.0018774746909442847,0.10000000000015623,0.04266632530698886,0.014249848463759852,Converged w/ bounds,True,True,10
12,chhattisgarh,com,2018,0.016204778381001875,0.09722867028601125,0.01190076674194809,0.002079896516735556,0.10000000000000002,0.041338310493867,0.016204778381001875,Converged w/ bounds,True,True,22
13,chhattisgarh,ind,2018,0.7822182631947661,4.693309579168596,0.08668961125207952,0.5571303258673638,0.6999999999,3.2353528412611627,0.7822182631947661,Converged w/ bounds,False,False,22
14,chhattisgarh,res,2018,0.016986710355890867,0.10192026213534519,0.012527744248731078,0.002156524671323416,0.10000000000000002,0.04080011611944936,0.016986710355890867,Converged w/ bounds,True,True,22
15,goa,com,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,30
16,goa,ind,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,30
17,goa,res,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,30
18,gujarat,com,2018,0.014951336578704025,0.08970801947222415,0.010906535989734057,0.0019518583870265396,0.10000000080209327,0.04219263640785212,0.014951336578704025,Converged w/ bounds,True,True,24
19,gujarat,ind,2018,0.2795312313197902,1.6771873879187411,0.06496086750840094,0.0974987106434907,0.6999999999999985,0.6645032026076338,0.2795312313197902,Converged w/ bounds,False,False,24
20,gujarat,res,2018,0.010052360371615686,0.060314162229694115,0.007144700312187802,0.0013937292402647337,0.10000000000000002,0.045436625152112706,0.010052360371615686,Converged w/ bounds,True,True,24
21,haryana,com,2018,0.010027443821481219,0.060164662928887315,0.007126057189765136,0.0013906687056248392,0.10000000000003458,0.0454527594100497,0.010027443821481219,Converged w/ bounds,True,True,6
22,haryana,ind,2018,0.2530941140751473,1.5185646844508838,0.06229619841258517,0.07767790270222757,0.6999999999999992,0.5422032148903226,0.2530941140751473,Converged w/ bounds,False,False,6
23,haryana,res,2018,0.046623523863186495,0.27974114317911897,0.040615279208306876,0.002590421741145069,0.10000000020691145,0.016714721082253445,0.046623523863186495,Converged w/ bounds,True,True,6
24,himachal_pradesh,com,2018,0.015374149553026201,0.0922448973181572,0.011240458817968911,0.0019957785875042103,0.10000124190379633,0.04190596569696001,0.015374149553026201,Converged w/ bounds,True,True,2
25,himachal_pradesh,ind,2018,0.7865636592632278,4.719381955579367,0.08677705948196268,0.5613808234342372,0.6999999999,3.258257149063026,0.7865636592632278,Converged w/ bounds,False,False,2
26,himachal_pradesh,res,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,2
27,jharkhand,com,2018,0.014779697437496247,0.08867818462497748,0.010771440544605175,0.0019338402455502204,0.10000017306485115,0.042308815788142426,0.014779697437496247,Converged w/ bounds,True,True,20
28,jharkhand,ind,2018,0.7993299053140823,4.795979431884494,0.08702945265904921,0.5738807279000578,0.6999999999,3.325574995301744,0.7993299053140823,Converged w/ bounds,False,False,20
