state_id,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
28.0,2859.5201403296364,2861.8128992151546,2864.107496431249,2866.4039334518898,2868.70221175223,2757.27522439556,2604.39682815518,2500.17308854886,2494.98544303523,2716.9786165273,2710.2635278848497,2765.21789486572,2791.63874303474,2736.63706300139,2974.0333493501503,2746.98339077279,2745.56931075847,2721.20097271448,2592.53630612569,2897.9538012049798,2829.3677050719702,2908.1689777510805,2920.26345634029,2928.91470147606,2964.61182583122,3076.53675090877,3084.7902552147198,3067.07000155096,3063.2973693930394,3038.3291055474897,3059.0490934511604,3045.55342362444,3067.5600026925395,3158.16251851801,3248.7650343434802,3341.9667881200608,3437.8423477321517
12.0,2806.7914008905645,2823.057202371466,2839.417266752607,2855.87214030245,2872.42237245517,2735.2586083014003,2555.67695905835,2440.41690888728,2437.27859348202,2659.72964104556,2626.3755286742603,2665.0404201988604,2703.43365377454,2651.60366732188,2838.79452651723,2620.24924409187,2600.6570695927,2567.79638692048,2484.7378663629897,2682.3437965136,2718.8061003543103,2782.9343434513003,2786.6779066812105,2777.95726294597,2794.1449400942797,2922.77685614161,2956.2448678156297,2951.25096802354,2921.4875251121302,2912.6141459670803,2919.4116931316603,2902.4070130747996,2916.99964476459,2985.93657463251,3054.8735045004305,3125.4019954014916,3197.558792031563
18.0,2832.066513938938,2841.8550370454914,2851.6773924028535,2861.53369694605,2871.4240680142702,2751.6363540163698,2591.7093256077696,2475.2099965377397,2472.4443240844503,2698.23956683849,2664.51602858807,2703.94850167106,2743.03120682654,2690.53712683499,2880.72646952967,2658.49458166517,2638.4013082936603,2605.05193714263,2520.69831272668,2716.4694919764997,2757.1261808926197,2816.8170223615502,2822.85097373723,2812.1674636492894,2829.94170177968,2960.8562065071,2990.30369839289,2982.81056393641,2948.0722415942796,2936.21172161727,2942.25625591865,2924.22195474335,2938.11376406907,3007.2570684637103,3076.4003728583507,3147.1334304512616,3219.492793085798
10.0,2861.990250012696,2863.7247455330607,2865.460292236151,2867.1968907590303,2868.9345417391496,2748.1194271980603,2596.00230857401,2491.31576001428,2485.573746253,2710.70693565623,2691.89304431583,2745.85543537314,2777.54739376002,2724.04638003085,2959.1513361892403,2715.8712967728197,2705.40918670781,2759.45364212751,2684.54798649504,3044.9976520378004,2882.72202523232,2946.2712865201197,2989.64562187159,2998.94446270361,3029.6910870259303,3150.74754849085,3188.2121872960197,3183.91053242966,3146.55103558021,3136.1347988009697,3140.94493875734,3123.21045000182,3136.61273994603,3218.25145082094,3299.89016169585,3383.5998353948785,3469.4330068854815
4.0,2831.2981129442446,2840.3952233183054,2849.521563188469,2858.67722647065,2867.86230738252,2745.4392695831602,2594.83999502956,2492.00324321494,2488.09743398687,2717.6443343348496,2715.30115322809,2765.07694045976,2804.70525196891,2754.08295887315,2994.03974424854,2755.7344634111896,2751.42942409212,2809.23620181425,2728.4259152277696,3095.45973835158,2963.6797509046,3012.8435565354603,3095.75471246302,3133.0428098783195,3199.66619110178,3261.6011373743895,3290.26468399709,3284.29824639708,3272.6190442923303,3274.9267641876695,3283.7230391863695,3282.61840582476,3286.53765239351,3359.3193482528495,3432.101044112189,3506.45959965738,3582.4291785121127
22.0,2806.620515947255,2809.5763774788325,2812.535352048793,2815.4974429357103,2818.46265342161,2698.7233170261497,2552.77186336018,2450.10576092324,2444.2849888004102,2665.7388232916,2663.9815501197304,2718.43768435194,2744.55735646536,2690.68444139482,2924.91832407561,2685.1827069791298,2665.0872879298,2624.59785235414,2518.05466856675,2787.2583557412104,2747.02483135277,2816.2186815934997,2824.39722543547,2816.94752283289,2837.19659134726,2964.63613257505,3002.86859351815,2988.2704259494103,2953.18673894658,2941.58165881877,2951.84655619568,2931.98726848703,2940.3270745631703,3018.05733714203,3095.78759972089,3175.5198102568747,3257.30552904954
26.0,2823.634118379398,2825.452937067482,2827.2729273313726,2829.09408992573,2830.9164256057,2721.06766808378,2571.55247657944,2480.21676750912,2476.6383444139897,2704.2449644985,2702.56949476572,2748.0267367951997,2777.2994622765505,2717.94315768644,2957.3403450920696,2723.02267696805,2712.61074591027,2722.75732045818,2644.13980799228,2908.90389778244,2815.4552811509,2868.30430290489,2887.44635344558,2908.1241601353804,2956.5726613839897,3081.6616551045195,3122.8461907220003,3159.96265988926,3147.40626053731,3137.88514846204,3131.57555418341,3131.06109217896,3126.80132406855,3222.32486072636,3317.8483973841703,3416.20366158343,3517.4745978801043
25.0,2818.156368169407,2819.8742735480605,2821.593226135777,2823.3132265709196,2825.03427549224,2714.61265025935,2565.1993597239198,2465.04596313548,2458.4219537244103,2681.37898941483,2660.1423086762397,2701.74295388302,2734.92054407315,2679.08085167968,2914.0718303302697,2680.44642642386,2664.4449812057996,2673.51320640405,2599.0533222715303,2858.8562032592304,2776.09040164065,2822.0036846853804,2819.0586500984004,2816.2190054389303,2877.0292935196503,2975.2000517041197,2970.5059577329403,2951.42528276052,2951.2760804863897,2934.3775886774797,2930.07572194652,2942.4461815455998,3003.0597383019103,3073.5306021977003,3144.0014660934903,3216.0881078359917,3289.8275744813277
7.0,2863.508780896075,2871.7196767254663,2879.954116680432,2888.21216827198,2896.4938992046996,2775.23146424585,2619.5563437363103,2511.2620932432997,2507.1359063448103,2737.6324365819,2731.06083982323,2780.9516991723804,2816.59389873074,2764.2271707828004,3004.82460903807,2759.2986741588,2748.48265185332,2803.5037641437702,2727.46305640243,3092.1777991500103,2967.4365242505896,3018.58574518939,3085.8829090939803,3118.13230806833,3184.7660709882,3242.59392834182,3248.94403239503,3237.97803201633,3225.46523192415,3224.07384364139,3231.36405539172,3227.30158827769,3231.1481253041698,3301.32900394974,3371.50988259531,3443.182692436339,3516.3791495005376
30.0,2826.629535949111,2827.870339272999,2829.111687271337,2830.3535801832204,2831.5960182478498,2720.66674057719,2573.9676316146697,2470.11716618561,2463.34095485243,2686.70321310138,2685.35896151492,2740.19896703029,2766.3781469988003,2711.95135048082,2947.9386972820803,2707.3762113733396,2687.36607042679,2646.57167217387,2539.48406409803,2831.9792648549,2768.4183832031895,2835.31987278757,2842.4950112936103,2835.40819629274,2848.9339090931603,2968.9822177795695,3020.22937654518,2994.95599624602,2967.3360448631,2934.1651530519603,2950.2927798598803,2938.3256336333898,2958.00652753361,3069.3028607397805,3180.5991939459514,3295.93125589808,3415.4453866061367
