census_division_abbr,year,elec_price_res,elec_price_com,elec_price_ind
ENC,2014,0.038816536663,0.038816536663,0.038816536663
ESC,2014,0.0426742366213,0.0426742366213,0.0426742366213
MA,2014,0.0461802731627,0.0461802731627,0.0461802731627
MTN,2014,0.0373597346558,0.0373597346558,0.0373597346558
NE,2014,0.0562388272661,0.0562388272661,0.0562388272661
PA,2014,0.0414194463188,0.0414194463188,0.0414194463188
SA,2014,0.0431184790499,0.0431184790499,0.0431184790499
WNC,2014,0.0386563459628,0.0386563459628,0.0386563459628
WSC,2014,0.0417511357632,0.0417511357632,0.0417511357632
ENC,2016,0.026878916578,0.026878916578,0.026878916578
ESC,2016,0.0294166796935,0.0294166796935,0.0294166796935
MA,2016,0.0297139794152,0.0297139794152,0.0297139794152
MTN,2016,0.0231107701463,0.0231107701463,0.0231107701463
NE,2016,0.0379475939371,0.0379475939371,0.0379475939371
PA,2016,0.0251539695413,0.0251539695413,0.0251539695413
SA,2016,0.0296800235212,0.0296800235212,0.0296800235212
WNC,2016,0.0254025249864,0.0254025249864,0.0254025249864
WSC,2016,0.0270776220949,0.0270776220949,0.0270776220949
ENC,2018,0.0302593424033,0.0302593424033,0.0302593424033
ESC,2018,0.0314627616352,0.0314627616352,0.0314627616352
MA,2018,0.0336267142622,0.0336267142622,0.0336267142622
MTN,2018,0.0272340480981,0.0272340480981,0.0272340480981
NE,2018,0.0370556736873,0.0370556736873,0.0370556736873
PA,2018,0.0284790762094,0.0284790762094,0.0284790762094
SA,2018,0.0318615697605,0.0318615697605,0.0318615697605
WNC,2018,0.0292495997003,0.0292495997003,0.0292495997003
WSC,2018,0.0298306629167,0.0298306629167,0.0298306629167
ENC,2020,0.0377503926529,0.0377503926529,0.0377503926529
ESC,2020,0.0412544024793,0.0412544024793,0.0412544024793
MA,2020,0.0444847442719,0.0444847442719,0.0444847442719
MTN,2020,0.0358505813255,0.0358505813255,0.0358505813255
NE,2020,0.0469961068561,0.0469961068561,0.0469961068561
PA,2020,0.0384973180156,0.0384973180156,0.0384973180156
SA,2020,0.041383179701,0.041383179701,0.041383179701
WNC,2020,0.0345398929912,0.0345398929912,0.0345398929912
WSC,2020,0.0414748664347,0.0414748664347,0.0414748664347
ENC,2022,0.0406438054161,0.0406438054161,0.0406438054161
ESC,2022,0.0425167496827,0.0425167496827,0.0425167496827
MA,2022,0.0457922637834,0.0457922637834,0.0457922637834
MTN,2022,0.0377458259895,0.0377458259895,0.0377458259895
NE,2022,0.0502183943654,0.0502183943654,0.0502183943654
PA,2022,0.0417925163269,0.0417925163269,0.0417925163269
SA,2022,0.0440319829782,0.0440319829782,0.0440319829782
WNC,2022,0.0375418429732,0.0375418429732,0.0375418429732
WSC,2022,0.0419435176776,0.0419435176776,0.0419435176776
ENC,2024,0.0452626920629,0.0452626920629,0.0452626920629
ESC,2024,0.0471443948866,0.0471443948866,0.0471443948866
MA,2024,0.0495725566817,0.0495725566817,0.0495725566817
MTN,2024,0.0419991648707,0.0419991648707,0.0419991648707
NE,2024,0.0547483073988,0.0547483073988,0.0547483073988
PA,2024,0.0475232970278,0.0475232970278,0.0475232970278
SA,2024,0.0484674338524,0.0484674338524,0.0484674338524
WNC,2024,0.0426161434169,0.0426161434169,0.0426161434169
WSC,2024,0.0461478945238,0.0461478945238,0.0461478945238
ENC,2026,0.0460625738815,0.0460625738815,0.0460625738815
ESC,2026,0.047700587174,0.047700587174,0.047700587174
MA,2026,0.0501046664628,0.0501046664628,0.0501046664628
MTN,2026,0.0450593186842,0.0450593186842,0.0450593186842
NE,2026,0.0543573965155,0.0543573965155,0.0543573965155
PA,2026,0.0523729002421,0.0523729002421,0.0523729002421
SA,2026,0.0490554650971,0.0490554650971,0.0490554650971
WNC,2026,0.0434547884138,0.0434547884138,0.0434547884138
WSC,2026,0.047381179284,0.047381179284,0.047381179284
ENC,2028,0.045362488783,0.045362488783,0.045362488783
ESC,2028,0.0471420750138,0.0471420750138,0.0471420750138
MA,2028,0.0494159218793,0.0494159218793,0.0494159218793
MTN,2028,0.0444548091672,0.0444548091672,0.0444548091672
NE,2028,0.0533366525599,0.0533366525599,0.0533366525599
PA,2028,0.0559059509875,0.0559059509875,0.0559059509875
SA,2028,0.0489104564566,0.0489104564566,0.0489104564566
WNC,2028,0.0426386903281,0.0426386903281,0.0426386903281
WSC,2028,0.0465693938469,0.0465693938469,0.0465693938469
ENC,2030,0.0453670373082,0.0453670373082,0.0453670373082
ESC,2030,0.0465304085255,0.0465304085255,0.0465304085255
MA,2030,0.0490086560954,0.0490086560954,0.0490086560954
MTN,2030,0.0437715670328,0.0437715670328,0.0437715670328
NE,2030,0.052110486467,0.052110486467,0.052110486467
PA,2030,0.0598384025361,0.0598384025361,0.0598384025361
SA,2030,0.0485381183491,0.0485381183491,0.0485381183491
WNC,2030,0.0417979716826,0.0417979716826,0.0417979716826
WSC,2030,0.0456546981005,0.0456546981005,0.0456546981005
ENC,2032,0.0461072343446,0.0461072343446,0.0461072343446
ESC,2032,0.0475225266733,0.0475225266733,0.0475225266733
MA,2032,0.0493630663921,0.0493630663921,0.0493630663921
MTN,2032,0.0440218857994,0.0440218857994,0.0440218857994
NE,2032,0.0528846083646,0.0528846083646,0.0528846083646
PA,2032,0.0601057129782,0.0601057129782,0.0601057129782
SA,2032,0.0493499593095,0.0493499593095,0.0493499593095
WNC,2032,0.042082804982,0.042082804982,0.042082804982
WSC,2032,0.0459418820757,0.0459418820757,0.0459418820757
ENC,2034,0.0465893243615,0.0465893243615,0.0465893243615
ESC,2034,0.048424836191,0.048424836191,0.048424836191
MA,2034,0.0500797867144,0.0500797867144,0.0500797867144
MTN,2034,0.0443459394977,0.0443459394977,0.0443459394977
NE,2034,0.0539436602855,0.0539436602855,0.0539436602855
PA,2034,0.0598687365216,0.0598687365216,0.0598687365216
SA,2034,0.0502730352875,0.0502730352875,0.0502730352875
WNC,2034,0.042325697291,0.042325697291,0.042325697291
WSC,2034,0.0465307812577,0.0465307812577,0.0465307812577
ENC,2036,0.0473361222174,0.0473361222174,0.0473361222174
ESC,2036,0.0497800225036,0.0497800225036,0.0497800225036
MA,2036,0.0521864090404,0.0521864090404,0.0521864090404
MTN,2036,0.0455460037105,0.0455460037105,0.0455460037105
NE,2036,0.0565377327585,0.0565377327585,0.0565377327585
PA,2036,0.0613110356732,0.0613110356732,0.0613110356732
SA,2036,0.0520569444446,0.0520569444446,0.0520569444446
WNC,2036,0.0428317721516,0.0428317721516,0.0428317721516
WSC,2036,0.0476027778163,0.0476027778163,0.0476027778163
ENC,2038,0.0479092792626,0.0479092792626,0.0479092792626
ESC,2038,0.0505487562648,0.0505487562648,0.0505487562648
MA,2038,0.0535604118262,0.0535604118262,0.0535604118262
MTN,2038,0.0470693787242,0.0470693787242,0.0470693787242
NE,2038,0.0572714420596,0.0572714420596,0.0572714420596
PA,2038,0.0621843131213,0.0621843131213,0.0621843131213
SA,2038,0.0530092164453,0.0530092164453,0.0530092164453
WNC,2038,0.0433587898006,0.0433587898006,0.0433587898006
WSC,2038,0.0488065779705,0.0488065779705,0.0488065779705
ENC,2040,0.0482635427357,0.0482635427357,0.0482635427357
ESC,2040,0.0510746913445,0.0510746913445,0.0510746913445
MA,2040,0.0549209999488,0.0549209999488,0.0549209999488
MTN,2040,0.0482286066893,0.0482286066893,0.0482286066893
NE,2040,0.057973763761,0.057973763761,0.057973763761
PA,2040,0.0624207402279,0.0624207402279,0.0624207402279
SA,2040,0.0539826327024,0.0539826327024,0.0539826327024
WNC,2040,0.0430369738237,0.0430369738237,0.0430369738237
WSC,2040,0.0485597537954,0.0485597537954,0.0485597537954
ENC,2042,0.049753093727,0.049753093727,0.049753093727
ESC,2042,0.052139957729,0.052139957729,0.052139957729
MA,2042,0.0562613811789,0.0562613811789,0.0562613811789
MTN,2042,0.0492793025195,0.0492793025195,0.0492793025195
NE,2042,0.058414523344,0.058414523344,0.058414523344
PA,2042,0.0629792876357,0.0629792876357,0.0629792876357
SA,2042,0.0551927321584,0.0551927321584,0.0551927321584
WNC,2042,0.0442386454253,0.0442386454253,0.0442386454253
WSC,2042,0.0498062401547,0.0498062401547,0.0498062401547
ENC,2044,0.0516735439979,0.0516735439979,0.0516735439979
ESC,2044,0.0546113926839,0.0546113926839,0.0546113926839
MA,2044,0.0595039718251,0.0595039718251,0.0595039718251
MTN,2044,0.049983575976,0.049983575976,0.049983575976
NE,2044,0.0603635662625,0.0603635662625,0.0603635662625
PA,2044,0.0633853479079,0.0633853479079,0.0633853479079
SA,2044,0.058003876762,0.058003876762,0.058003876762
WNC,2044,0.0460368211819,0.0460368211819,0.0460368211819
WSC,2044,0.051627846331,0.051627846331,0.051627846331
ENC,2046,0.0538500481949,0.0538500481949,0.0538500481949
ESC,2046,0.0575095313591,0.0575095313591,0.0575095313591
MA,2046,0.0622652146428,0.0622652146428,0.0622652146428
MTN,2046,0.0515116297584,0.0515116297584,0.0515116297584
NE,2046,0.0632513242496,0.0632513242496,0.0632513242496
PA,2046,0.0624970215004,0.0624970215004,0.0624970215004
SA,2046,0.0610336686835,0.0610336686835,0.0610336686835
WNC,2046,0.0484142812721,0.0484142812721,0.0484142812721
WSC,2046,0.0531481727174,0.0531481727174,0.0531481727174
ENC,2048,0.0578654579041,0.0578654579041,0.0578654579041
ESC,2048,0.0612573169931,0.0612573169931,0.0612573169931
MA,2048,0.0653081655646,0.0653081655646,0.0653081655646
MTN,2048,0.055476577255,0.055476577255,0.055476577255
