census_division_abbr,year,elec_price_res,elec_price_com,elec_price_ind
ENC,2014,0.101262361973,0.101262361973,0.101262361973
ESC,2014,0.0859945347873,0.0859945347873,0.0859945347873
MA,2014,0.152499068455,0.152499068455,0.152499068455
MTN,2014,0.0943758433934,0.0943758433934,0.0943758433934
NE,2014,0.22793847021,0.22793847021,0.22793847021
PAC,2014,0.13099264487,0.13099264487,0.13099264487
SA,2014,0.105217621659,0.105217621659,0.105217621659
WNC,2014,0.0784481537345,0.0784481537345,0.0784481537345
WSC,2014,0.0914050077494,0.0914050077494,0.0914050077494
ENC,2016,0.102981401347,0.102981401347,0.102981401347
ESC,2016,0.0859390748492,0.0859390748492,0.0859390748492
MA,2016,0.148023062715,0.148023062715,0.148023062715
MTN,2016,0.0924421273006,0.0924421273006,0.0924421273006
NE,2016,0.233185567528,0.233185567528,0.233185567528
PAC,2016,0.124506228022,0.124506228022,0.124506228022
SA,2016,0.100003969358,0.100003969358,0.100003969358
WNC,2016,0.0824687946487,0.0824687946487,0.0824687946487
WSC,2016,0.0853453444317,0.0853453444317,0.0853453444317
ENC,2018,0.103290454737,0.103290454737,0.103290454737
ESC,2018,0.0873904262051,0.0873904262051,0.0873904262051
MA,2018,0.146276676097,0.146276676097,0.146276676097
MTN,2018,0.09200469507,0.09200469507,0.09200469507
NE,2018,0.236649926703,0.236649926703,0.236649926703
PAC,2018,0.126506159221,0.126506159221,0.126506159221
SA,2018,0.100792010672,0.100792010672,0.100792010672
WNC,2018,0.0807746551586,0.0807746551586,0.0807746551586
WSC,2018,0.0869695229259,0.0869695229259,0.0869695229259
ENC,2020,0.103273979731,0.103273979731,0.103273979731
ESC,2020,0.087468093053,0.087468093053,0.087468093053
MA,2020,0.147514439896,0.147514439896,0.147514439896
MTN,2020,0.0916115412913,0.0916115412913,0.0916115412913
NE,2020,0.25420573662,0.25420573662,0.25420573662
PAC,2020,0.126067800084,0.126067800084,0.126067800084
SA,2020,0.104336613339,0.104336613339,0.104336613339
WNC,2020,0.0806443398648,0.0806443398648,0.0806443398648
WSC,2020,0.0877719992773,0.0877719992773,0.0877719992773
ENC,2022,0.103328007919,0.103328007919,0.103328007919
ESC,2022,0.0863591333834,0.0863591333834,0.0863591333834
MA,2022,0.146781653496,0.146781653496,0.146781653496
MTN,2022,0.0910040718605,0.0910040718605,0.0910040718605
NE,2022,0.235886448677,0.235886448677,0.235886448677
PAC,2022,0.124895609902,0.124895609902,0.124895609902
SA,2022,0.102579445374,0.102579445374,0.102579445374
WNC,2022,0.0840211537197,0.0840211537197,0.0840211537197
WSC,2022,0.0853866636091,0.0853866636091,0.0853866636091
ENC,2024,0.10196025889,0.10196025889,0.10196025889
ESC,2024,0.08675502724,0.08675502724,0.08675502724
MA,2024,0.146821287478,0.146821287478,0.146821287478
MTN,2024,0.0899939664333,0.0899939664333,0.0899939664333
NE,2024,0.238076169355,0.238076169355,0.238076169355
PAC,2024,0.125189920605,0.125189920605,0.125189920605
SA,2024,0.101553038142,0.101553038142,0.101553038142
WNC,2024,0.0861869170113,0.0861869170113,0.0861869170113
WSC,2024,0.0856776465002,0.0856776465002,0.0856776465002
ENC,2026,0.101332885643,0.101332885643,0.101332885643
ESC,2026,0.0870480937676,0.0870480937676,0.0870480937676
MA,2026,0.146160806308,0.146160806308,0.146160806308
MTN,2026,0.0884541657641,0.0884541657641,0.0884541657641
NE,2026,0.235542568329,0.235542568329,0.235542568329
PAC,2026,0.12428069269,0.12428069269,0.12428069269
SA,2026,0.100439915294,0.100439915294,0.100439915294
WNC,2026,0.103368752168,0.103368752168,0.103368752168
WSC,2026,0.0852882970808,0.0852882970808,0.0852882970808
ENC,2028,0.100910883653,0.100910883653,0.100910883653
ESC,2028,0.0869321299214,0.0869321299214,0.0869321299214
MA,2028,0.145526813613,0.145526813613,0.145526813613
MTN,2028,0.0874685045386,0.0874685045386,0.0874685045386
NE,2028,0.283430550209,0.283430550209,0.283430550209
PAC,2028,0.12358814135,0.12358814135,0.12358814135
SA,2028,0.0992684352494,0.0992684352494,0.0992684352494
WNC,2028,0.103405956868,0.103405956868,0.103405956868
WSC,2028,0.084989558328,0.084989558328,0.084989558328
ENC,2030,0.100645902413,0.100645902413,0.100645902413
ESC,2030,0.0871438546765,0.0871438546765,0.0871438546765
MA,2030,0.14578222585,0.14578222585,0.14578222585
MTN,2030,0.0866307210466,0.0866307210466,0.0866307210466
NE,2030,0.29204660662,0.29204660662,0.29204660662
PAC,2030,0.123217645279,0.123217645279,0.123217645279
SA,2030,0.0988118922892,0.0988118922892,0.0988118922892
WNC,2030,0.104929958369,0.104929958369,0.104929958369
WSC,2030,0.0844875743625,0.0844875743625,0.0844875743625
ENC,2032,0.101057315124,0.101057315124,0.101057315124
ESC,2032,0.0869097688569,0.0869097688569,0.0869097688569
MA,2032,0.14476946832,0.14476946832,0.14476946832
MTN,2032,0.0859347641783,0.0859347641783,0.0859347641783
NE,2032,0.284327645402,0.284327645402,0.284327645402
PAC,2032,0.121987308857,0.121987308857,0.121987308857
SA,2032,0.0983229053285,0.0983229053285,0.0983229053285
WNC,2032,0.110689735932,0.110689735932,0.110689735932
WSC,2032,0.0838188944524,0.0838188944524,0.0838188944524
ENC,2034,0.10101650146,0.10101650146,0.10101650146
ESC,2034,0.0870957868472,0.0870957868472,0.0870957868472
MA,2034,0.145221153746,0.145221153746,0.145221153746
MTN,2034,0.0853622879551,0.0853622879551,0.0853622879551
NE,2034,0.251215714457,0.251215714457,0.251215714457
PAC,2034,0.122220731413,0.122220731413,0.122220731413
SA,2034,0.0986286305874,0.0986286305874,0.0986286305874
WNC,2034,0.124595648089,0.124595648089,0.124595648089
WSC,2034,0.083554694733,0.083554694733,0.083554694733
ENC,2036,0.100902777492,0.100902777492,0.100902777492
ESC,2036,0.0874179360037,0.0874179360037,0.0874179360037
MA,2036,0.14581388012,0.14581388012,0.14581388012
MTN,2036,0.0851054017888,0.0851054017888,0.0851054017888
NE,2036,0.247499436149,0.247499436149,0.247499436149
PAC,2036,0.122178879895,0.122178879895,0.122178879895
SA,2036,0.0989199956593,0.0989199956593,0.0989199956593
WNC,2036,0.125756565914,0.125756565914,0.125756565914
WSC,2036,0.083129387415,0.083129387415,0.083129387415
ENC,2038,0.101258461259,0.101258461259,0.101258461259
ESC,2038,0.0881448984407,0.0881448984407,0.0881448984407
MA,2038,0.145343435132,0.145343435132,0.145343435132
MTN,2038,0.0854442568742,0.0854442568742,0.0854442568742
NE,2038,0.236621348638,0.236621348638,0.236621348638
PAC,2038,0.121050625227,0.121050625227,0.121050625227
SA,2038,0.0992074900016,0.0992074900016,0.0992074900016
WNC,2038,0.154037195485,0.154037195485,0.154037195485
WSC,2038,0.0825477851862,0.0825477851862,0.0825477851862
ENC,2040,0.100748653663,0.100748653663,0.100748653663
ESC,2040,0.0877197775287,0.0877197775287,0.0877197775287
MA,2040,0.144422815603,0.144422815603,0.144422815603
MTN,2040,0.0855034228397,0.0855034228397,0.0855034228397
NE,2040,0.228979239386,0.228979239386,0.228979239386
PAC,2040,0.120018187142,0.120018187142,0.120018187142
SA,2040,0.0985770736701,0.0985770736701,0.0985770736701
WNC,2040,0.15302106211,0.15302106211,0.15302106211
WSC,2040,0.0823494059972,0.0823494059972,0.0823494059972
ENC,2042,0.100893684617,0.100893684617,0.100893684617
ESC,2042,0.0886712049841,0.0886712049841,0.0886712049841
MA,2042,0.143655418585,0.143655418585,0.143655418585
MTN,2042,0.0847620756352,0.0847620756352,0.0847620756352
NE,2042,0.218108957796,0.218108957796,0.218108957796
PAC,2042,0.118504166949,0.118504166949,0.118504166949
SA,2042,0.0980327777599,0.0980327777599,0.0980327777599
WNC,2042,0.153099133213,0.153099133213,0.153099133213
WSC,2042,0.0819401751342,0.0819401751342,0.0819401751342
ENC,2044,0.10193414856,0.10193414856,0.10193414856
ESC,2044,0.0888345800485,0.0888345800485,0.0888345800485
