state_name,2014,2015,2016,2017,2018,2019,sector_abbr
Delhi,1.466775961,42.64667037,58.3185466,82.28137686,94.12332656,102.216484,res
Jammu and Kashmir,0.257329116,7.481871995,10.23132396,14.43532927,12.9419574,14.26276521,res
Puducherry,0,0,0,0,0,0,res
Andhra Pradesh,0.129412434,3.762680587,8.880325042,19.0469645,48.13671213,103.9719926,ind
Arunachal Pradesh,0,0,0,0,3.249228068,3.950935718,ind
Assam,0.017254991,0.501690745,1.184043339,2.539595266,7.461190379,16.53154682,ind
Bihar,0.034509983,1.00338149,2.368086678,5.079190532,7.220506819,6.238319555,ind
Chhattisgarh,0.094902452,2.759299097,6.512238364,13.96777396,13.23759583,28.072438,ind
Goa,0,0,0,0,0,0,ind
Gujarat,0.41411979,12.04057788,28.41704014,60.95028639,175.6989993,276.5655003,ind
Haryana,0.61255219,17.81002145,42.03353853,90.15563195,131.1725405,177.7921073,ind
Himachal Pradesh,0,0,0,0,0,5.198599629,ind
Jharkhand,0.034509983,1.00338149,2.368086678,5.079190532,7.220506819,22.87383837,ind
Karnataka,0.543532225,15.80325847,37.29736518,79.99725088,168.4784924,228.7383837,ind
Kerala,0.103529948,3.01014447,7.104260034,15.2375716,18.05126705,20.79439852,ind
Madhya Pradesh,0.172549913,5.016907449,11.84043339,25.39595266,80.62899281,220.4206243,ind
Maharashtra,1.570204204,45.65385779,107.7479438,231.1031692,432.0269913,617.593636,ind
Manipur,0,0,0,0,0,2.495327822,ind
Meghalaya,0,0,0,0,0,0.103971993,ind
Mizoram,0,0,0,0,0.12034178,0.41588797,ind
Nagaland,0.00086275,0.025084537,0.059202167,0.126979763,0.601708902,0.727803948,ind
Odisha,0.043137478,1.254226862,2.960108347,6.348988165,12.03417803,20.79439852,ind
Punjab,0.215687391,6.271134312,14.80054174,31.74494083,38.5093697,49.90655644,ind
Rajasthan,0.733337128,21.32185666,50.32184191,107.9327988,234.6664716,388.8552523,ind
Sikkim,0,0,0,0,0,0,ind
Tamil Nadu,1.250986866,36.37257901,85.84314208,184.1206568,280.3963481,357.6636545,ind
Telangana,0.181177408,5.267752822,12.43245506,26.66575029,39.7127875,70.70095496,ind
Tripura,0.007764746,0.225760835,0.532819503,1.14281787,3.008544508,3.742991733,ind
Uttar Pradesh,0.27607986,8.027051919,18.94469342,40.63352426,92.66317084,108.1308723,ind
Uttarakhand,0.112157443,3.260989842,7.696281703,16.50736923,24.06835606,31.19159778,ind
West Bengal,0.069019965,2.00676298,4.736173356,10.15838106,36.10253409,49.90655644,ind
Andaman and Nicobar Islands,0.000665002,0.019335011,0.045632677,0.097875243,0.184936256,0.500475656,ind
Chandigarh,0.025882487,0.752536117,1.776065008,3.809392899,7.220506819,6.238319555,ind
Dadra Nagar Haveli,0.000301076,0.008753809,0.020659916,0.044312419,0.153925603,0.232957978,ind
Daman Diu,0.001060354,0.030829912,0.072761859,0.156063269,0.29911184,0.617381308,ind
Delhi,0.077647461,2.257608352,5.328195025,11.4281787,15.64443144,23.9135583,ind
Jammu and Kashmir,0.025882487,0.752536117,1.776065008,3.809392899,3.610253409,3.119159778,ind
Puducherry,0,0,0,0,0,0,ind
