,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ieefa_total_mw,0,38,117,286,623,1179,2177,3855,5855,8855,12855
pct_growth,0,0,2.078947368,1.444444444,1.178321678,0.892455859,0.846480068,0.770785485,0.518806744,0.512382579,0.451722191
