control_reg_id,2016,2018,2020,2022,2024,2026,Total
1,5.1,24.7,95.9,266.3,482.8,688.3,1563.1
2,3.4,14.4,49.9,143.8,318.3,554.0,1083.7
3,15.3,60.5,187.4,450.7,783.8,1058.1,2555.8
4,2.4,12.1,45.7,116.2,194.4,250.1,620.9
5,1.1,5.0,16.6,35.6,52.1,69.9,180.2
6,4.4,16.7,48.4,115.7,216.8,324.0,726.1
7,3.7,18.6,67.4,153.3,226.2,266.5,735.8
8,2.7,13.5,47.5,99.8,129.6,140.6,433.8
9,1.3,6.4,22.6,45.2,56.8,61.2,193.6
Total,39.4,171.8,581.4,1426.6,2461.0,3412.6,8092.9
