control_reg_id,2016,2018,2020,2022,2024,2026,Total
1,30.2,129.6,384.1,753.7,1040.6,1187,3525.2
2,28.6,110.4,308.7,633.2,954.8,1171.7,3207.4
3,33.9,136.5,389.7,783.9,1144.4,1377,3865.4
4,8.1,37.4,114.8,223.6,295.7,324.7,1004.3
5,2.9,11.5,32.5,63.2,91,110.8,311.9
6,10.4,39.2,108.3,228.8,360.5,453.8,1201
7,8.9,41.6,128.1,246.3,319.8,346.9,1091.6
8,4.7,22.3,68.5,128.3,162.3,174.2,560.3
9,1.9,9.1,28.9,55.2,70.7,76,241.8
Total,129.6,537.6,1563.6,3116.2,4439.8,5222.1,15008.9
