control_reg_id,2016,2018,2020,2022,2024,2026,Total
1,5.1,24.7,95.9,286.5,587.7,878.6,1878.5
2,3.4,14.4,49.9,148.6,350.9,640.6,1207.7
3,15.3,60.5,187.4,471.1,886.1,1258.1,2878.5
4,2.4,12.1,45.7,123.5,226.5,307.5,717.7
5,1.1,5.0,16.6,38.0,60.5,81.9,203.1
6,4.4,16.7,48.4,119.3,238.2,374.3,801.3
7,3.7,18.6,67.4,167.4,277.2,343.9,878.2
8,2.7,13.5,47.5,108.7,156.5,176.0,504.9
9,1.3,6.4,22.6,49.8,69.5,77.2,226.8
Total,39.4,171.8,581.4,1512.8,2853.0,4138.2,9296.7
