Region,Sector,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Mountain,Commercial,1,0.997777995,0.960709927,0.960447049,0.96623114,0.959493687,0.957348159,0.959481348,0.959255826,0.955338322,0.956480755,0.960226831,0.966264583,0.974161322,0.981560106,0.993370098,1.000629168,1.002670868,1.004222137,1.010433874,1.02248278,1.030797685,1.036247987,1.040612924,1.047098748,1.063995836,1.074159271,1.076489166,1.079819146,1.084989492,1.092744945,1.100555834,1.108422554,1.116345506,1.12432509,1.132361712,1.14045578,1.148607703,1.156817896,1.165086776
Mountain,Industrial,1,0.998310354,0.943954803,0.937764638,0.947499563,0.93583408,0.93750224,0.947030522,0.949671141,0.947018392,0.952515521,0.961026414,0.972226826,0.984391538,0.997407247,1.014993644,1.026048987,1.031403495,1.034676556,1.044787235,1.064515294,1.076795811,1.08794939,1.097676047,1.106032896,1.129371965,1.142609494,1.148033463,1.154519914,1.162397223,1.17403115,1.185781515,1.197649485,1.209636237,1.221742958,1.233970851,1.246321127,1.258795011,1.271393741,1.284118567
New England,Residential,1,0.974970154,0.928403068,0.91635821,0.909899625,0.900508467,0.902041406,0.909042137,0.915865784,0.922681033,0.925857499,0.932904379,0.933082743,0.948069622,0.94873617,0.95885107,0.9739979,0.988092836,0.999012838,1.012436922,1.021574109,1.018596583,1.014725854,1.020960492,1.028791185,1.033860361,1.041662352,1.049426486,1.065719629,1.083421077,1.094702305,1.106101001,1.117618386,1.129255697,1.141014183,1.152895105,1.164899739,1.177029372,1.189285306,1.201668856
New England,Commercial,1,0.941949585,0.960142066,0.944888745,0.944681094,0.936125188,0.940584891,0.951547122,0.960874748,0.96143141,0.962463608,0.971039871,0.971824635,0.991770535,0.9908333,1.000532415,1.014979893,1.029336765,1.039080927,1.055578801,1.064352304,1.059642745,1.05301877,1.058765767,1.070769443,1.075125728,1.083327405,1.091050683,1.107956382,1.127360806,1.139048099,1.150856554,1.162787426,1.174841985,1.187021513,1.199327305,1.211760671,1.224322933,1.237015428,1.249839505
New England,Industrial,1,0.925389875,0.907849962,0.868410417,0.8497007,0.828769689,0.822120421,0.830226973,0.845836079,0.85034228,0.855498132,0.866609477,0.871179583,0.892544186,0.901216545,0.916327757,0.933908208,0.95232343,0.966830672,0.98365856,0.992075879,0.987033911,0.981943072,0.989057793,1.001335804,1.007746675,1.016119211,1.024717537,1.04421653,1.064769598,1.077948004,1.091289515,1.104796152,1.118469956,1.132312999,1.146327373,1.1605152,1.174878627,1.189419826,1.204140999
Pacific,Residential,1,1.025255661,1.032897992,1.040373792,1.029355443,1.021722213,1.014608524,1.004964438,0.993809869,0.981257464,0.968519897,0.960868036,0.951871792,0.944641157,0.942834821,0.937393529,0.936423069,0.940010774,0.941201835,0.946065409,0.968830515,0.978290056,0.972808117,0.978974382,0.988843766,0.997540346,1.004420924,1.007022008,1.009193569,1.010899551,1.015373536,1.019867323,1.024380997,1.028914648,1.033468364,1.038042233,1.042636345,1.04725079,1.051885657,1.056541036
Pacific,Commercial,1,1.008227202,1.026330265,1.034878178,1.025207993,1.017337513,1.009941657,1.000276379,0.991612314,0.97842731,0.96662664,0.958521358,0.948422316,0.940180767,0.936919372,0.931619167,0.928746774,0.928845079,0.927336962,0.930405276,0.945663206,0.951130207,0.945981076,0.952690088,0.96336556,0.973466037,0.979366143,0.979524102,0.980356624,0.98093819,0.984498982,0.9880727,0.99165939,0.9952591,0.998871876,1.002497767,1.00613682,1.009789083,1.013454604,1.01713343
Pacific,Industrial,1,1.00303404,1.009386165,1.013832262,1.001140958,0.990382359,0.982638988,0.978692294,0.971598863,0.959360259,0.951257639,0.947548851,0.944451989,0.942168552,0.94423737,0.943598899,0.945890287,0.947589212,0.947016343,0.952785998,0.973052757,0.979381596,0.979943473,0.993149732,1.005924711,1.017899212,1.026600637,1.029857508,1.033071411,1.036040978,1.042178505,1.048352391,1.054562851,1.060810102,1.067094362,1.07341585,1.079774787,1.086171394,1.092605895,1.099078514
South Atlantic,Residential,1,1.001461798,1.000994091,1.027368503,1.036349266,1.043928905,1.053724897,1.067316481,1.074226791,1.071437133,1.067233524,1.060091523,1.05652786,1.059626231,1.060801242,1.061018376,1.060615072,1.061175283,1.064212532,1.067828755,1.069259709,1.06981276,1.072592605,1.077334827,1.083125283,1.088719813,1.092005697,1.094464778,1.099496592,1.105471756,1.109996927,1.114540622,1.119102916,1.123683886,1.128283607,1.132902157,1.137539613,1.142196051,1.146871551,1.151566189
South Atlantic,Commercial,1,0.97341412,1.003658411,1.015249066,1.010949309,1.010818778,1.016255235,1.028081275,1.036193677,1.025510113,1.016723539,1.003890097,0.99757381,1.001563935,1.001447247,1.000706118,1.00044069,1.001095702,1.004888236,1.009524921,1.011344986,1.011483864,1.013788928,1.019085943,1.026160899,1.033390406,1.038035403,1.042034721,1.049451219,1.057469826,1.063846574,1.070261775,1.076715661,1.083208466,1.089740423,1.096311769,1.102922742,1.10957358,1.116264524,1.122995815
South Atlantic,Industrial,1,0.96815775,1.020776217,1.018098484,1.018247059,1.019873393,1.023769027,1.036498885,1.043904612,1.036289579,1.033119938,1.027298238,1.026707313,1.03454655,1.038508427,1.041698625,1.046276256,1.049762116,1.056382409,1.063255558,1.068491449,1.072474877,1.077987608,1.08564192,1.09606901,1.106857904,1.114157066,1.120382333,1.130035361,1.141788704,1.151160933,1.160610092,1.170136814,1.179741735,1.189425496,1.199188746,1.209032136,1.218956324,1.228961973,1.239049753
West North Central,Residential,1,1.030875841,0.953286858,0.974891232,0.991453004,1.017391375,1.036349326,1.040827379,1.045405649,1.052310032,1.05602304,1.057022066,1.058064999,1.063604492,1.065859616,1.068813153,1.074960671,1.077717271,1.079694575,1.084386784,1.088327999,1.090742321,1.090650352,1.090763829,1.094555578,1.098059642,1.100842534,1.100679444,1.102005277,1.106169356,1.10850797,1.110851528,1.113200041,1.115553518,1.117911972,1.120275411,1.122643848,1.125017291,1.127395752,1.129779242
West North Central,Commercial,1,1.013539007,0.985024589,0.974858172,0.984466318,1.008924433,1.023377987,1.025905658,1.028613532,1.028653712,1.028102327,1.025356136,1.024280423,1.028891189,1.028620418,1.031625513,1.036780576,1.037692652,1.0391551,1.043519033,1.046475077,1.048600702,1.048795447,1.049195589,1.053688163,1.058785265,1.062033709,1.062078386,1.065183121,1.071947177,1.075639165,1.079343869,1.083061333,1.0867916,1.090534715,1.094290723,1.098059666,1.10184159,1.105636541,1.109444561
West North Central,Industrial,1,1.015353982,0.980837692,0.960198899,0.978454849,1.000050405,1.011180848,1.021588589,1.029696223,1.036964126,1.041220487,1.041817341,1.044898991,1.052688902,1.05696573,1.067227265,1.075137581,1.07981008,1.085566333,1.094473856,1.101111591,1.107521852,1.112181723,1.117994912,1.126665925,1.13656815,1.143684239,1.147469377,1.155363799,1.16603347,1.174073119,1.182168201,1.190319097,1.198526193,1.206789875,1.215110535,1.223488564,1.231924359,1.240418318,1.248970841
West South Central,Residential,1,0.972972143,0.865378341,0.893334018,0.929780074,0.944454138,0.97487652,1.009403181,1.027938642,1.029544835,1.031555075,1.019551564,1.018311375,1.047363369,1.054563509,1.065459944,1.082671032,1.091405734,1.10064836,1.115556884,1.128123396,1.135098906,1.143910331,1.158116723,1.171899983,1.191642171,1.203979024,1.203470877,1.210999108,1.221600562,1.231809919,1.242104599,1.252485315,1.262952787,1.273507739,1.284150903,1.294883016,1.305704821,1.316617067,1.327620511
West South Central,Commercial,1,0.916504436,0.946446934,0.992750746,1.029056408,1.049523639,1.088149562,1.132351403,1.154883335,1.150472708,1.150388547,1.132843598,1.131177973,1.167450726,1.175464287,1.188630155,1.210274516,1.22013589,1.229732979,1.248756536,1.264885695,1.273828148,1.285268609,1.303459743,1.320848871,1.342798137,1.3579218,1.357744402,1.367762181,1.382329506,1.394985682,1.407757735,1.420646724,1.433653721,1.446779805,1.460026068,1.47339361,1.486883541,1.500496981,1.514235062
West South Central,Industrial,1,0.873192188,0.908511764,0.938014617,0.971010923,0.983492884,1.016908153,1.05656159,1.079539851,1.073439573,1.075638246,1.069048901,1.07036602,1.098490366,1.112455244,1.128842948,1.149195576,1.163189466,1.178358394,1.201061648,1.219344282,1.232764773,1.249840931,1.271879008,1.295344239,1.322693812,1.341152227,1.344677175,1.359271214,1.380933736,1.398744266,1.416784506,1.43505742,1.453566008,1.472313309,1.491302403,1.510536408,1.530018482,1.549751826,1.56973968
