year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,4024.775,2432.911,2432.911,24.29,18.36025,18.36025,0,0,0
2016,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2017,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2018,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2019,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2020,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2021,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2022,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2023,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2024,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2025,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2026,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2027,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2028,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2029,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2030,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2031,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2032,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2033,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2034,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2035,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2036,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2037,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2038,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2039,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2040,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2041,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2042,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2043,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2044,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2045,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2046,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2047,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2048,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2049,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
2050,2931.783,2152.096,2152.096,24.29,18.36025,18.36025,0,0,0
