year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2251.79104,2251.79104,20,15,15,0,0,0
2015,3100.009363,2251.79104,2251.79104,18,13.5,13.5,0,0,0
2016,2806.39543,2073.756512,2073.756512,17.2,12.9,12.9,0,0,0
2017,2512.781498,1895.721984,1895.721984,16.4,12.3,12.3,0,0,0
2018,2219.167565,1717.687456,1717.687456,15.6,11.7,11.7,0,0,0
2019,1925.553633,1539.652928,1539.652928,14.8,11.1,11.1,0,0,0
2020,1631.9397,1361.6184,1361.6184,14,10.5,10.5,0,0,0
2021,1553.14573,1290.05656,1290.05656,13.3,9.95,9.95,0,0,0
2022,1474.35176,1218.49472,1218.49472,12.6,9.4,9.4,0,0,0
2023,1395.55779,1146.93288,1146.93288,11.9,8.85,8.85,0,0,0
2024,1316.76382,1075.37104,1075.37104,11.2,8.3,8.3,0,0,0
2025,1237.96985,1003.8092,1003.8092,10.5,7.75,7.75,0,0,0
2026,1159.17588,932.24736,932.24736,9.8,7.2,7.2,0,0,0
2027,1080.38191,860.68552,860.68552,9.1,6.65,6.65,0,0,0
2028,1001.58794,789.12368,789.12368,8.4,6.1,6.1,0,0,0
2029,922.79397,717.56184,717.56184,7.7,5.55,5.55,0,0,0
2030,844,646,646,7,5,5,0,0,0
2031,828.7236,634.3074,634.3074,7,5,5,0,0,0
2032,813.4472,622.6148,622.6148,7,5,5,0,0,0
2033,798.1708,610.9222,610.9222,7,5,5,0,0,0
2034,782.8944,599.2296,599.2296,7,5,5,0,0,0
2035,767.618,587.537,587.537,7,5,5,0,0,0
2036,752.3416,575.8444,575.8444,7,5,5,0,0,0
2037,737.0652,564.1518,564.1518,7,5,5,0,0,0
2038,721.7888,552.4592,552.4592,7,5,5,0,0,0
2039,706.5124,540.7666,540.7666,7,5,5,0,0,0
2040,691.236,529.074,529.074,7,5,5,0,0,0
2041,675.9596,517.3814,517.3814,7,5,5,0,0,0
2042,660.6832,505.6888,505.6888,7,5,5,0,0,0
2043,645.4068,493.9962,493.9962,7,5,5,0,0,0
2044,630.1304,482.3036,482.3036,7,5,5,0,0,0
2045,614.854,470.611,470.611,7,5,5,0,0,0
2046,599.5776,458.9184,458.9184,7,5,5,0,0,0
2047,584.3012,447.2258,447.2258,7,5,5,0,0,0
2048,569.0248,435.5332,435.5332,7,5,5,0,0,0
2049,553.7484,423.8406,423.8406,7,5,5,0,0,0
2050,538.472,412.148,412.148,7,5,5,0,0,0
