year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,4024.775,2432.911,2432.911,24.29,18.36025,18.36025,0,0,0
2016,2931.783,2152.096,2152.096,22.86,17.27423,17.27423,0,0,0
2017,2800,2051.001,2051.001,21.43,16.1882,16.1882,0,0,0
2018,2660.235,1930.571,1930.571,20,15.10218,15.10218,0,0,0
2019,2541.12,1850.339,1850.339,18.58,14.01615,14.01615,0,0,0
2020,2400,1755.064,1755.064,17.15,12.93013,12.93013,0,0,0
2021,2310,1690.696,1690.696,15.72,11.8441,11.8441,0,0,0
2022,2220,1626.327,1626.327,14.29,10.75808,10.75808,0,0,0
2023,2130,1561.959,1561.959,12.86,9.672051,9.672051,0,0,0
2024,2040,1497.591,1497.591,11.43,8.586025,8.586025,0,0,0
2025,1950,1433.222,1433.222,10,7.5,7.5,0,0,0
2026,1860,1368.854,1368.854,10,7.5,7.5,0,0,0
2027,1770,1304.485,1304.485,10,7.5,7.5,0,0,0
2028,1680,1240.117,1240.117,10,7.5,7.5,0,0,0
2029,1590,1175.748,1175.748,10,7.5,7.5,0,0,0
2030,1500,1111.38,1111.38,10,7.5,7.5,0,0,0
2031,1475,1101.276,1101.276,10,7.5,7.5,0,0,0
2032,1450,1091.173,1091.173,10,7.5,7.5,0,0,0
2033,1425,1081.069,1081.069,10,7.5,7.5,0,0,0
2034,1400,1070.966,1070.966,10,7.5,7.5,0,0,0
2035,1375,1060.863,1060.863,10,7.5,7.5,0,0,0
2036,1350,1050.759,1050.759,10,7.5,7.5,0,0,0
2037,1325,1040.656,1040.656,10,7.5,7.5,0,0,0
2038,1300,1030.552,1030.552,10,7.5,7.5,0,0,0
2039,1275,1020.449,1020.449,10,7.5,7.5,0,0,0
2040,1250,1010.345,1010.345,10,7.5,7.5,0,0,0
2041,1240,1005.294,1005.294,10,7.5,7.5,0,0,0
2042,1230,1000.242,1000.242,10,7.5,7.5,0,0,0
2043,1220,995.1901,995.1901,10,7.5,7.5,0,0,0
2044,1210,990.1384,990.1384,10,7.5,7.5,0,0,0
2045,1200,985.0867,985.0867,10,7.5,7.5,0,0,0
2046,1190,980.0349,980.0349,10,7.5,7.5,0,0,0
2047,1180,974.9832,974.9832,10,7.5,7.5,0,0,0
2048,1170,969.9315,969.9315,10,7.5,7.5,0,0,0
2049,1160,964.8798,964.8798,10,7.5,7.5,0,0,0
2050,1150,959.828,959.828,10,7.5,7.5,0,0,0
