parameter 
	 eLoad(T) 
			 / 
		438	349.358
		439	429.992
		440	528.281
		441	1050.67
		442	1013.96
		443	965.075
		444	1012.99
		445	1036.86
		446	1152.75
		447	1213.49
		448	1232.95
		449	1282.07
		450	1163.85
		451	959.812
		452	882.577
		453	628.616
		454	564.392
		455	349.357
		456	299.992
		457	287.77
		458	287.77
		459	287.77
		460	287.77
		461	299.992
		462	349.358
		463	429.937
		464	528.363
		465	1050.72
		466	1013.98
		467	965.463
		468	967.222
		469	918.498
		470	1077.99
		471	1191.9
		472	1279.85
		473	1348.08
		474	1171.81
		475	895.5
		476	796.057
		477	579.083
		478	561.873
		479	349.357
		480	299.992
		481	237.929
		482	237.929
		483	237.929
		484	237.929
		485	250.151
		486	274.597
		487	429.924
		488	428.66
		489	652.063
		490	615.313
		491	566.434
		492	614.028
		493	748.484
		494	879.603
		495	677.631
		496	688.937
		497	741.04
		498	712.933
		499	347.93
		500	323.485
		501	323.485
		502	299.042
		503	274.596
		504	250.151
		505	237.929
		506	237.929
		507	237.929
		508	237.929
		509	250.151
		510	274.596
		511	323.484
		512	323.596
		513	297.964
		514	260
		515	211.111
		516	334.993
		517	442.852
		518	471.931
		519	547.674
		520	510.347
		521	598.964
		522	313.754
		523	347.928
		524	323.484
		525	323.484
		526	299.041
		527	274.595
		528	250.151
		529	287.77
		530	287.77
		531	287.77
		532	287.77
		533	299.992
		534	349.358
		535	429.78
		536	528.24
		537	1050.7
		538	1013.98
		539	965.072
		540	965.067
		541	1045.45
		542	1170.35
		543	1205.39
		544	1203.95
		545	1224.86
		546	1072.69
		547	809.279
		548	728.592
		549	579.108
		550	554.689
		551	349.357
		552	299.992
		553	287.77
		554	287.77
		555	287.77
		556	287.77
		557	299.992
		558	349.358
		559	429.941
		560	528.336
		561	1050.71
		562	1013.97
		563	965.122
		564	1039.52
		565	1074.79
		566	1203.05
		567	1277.24
		568	1317.39
		569	1375.27
		570	1252.59
		571	968.916
		572	856.446
		573	613.435
		574	561.403
		575	349.357
		576	299.992
		577	287.77
		578	287.77
		579	287.77
		580	287.77
		581	299.992
		582	349.358
		583	429.842
		584	528.246
		585	1050.65
		586	1093.44
		587	1206.07
		588	1310.31
		589	1290.99
		590	1367.7
		591	1391.12
		592	1401.27
		593	1449.59
		594	1339.95
		595	1150.86
		596	1099.02
		597	777.35
		598	596.615
		599	349.357
		600	299.992
		601	287.77
		602	287.77
		603	287.77
		604	287.77
		605	299.992
		606	349.358
		607	429.868
		608	528.177
		609	1050.62
		610	1159.22
		611	1262.34
		612	1334.85
		613	1313.1
		614	1392.83
		615	1425.15
		616	1446
		617	1499.37
		618	1381.55
		619	1193.54
		620	1145.93
		621	924.447
		622	800.536
		623	349.357
		624	299.992
		625	287.77
		626	287.77
		627	287.77
		628	287.77
		629	299.992
		630	349.358
		631	430.33
		632	528.139
		633	1050.63
		634	1099.61
		635	1192.9
		636	1322.12
		637	1314.47
		638	1375.83
		639	1386.32
		640	1389.89
		641	1436.85
		642	1338.99
		643	1169.15
		644	1115.63
		645	918.467
		646	885.755
		647	349.357
		648	299.992
		649	237.929
		650	237.929
		651	237.929
		652	237.929
		653	250.151
		654	274.597
		655	429.935
		656	428.482
		657	697.808
		658	759.542
		659	756.269
		660	880.853
		661	950.78
		662	959.344
		663	709.596
		664	709.329
		665	759.919
		666	717.725
		667	347.93
		668	323.485
		669	323.485
		670	299.042
		671	274.596
		672	250.151
		673	237.929
		674	237.929
		675	237.929
		676	237.929
