scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
Low,2016,ind,MEX,8,1.014565537
Low,2016,ind,MEX,9,1.051819387
High,2016,ind,MEX,1,1.029173557
High,2016,ind,MEX,2,1.026357673
High,2016,ind,MEX,3,1.025516366
High,2016,ind,MEX,4,1.047664461
High,2016,ind,MEX,5,1.037230947
High,2016,ind,MEX,6,1.036637294
High,2016,ind,MEX,7,1.010137896
High,2016,ind,MEX,8,1.029495089
High,2016,ind,MEX,9,1.058871724
Planning,2017,res,MEX,1,1.045992045
Planning,2017,res,MEX,2,1.048211129
Planning,2017,res,MEX,3,1.054347561
Planning,2017,res,MEX,4,1.09523803
Planning,2017,res,MEX,5,1.063950067
Planning,2017,res,MEX,6,1.066253887
Planning,2017,res,MEX,7,1.037170297
Planning,2017,res,MEX,8,1.046579195
Planning,2017,res,MEX,9,1.111539088
Low,2017,res,MEX,1,1.039932097
Low,2017,res,MEX,2,1.042454885
Low,2017,res,MEX,3,1.048048848
Low,2017,res,MEX,4,1.089021106
Low,2017,res,MEX,5,1.056268519
Low,2017,res,MEX,6,1.055851091
Low,2017,res,MEX,7,1.032710694
Low,2017,res,MEX,8,1.034997886
Low,2017,res,MEX,9,1.100887954
High,2017,res,MEX,1,1.066088337
High,2017,res,MEX,2,1.065637852
High,2017,res,MEX,3,1.065410478
High,2017,res,MEX,4,1.103772302
High,2017,res,MEX,5,1.077186885
High,2017,res,MEX,6,1.084657914
High,2017,res,MEX,7,1.054164395
High,2017,res,MEX,8,1.067843115
High,2017,res,MEX,9,1.125858396
Planning,2017,com,MEX,1,1.045992045
Planning,2017,com,MEX,2,1.048211129
Planning,2017,com,MEX,3,1.054347561
Planning,2017,com,MEX,4,1.09523803
Planning,2017,com,MEX,5,1.063950067
Planning,2017,com,MEX,6,1.066253887
Planning,2017,com,MEX,7,1.037170297
Planning,2017,com,MEX,8,1.046579195
Planning,2017,com,MEX,9,1.111539088
Low,2017,com,MEX,1,1.039932097
Low,2017,com,MEX,2,1.042454885
Low,2017,com,MEX,3,1.048048848
Low,2017,com,MEX,4,1.089021106
Low,2017,com,MEX,5,1.056268519
Low,2017,com,MEX,6,1.055851091
Low,2017,com,MEX,7,1.032710694
Low,2017,com,MEX,8,1.034997886
Low,2017,com,MEX,9,1.100887954
High,2017,com,MEX,1,1.066088337
High,2017,com,MEX,2,1.065637852
High,2017,com,MEX,3,1.065410478
High,2017,com,MEX,4,1.103772302
High,2017,com,MEX,5,1.077186885
High,2017,com,MEX,6,1.084657914
High,2017,com,MEX,7,1.054164395
High,2017,com,MEX,8,1.067843115
High,2017,com,MEX,9,1.125858396
Planning,2017,ind,MEX,1,1.045992045
Planning,2017,ind,MEX,2,1.048211129
Planning,2017,ind,MEX,3,1.054347561
Planning,2017,ind,MEX,4,1.09523803
Planning,2017,ind,MEX,5,1.063950067
Planning,2017,ind,MEX,6,1.066253887
Planning,2017,ind,MEX,7,1.037170297
Planning,2017,ind,MEX,8,1.046579195
Planning,2017,ind,MEX,9,1.111539088
Low,2017,ind,MEX,1,1.039932097
Low,2017,ind,MEX,2,1.042454885
Low,2017,ind,MEX,3,1.048048848
Low,2017,ind,MEX,4,1.089021106
Low,2017,ind,MEX,5,1.056268519
Low,2017,ind,MEX,6,1.055851091
Low,2017,ind,MEX,7,1.032710694
Low,2017,ind,MEX,8,1.034997886
Low,2017,ind,MEX,9,1.100887954
High,2017,ind,MEX,1,1.066088337
High,2017,ind,MEX,2,1.065637852
High,2017,ind,MEX,3,1.065410478
High,2017,ind,MEX,4,1.103772302
High,2017,ind,MEX,5,1.077186885
High,2017,ind,MEX,6,1.084657914
High,2017,ind,MEX,7,1.054164395
