,micro_id,county_id,bin_id,year,state_abbr,census_division_abbr,utility_type,pca_reg,reeds_reg,incentive_array_id,elec_rate_cents_per_kwh,carbon_price_cents_per_kwh,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,installed_costs_dollars_per_kw,inverter_cost_dollars_per_kw,ann_cons_kwh,customers_in_bin,initial_customers_in_bin,load_kwh_in_bin,initial_load_kwh_in_bin,load_kwh_per_customer_in_bin,nem_system_limit_kw,excess_generation_factor,naep,aep,system_size_kw,npanels,tilt,azimuth,derate,pct_shaded,solar_re_9809_gid,density_w_per_sqft,inverter_lifetime_yrs,available_rooftop_space_sqm
0,12494,286,1,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,20712.0,3.76741730876714,3.69354638114425,27353025.9033509,26816692.0621088,7260418.387869548,1000.0,0.583,1370.084941121869,219325.65880088977,160.08179655,615.08,0,S,0.825,0.35,44850,14.872099940511603,20,1000.0
1,12494,286,2,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,13499.0,2.07941958205345,2.03864664907201,9839733.52809621,9646797.57656491,4731961.5593786705,1000.0,0.59,1583.7814657458366,253534.5823791858,160.08179655,615.08,25,S,0.825,0.35,44850,14.872099940511603,20,1000.0
2,12494,286,3,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,16017.0,6.4088734029486,6.28320921857706,35983423.4040094,35277866.0823622,5614625.4016273925,1000.0,0.59,1583.7814657458366,253534.5823791858,160.08179655,615.08,25,S,0.825,0.35,44850,14.872099940511603,20,1000.0
3,12497,286,4,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,17731.0,3.32869073216826,3.26342228643948,20689323.3525564,20283650.3456435,6215453.7676378405,1000.0,0.593,1567.7455631782802,250967.52628687062,160.08179655,615.08,25,S,0.825,0.35,45358,14.872099940511603,20,1000.0
4,12497,286,5,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,77305.0,4.55214920977635,4.46289138213367,123356967.340921,120938203.275413,27098621.25696482,1000.0,0.593,1567.7455631782802,250967.52628687062,160.08179655,615.08,25,S,0.825,0.35,45358,14.872099940511603,20,1000.0
5,12507,286,6,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,1612.0,3.32869073216826,3.26342228643948,1880953.65429592,1844072.21009404,565073.1190249957,1000.0,0.606,1515.5325225154272,36902.38257455463,24.3494494683,93.5575418426,25,SE,0.825,0.35,44849,14.872099940511603,20,1000.0
6,12511,286,7,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,46882.0,2.73620992772488,2.68255875267145,44967128.5048444,44085420.1027886,16434093.031097922,1000.0,0.62,1509.9497924483617,241715.47547543337,160.08179655,615.08,25,SE,0.825,0.35,44852,14.872099940511603,20,1000.0
7,12519,286,8,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,30791.0,3.32869073216826,3.26342228643948,35928315.1175097,35223838.3504997,10793527.54832422,1000.0,0.606,1504.9527552902318,240915.54078973283,160.08179655,615.08,25,SE,0.825,0.35,46874,14.872099940511603,20,1000.0
8,12523,286,9,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,8487.0,3.04292978627622,2.98326449634923,9052858.7489857,8875351.71469186,2975046.8741719224,1000.0,0.617,1456.0143814691028,188862.66942808786,129.712090644,498.390912851,25,SW,0.825,0.35,44345,14.872099940511603,20,1000.0
9,12531,286,10,2016,CA,PAC,IOU,p9,23,241,6.576277152769895,0.0,0.0,0.0,2412.113874321886,185.3764492405789,7640.0,3.04292978627622,2.98326449634923,8149386.21918826,7989594.33253751,2678138.107537821,1000.0,0.596,1469.2369204379465,179336.16209511456,122.060751129,468.992280338,25,SW,0.825,0.35,45864,14.872099940511603,20,1000.0
10,12538,287,1,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,73618.0,0.245343532095405,0.240532874603338,3071048.18535193,3010831.5542666,12517339.09234549,1000.0,0.583,1345.0340422223767,215315.46589986663,160.08179655,615.08,0,S,0.825,0.35,45859,14.872099940511603,20,1000.0
11,12538,287,2,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,46602.0,0.880101169731852,0.862844284050835,6973730.4417748,6836990.62919098,7923782.721365488,1000.0,0.583,1345.0340422223767,215315.46589986663,160.08179655,615.08,0,S,0.825,0.35,45859,14.872099940511603,20,1000.0
12,12542,287,3,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,61820.0,0.367427677113946,0.360223212856809,3862147.62972152,3786419.24482502,10511313.84564642,1000.0,0.587,1568.182556157655,251037.48090808868,160.08179655,615.08,25,S,0.825,0.35,45858,14.872099940511603,20,1000.0
13,12544,287,4,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,1180210.0,0.208995645715606,0.204897691878045,41939623.8248408,41117278.2596478,200672237.3628334,1000.0,0.588,1581.6820446015615,253198.5032706952,160.08179655,615.08,25,S,0.825,0.35,45857,14.872099940511603,20,1000.0
14,12548,287,5,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,276000.0,0.292451934761204,0.286717583099219,13724343.6364843,13455238.8592983,46928544.50660647,1000.0,0.586,1587.543623211423,254136.83530518087,160.08179655,615.08,25,S,0.825,0.35,46363,14.872099940511603,20,1000.0
15,12548,287,6,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,4945.0,1.93980753178478,1.90177208998508,1630996.16493889,1599015.84797931,840803.0890766992,1000.0,0.586,1587.543623211423,57696.328373987104,36.3431451775,139.640747528,25,S,0.825,0.35,46363,14.872099940511603,20,1000.0
16,12551,287,7,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,83865.0,0.804547208286415,0.788771772829819,11472558.6400256,11247606.509829,14259646.322632432,1000.0,0.607,1523.0324242006643,243809.76666994405,160.08179655,615.08,25,SE,0.825,0.35,44846,14.872099940511603,20,1000.0
17,12552,287,8,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2416.2935633751194,185.6976678712026,70902.0,0.169531017397137,0.166206879801115,2043787.11541838,2003712.85825331,12055535.009447144,1000.0,0.603,1499.2860917823382,240008.4111149449,160.08179655,615.08,25,SE,0.825,0.35,46366,14.872099940511603,20,1000.0
