,micro_id,county_id,bin_id,year,state_abbr,census_division_abbr,utility_type,pca_reg,reeds_reg,incentive_array_id,elec_rate_cents_per_kwh,carbon_price_cents_per_kwh,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,installed_costs_dollars_per_kw,inverter_cost_dollars_per_kw,ann_cons_kwh,customers_in_bin,initial_customers_in_bin,load_kwh_in_bin,initial_load_kwh_in_bin,load_kwh_per_customer_in_bin,nem_system_limit_kw,excess_generation_factor,naep,aep,system_size_kw,npanels,tilt,azimuth,derate,pct_shaded,solar_re_9809_gid,density_w_per_sqft,inverter_lifetime_yrs,available_rooftop_space_sqm,business_model,metric,sector,loan_term_yrs,loan_rate,down_payment,discount_rate,tax_rate,length_of_irr_analysis_yrs,market_share_last_year,number_of_adopters_last_year,installed_capacity_last_year,market_value_last_year,value_of_increment,value_of_pbi_fit,value_of_ptc,pbi_fit_length,ptc_length,value_of_rebate,value_of_tax_credit_or_deduction,ic,metric_value_precise,lcoe,metric_value_bounded,metric_value_as_factor,metric_value,max_market_share,source,diffusion_market_share,market_share,new_market_share,new_adopters,new_capacity,new_market_value,number_of_adopters,installed_capacity,market_value
0,16695,308,10,2016,CA,PAC,IOU,p9,29,243,15.64870118157309,0.0,0.0,0.0,3578.0685638876057,281.648970526807,3645.0,4739.66804070715,4646.73337324231,19738274.7306712,19351249.7359522,4164.48463503075,1000.0,0.595,1661.042893928962,1118.2265917757873,0.673207534774,2.58665569361,25,SW,0.825,0.35,69289,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.0542689288971701,252.173243036594,1275.91471110686,5191418.362213444,0.0,50.32019662991043,0.0,10,10,0.0,0.0,2408.7827171471213,3.45520254170591,17.256109211905624,3.45520254170591,35,3.5,0.06021219,NREL,0.05739688570374856,0.05739688570374856,0.003127956806578458,14.825476908852313,9.980622761657326,35711.352551507174,266.9987199454463,1285.8953338685174,5227129.714764951
1,16580,307,6,2016,CA,PAC,IOU,p9,29,243,15.64870118157309,0.0,0.0,0.0,3589.8763392115998,282.5784238631068,11775.0,1394.13789142403,1366.80185433728,5511823.92996293,5403748.95094405,3953.571568399841,1000.0,0.605,1711.827553440884,1035.381090191183,0.604839598539,2.3239665489,25,SE,0.825,0.35,65607,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.05561722876480231,76.01773140883247,334.1738500682799,1364167.4307857468,0.0,46.592149058603226,0.0,10,10,0.0,0.0,2171.299363813399,3.4962206300217438,16.799429985591065,3.4962206300217438,35,3.5,0.06021219,NREL,0.0580635501188299,0.0580635501188299,0.0024463213540275933,3.4105092942496067,2.0628110723474604,7405.236660883856,79.42824070308208,336.23666114062735,1371572.6674466305
2,17063,317,2,2016,CA,PAC,IOU,p9,23,243,15.64870118157309,0.0,0.0,0.0,3624.3919838481584,285.2953354050124,4764.0,842.012035291184,825.501995383514,4929991.12929209,4833324.63656087,5855.012663313303,1000.0,0.589,1550.2394732162816,1595.4499656668347,1.02916355391,3.95434042085,25,S,0.825,0.35,48879,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.05506589982329428,45.45701018171807,195.2957866291991,804903.3977469121,0.0,71.79524845500755,0.0,10,10,0.0,0.0,3730.0921348600855,3.4538569295373196,18.72886417714945,3.4538569295373196,35,3.5,0.06021219,NREL,0.05779302874221237,0.05779302874221237,0.0027271289189180897,2.296275371519667,2.363242922109186,8565.318702778432,47.75328555323774,197.6590295513083,813468.7164496905
3,16767,309,5,2016,CA,PAC,IOU,p10,30,23,14.719040173188679,0.0,0.0,0.0,3570.4014889889067,281.0454539329762,7577.0,7082.61826935719,6943.74340133058,50511995.0420805,49521563.7667456,7131.825141645657,1000.0,0.584,1569.6791439062772,1967.014428672165,1.25313153093,4.8148893794,25,S,0.825,0.35,63287,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.05683720454257718,394.66296399259653,1710.5673931257159,6945011.511001512,0.0,88.51564929024742,0.0,10,10,0.0,0.0,4474.18268393142,3.476658770319629,18.221378812729252,3.476658770319629,35,3.5,0.06021219,NREL,0.05865216487431139,0.05865216487431139,0.001814960331734207,12.854671203699281,16.108593805093467,57514.14730722319,407.5176351962958,1726.6759869308094,7002525.658308736
4,21355,401,7,2016,CA,PAC,IOU,p10,33,23,14.719040173188679,0.0,0.0,0.0,3532.1255296407076,278.0325478486296,8105.0,27828.6339752266,27282.9744855162,180006837.720614,176477291.882955,6468.4036550575365,1000.0,0.583,1578.1547560702284,1788.3260269215511,1.13317532393,4.35398335891,25,SW,0.825,0.35,72420,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.0434412562159058,1185.20668495733,5996.76090464448,24086216.681867983,0.0,80.4746712114698,0.0,10,10,0.0,0.0,4002.5174912120315,3.489001695584913,17.929228873128455,3.489001695584913,35,3.5,0.06021219,NREL,0.05134007333404636,0.05134007333404636,0.007898817118140562,219.8132904179879,249.0869965735226,879806.5396988667,1405.019975375318,6245.847901218003,24966023.22156685
5,16693,308,9,2016,CA,PAC,IOU,p9,29,23,14.719040173188679,0.0,0.0,0.0,3578.0685638876057,281.648970526807,3168.0,3638.41481916899,3567.07335212646,13169252.2440116,12911031.6117761,3619.502695137837,1000.0,0.583,1636.093822899694,1000.687529628215,0.611632117683,2.35006534817,25,SW,0.825,0.35,70194,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.05636196595204005,201.04726682098084,983.9351732020259,4003417.3765089987,0.0,45.03093883326967,0.0,10,10,0.0,0.0,2188.4616529455466,2.2100245904147564,17.519250535704284,2.2100245904147564,22,2.2,0.053615856,NREL,0.05636196595204005,0.05636196595204005,0.0,0.0,0.0,0.0,201.04726682098084,983.9351732020259,4003417.3765089987
6,16650,308,2,2016,CA,PAC,IOU,p9,29,23,14.719040173188679,0.0,0.0,0.0,3578.0685638876057,281.648970526807,3499.0,5356.62912899549,5251.5971852897,21414071.7041718,20994187.9452665,3997.6767456714933,1000.0,0.583,1609.4628599234065,1105.2416875532351,0.686714627019,2.63855380118,25,S,0.825,0.35,70645,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.056883571802986733,298.7296055697893,1451.2445503826746,5904797.1947772475,0.0,49.73587593989558,0.0,10,10,0.0,0.0,2457.1120192984863,2.239687425398544,17.809132659738413,2.239687425398544,22,2.2,0.053615856,NREL,0.056883571802986733,0.056883571802986733,0.0,0.0,0.0,0.0,298.7296055697893,1451.2445503826746,5904797.1947772475
7,16603,307,10,2016,CA,PAC,IOU,p9,29,243,15.64870118157309,0.0,0.0,0.0,3589.8763392115998,282.5784238631068,8648.0,2229.84740443486,2186.12490630868,6474697.96371797,6347743.10168428,2903.6506941419807,1000.0,0.595,1634.1394557616675,779.6737661373379,0.477115807582,1.83321525153,25,SW,0.825,0.35,65141,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.052546414308399514,114.87302505680749,529.0904821272989,2159857.821039302,0.0,35.0853194761802,0.0,10,10,0.0,0.0,1712.7867487024562,2.2416319282534745,17.59808627717877,2.2416319282534745,22,2.2,0.053615856,NREL,0.0531314505722492,0.0531314505722492,0.0005850362638496892,1.3045415944454974,0.6224174163581735,2234.401556097422,116.17756665125299,529.712899543657,2162092.2225953992
8,15008,288,7,2016,CA,PAC,IOU,p9,20,243,15.64870118157309,0.0,0.0,0.0,3633.200729290531,285.9887190116086,10228.0,883.980450680801,866.647500667452,5018425.93623647,4920025.42768281,5677.077962947606,1000.0,0.627,1482.7988486256168,1403.935703159136,0.946814670419,3.63793248223,25,SE,0.825,0.35,49357,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.05439359731957974,47.14007516932554,214.94592808294465,888043.7062640617,0.0,63.17710664216112,0.0,10,10,0.0,0.0,3439.9677510692845,2.246114033155228,19.628278999394134,2.246114033155228,22,2.2,0.053615856,NREL,0.05439359731957974,0.05439359731957974,0.0,0.0,0.0,0.0,47.14007516932554,214.94592808294465,888043.7062640617
9,14917,287,5,2016,CA,PAC,IOU,p9,22,243,15.64870118157309,0.0,0.0,0.0,3608.040189053601,284.0081979206628,6683.0,324.364578909382,318.004489126845,1405611.31771939,1378050.3114896,4333.430371606879,1000.0,0.605,1510.179594170569,1134.8604128689262,0.751473809638,2.88737708343,25,SE,0.825,0.35,45857,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.050993361616409924,16.2161179096869,71.81144933194105,294632.59037647984,0.0,51.06871857910168,0.0,10,10,0.0,0.0,2711.3477061951194,2.1644489840520085,19.138938134805127,2.1644489840520085,22,2.2,0.053615856,NREL,0.05240854679191103,0.05240854679191103,0.001415185175501106,0.4590359435302161,0.34495348924542535,1244.6060525517637,16.675153853217118,72.15640282118648,295877.1964290316
